PollingPlaceName,Locality,Polling Place Address,PremiseName,PremiseAddress1,PremiseAddress2,PremiseLocality,PremisePostcode,PremiseState,LocationWithinPremise,AccessToLocation,Disabled Access
Ranelagh,Ranelagh,"Ranelagh Soldiers Memorial Hall, 40 Marguerite St, RANELAGH TAS 7109",Ranelagh Soldiers Memorial Hall,40 Marguerite St,,Ranelagh,7109,TAS,,,Assistance
Richmond,Richmond,"Richmond Primary School, Commercial Rd, RICHMOND TAS 7025",Richmond Primary School,Commercial Rd,,Richmond,7025,TAS,,,Assistance
Risdon Vale,Risdon Vale,"Risdon Vale Primary School, 2 Heather Rd, RISDON VALE TAS 7016",Risdon Vale Primary School,2 Heather Rd,,Risdon Vale,7016,TAS,,,None
Rokeby,Rokeby,"Emmanuel Christian School, 1 Chipmans Rd, ROKEBY TAS 7019",Emmanuel Christian School,1 Chipmans Rd,,Rokeby,7019,TAS,,,Full
Sandfly,Sandfly,"Sandfly Hall, 811 Sandfly Rd, SANDFLY TAS 7150",Sandfly Hall,811 Sandfly Rd,,Sandfly,7150,TAS,,,Assistance
Sandford,Sandford,"Sandford Hall, 949 South Arm Rd, SANDFORD TAS 7020",Sandford Hall,949 South Arm Rd,,Sandford,7020,TAS,,,None
Seven Mile Beach,Seven Mile Beach,"Wyndham Vacation Resort, 78 Surf Rd, SEVEN MILE BEACH TAS 7170",Wyndham Vacation Resort,78 Surf Rd,,Seven Mile Beach,7170,TAS,,,Assistance
Snug,Snug,"Snug Primary School, 2208 Channel Hwy, SNUG TAS 7054",Snug Primary School,2208 Channel Hwy,,Snug,7054,TAS,,,Assistance
South Arm,South Arm,"South Arm Primary School, 32 Harmony Lane, SOUTH ARM TAS 7022",South Arm Primary School,32 Harmony Lane,,South Arm,7022,TAS,,,Assistance
Southport,Southport,"Southport Community Centre, 8606 Huon Hwy, SOUTHPORT tas 7109",Southport Community Centre,8606 Huon Hwy,,Southport,7109,TAS,,,Assistance
Warrane,Warrane,"Warrane Primary School, 213 Cambridge Rd, WARRANE TAS 7018",Warrane Primary School,213 Cambridge Rd,,Warrane,7018,TAS,,,Assistance
Woodbridge,Woodbridge,"Woodbridge Hall, 3445 Channel Hwy, WOODBRIDGE TAS 7162",Woodbridge Hall,3445 Channel Hwy,,Woodbridge,7162,TAS,,,Assistance
