2019 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-06-26T08:52:07 Cycle:56a4f6ad-d221-4a9f-b794-6091d2603834 Created:2019-06-26T08:50:46 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,Ticket,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
QLD,171,McPherson,J,2,33044,"KETTER, Chris",Australian Labor Party,ALP,N,Y,32,1,2,3,7,45
QLD,171,McPherson,J,3,33046,"GILBERT, Frank",Australian Labor Party,ALP,N,N,25,0,0,2,2,29
QLD,171,McPherson,J,4,33047,"MAJOR, Tania",Australian Labor Party,ALP,N,N,22,1,0,2,6,31
QLD,171,McPherson,J,5,33048,"SCHINNERL, Stacey",Australian Labor Party,ALP,N,N,11,1,1,0,1,14
QLD,171,McPherson,J,6,33052,"WARRY, Christina",Australian Labor Party,ALP,N,N,20,0,1,3,3,27
QLD,171,McPherson,J,9998,0,Unapportioned,Australian Labor Party,ALP,N,N,0,0,0,0,0,0
QLD,171,McPherson,K,0,33741,K Ticket Votes,Independents For Climate Action Now,ICAN,N,N,422,17,5,25,55,524
QLD,171,McPherson,K,1,33638,"LEWIS, Andrew",Independents For Climate Action Now,ICAN,N,N,39,2,2,1,3,47
QLD,171,McPherson,K,2,33641,"LOKKERS, Cornel",Independents For Climate Action Now,ICAN,N,N,2,0,0,1,0,3
QLD,171,McPherson,K,3,33642,"PEAD, Gary",Independents For Climate Action Now,ICAN,N,N,2,0,0,0,1,3
QLD,171,McPherson,K,9998,0,Unapportioned,Independents For Climate Action Now,ICAN,N,N,0,0,0,0,0,0
QLD,171,McPherson,L,0,33739,L Ticket Votes,Australian Workers Party,AWP,N,N,180,18,5,9,17,229
QLD,171,McPherson,L,1,33628,"BRADLEY, Gregory John",Australian Workers Party,AWP,N,N,8,0,0,2,1,11
QLD,171,McPherson,L,2,33633,"WELLSTEAD, Kathleen",Australian Workers Party,AWP,N,N,1,1,0,0,0,2
QLD,171,McPherson,L,9998,0,Unapportioned,Australian Workers Party,AWP,N,N,0,0,0,0,0,0
QLD,171,McPherson,M,0,33738,M Ticket Votes,Australian Better Families,ABFA,N,N,251,17,2,16,35,321
QLD,171,McPherson,M,1,33562,"CAULFIELD, Darren",Australian Better Families,ABFA,N,N,10,1,1,1,2,15
QLD,171,McPherson,M,2,33565,"FINCH, Adam",Australian Better Families,ABFA,N,N,1,0,0,0,0,1
QLD,171,McPherson,M,3,33569,"FOX, Rod",Australian Better Families,ABFA,N,N,2,0,0,0,0,2
QLD,171,McPherson,M,9998,0,Unapportioned,Australian Better Families,ABFA,N,N,0,0,0,0,0,0
QLD,171,McPherson,N,0,33727,N Ticket Votes,Help End Marijuana Prohibition (HEMP) Party,HMP,N,N,1360,104,24,110,118,1716
QLD,171,McPherson,N,1,33133,"JIGGENS, John",Help End Marijuana Prohibition (HEMP) Party,HMP,N,N,91,13,2,6,10,122
QLD,171,McPherson,N,2,33143,"JORDAN, Frank",Help End Marijuana Prohibition (HEMP) Party,HMP,N,N,8,0,1,0,2,11
QLD,171,McPherson,N,9998,0,Unapportioned,Help End Marijuana Prohibition (HEMP) Party,HMP,N,N,0,0,0,0,0,0
QLD,171,McPherson,O,0,33720,O Ticket Votes,Australian Conservatives,ACP,N,N,887,18,2,18,46,971
QLD,171,McPherson,O,1,32374,"SHELTON, Lyle",Australian Conservatives,ACP,N,N,121,2,0,7,22,152
QLD,171,McPherson,O,2,32376,"LINDGREN, Joanna",Australian Conservatives,ACP,N,N,2,0,0,0,0,2
QLD,171,McPherson,O,3,32383,"HORAN, Kate",Australian Conservatives,ACP,N,N,1,0,0,0,1,2
QLD,171,McPherson,O,9998,0,Unapportioned,Australian Conservatives,ACP,N,N,0,0,0,0,0,0
QLD,171,McPherson,P,0,33731,P Ticket Votes,Labour DLP,DLP,N,N,621,44,8,44,35,752
QLD,171,McPherson,P,1,33283,"TEMPLE, Lindsay",Labour DLP,DLP,N,N,23,1,0,2,2,28
QLD,171,McPherson,P,2,33291,"VINCENT, Sheila Susan",Labour DLP,DLP,N,N,0,0,0,0,0,0
QLD,171,McPherson,P,9998,0,Unapportioned,Labour DLP,DLP,N,N,0,0,0,0,0,0
QLD,171,McPherson,Q,0,33721,Q Ticket Votes,Katter's Australian Party (KAP),KAP,N,N,188,4,0,11,24,227
QLD,171,McPherson,Q,1,32539,"MARRIOTT, Joy",Katter's Australian Party (KAP),KAP,N,N,16,0,0,1,3,20
QLD,171,McPherson,Q,2,32541,"WALLACE, Gregory John",Katter's Australian Party (KAP),KAP,N,N,0,0,0,0,0,0
QLD,171,McPherson,Q,3,32543,"WEBB, Alan",Katter's Australian Party (KAP),KAP,N,N,0,0,0,0,0,0
QLD,171,McPherson,Q,9998,0,Unapportioned,Katter's Australian Party (KAP),KAP,N,N,0,0,0,0,0,0
QLD,171,McPherson,R,0,33735,R Ticket Votes,,,N,N,248,3,0,11,51,313
QLD,171,McPherson,R,1,33624,"JOHNSTON, Hetty",,,N,N,253,5,0,13,41,312
QLD,171,McPherson,R,2,33625,"MUREAU, Sue",,,N,N,0,0,0,0,0,0
QLD,171,McPherson,R,9998,0,Unapportioned,,,N,N,0,0,0,0,0,0
QLD,171,McPherson,S,0,33740,S Ticket Votes,The Great Australian Party,GAP,N,N,115,10,0,7,9,141
QLD,171,McPherson,S,1,33623,"MARTIN, Arjay Rase",The Great Australian Party,GAP,N,N,21,0,0,3,1,25
QLD,171,McPherson,S,2,33626,"MOOHIN, Tania",The Great Australian Party,GAP,N,N,6,0,0,1,1,8
QLD,171,McPherson,S,9998,0,Unapportioned,The Great Australian Party,GAP,N,N,0,0,0,0,0,0
