2025 Federal Election Senate First Preferences By Polling Place for Division 192 [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:28 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,192,Bass,8288,Newnham,A,42122,0,A Above-the-line Votes,Sustainable Australia Party - Universal Basic Income,40
TAS,192,Bass,8288,Newnham,A,42009,1,"BILIC, Dennis",Sustainable Australia Party - Universal Basic Income,3
TAS,192,Bass,8288,Newnham,A,42013,2,"RICHARDSON, Pierre",Sustainable Australia Party - Universal Basic Income,1
TAS,192,Bass,8288,Newnham,B,42111,0,B Above-the-line Votes,Liberal,251
TAS,192,Bass,8288,Newnham,B,40691,1,"CHANDLER, Claire",Liberal,20
TAS,192,Bass,8288,Newnham,B,40692,2,"COLBECK, Richard Mansell",Liberal,9
TAS,192,Bass,8288,Newnham,B,40693,3,"MARTIN, Jacki",Liberal,1
TAS,192,Bass,8288,Newnham,C,42115,0,C Above-the-line Votes,Trumpet of Patriots,67
TAS,192,Bass,8288,Newnham,C,41393,1,"MOORE, Wayne Leslie",Trumpet of Patriots,9
TAS,192,Bass,8288,Newnham,C,41401,2,"KELLY, Matt",Trumpet of Patriots,1
TAS,192,Bass,8288,Newnham,C,41419,3,"SMITH, Greg",Trumpet of Patriots,2
TAS,192,Bass,8288,Newnham,D,42113,0,D Above-the-line Votes,Legalise Cannabis Party,108
TAS,192,Bass,8288,Newnham,D,40841,1,"OWEN, Matt",Legalise Cannabis Party,14
TAS,192,Bass,8288,Newnham,D,40847,2,"HESTER, Gail",Legalise Cannabis Party,2
TAS,192,Bass,8288,Newnham,E,42119,0,E Above-the-line Votes,Animal Justice Party,23
TAS,192,Bass,8288,Newnham,E,41753,1,"DAVIES, Casey",Animal Justice Party,0
TAS,192,Bass,8288,Newnham,E,41757,2,"LUCAS, Kate Elizabeth",Animal Justice Party,0
TAS,192,Bass,8288,Newnham,F,42112,0,F Above-the-line Votes,The Greens,148
TAS,192,Bass,8288,Newnham,F,41165,1,"McKIM, Nick",The Greens,26
TAS,192,Bass,8288,Newnham,F,41168,2,"BLEYER, Vanessa",The Greens,3
TAS,192,Bass,8288,Newnham,F,41169,3,"JORDAN, Scott",The Greens,0
TAS,192,Bass,8288,Newnham,F,41171,4,"HOARE, Trenton",The Greens,0
TAS,192,Bass,8288,Newnham,G,42117,0,G Above-the-line Votes,Jacqui Lambie Network,86
TAS,192,Bass,8288,Newnham,G,41773,1,"LAMBIE, Jacqui",Jacqui Lambie Network,21
TAS,192,Bass,8288,Newnham,G,41779,2,"HANNAN, Christine",Jacqui Lambie Network,0
TAS,192,Bass,8288,Newnham,H,42120,0,H Above-the-line Votes,Libertarian,5
TAS,192,Bass,8288,Newnham,H,41698,1,"ABRAHAM, Chrysten",Libertarian,0
TAS,192,Bass,8288,Newnham,H,41701,2,"ARMSTRONG, Nicole",Libertarian,1
TAS,192,Bass,8288,Newnham,I,42118,0,I Above-the-line Votes,Pauline Hanson's One Nation,91
TAS,192,Bass,8288,Newnham,I,41175,1,"HANSON, Lee",Pauline Hanson's One Nation,21
TAS,192,Bass,8288,Newnham,I,41177,2,"DUNN, James",Pauline Hanson's One Nation,0
TAS,192,Bass,8288,Newnham,J,42114,0,J Above-the-line Votes,Citizens Party,3
TAS,192,Bass,8288,Newnham,J,40837,1,"STAGGARD, Daryl",Citizens Party,1
TAS,192,Bass,8288,Newnham,J,40840,2,"WILLIAMS, Ray",Citizens Party,1
TAS,192,Bass,8288,Newnham,K,42116,0,K Above-the-line Votes,Australian Labor Party,652
TAS,192,Bass,8288,Newnham,K,41721,1,"BROWN, Carol",Australian Labor Party,45
TAS,192,Bass,8288,Newnham,K,41722,2,"DOWLING, Richard",Australian Labor Party,9
TAS,192,Bass,8288,Newnham,K,41724,3,"FALLS, Bailey",Australian Labor Party,2
TAS,192,Bass,8288,Newnham,K,41728,4,"O'DONNELL, Saxon",Australian Labor Party,3
TAS,192,Bass,8288,Newnham,K,41730,5,"LUCKMAN, Greg",Australian Labor Party,2
TAS,192,Bass,8288,Newnham,K,41734,6,"MEYERS, Amelia Louise",Australian Labor Party,12
TAS,192,Bass,8288,Newnham,L,42121,0,L Above-the-line Votes,"Shooters, Fishers and Farmers Party",30
TAS,192,Bass,8288,Newnham,L,42012,1,"BIGG, Phillip","Shooters, Fishers and Farmers Party",7
TAS,192,Bass,8288,Newnham,L,42014,2,"ROACH, Melanie","Shooters, Fishers and Farmers Party",0
TAS,192,Bass,8288,Newnham,UG,42066,1,"EDWARDS, Fenella",Independent,4
TAS,192,Bass,8288,Newnham,ZZ,0,99,INFORMAL,,130
TAS,192,Bass,8290,Branxholm,A,42122,0,A Above-the-line Votes,Sustainable Australia Party - Universal Basic Income,1
TAS,192,Bass,8290,Branxholm,A,42009,1,"BILIC, Dennis",Sustainable Australia Party - Universal Basic Income,1
TAS,192,Bass,8290,Branxholm,A,42013,2,"RICHARDSON, Pierre",Sustainable Australia Party - Universal Basic Income,0
TAS,192,Bass,8290,Branxholm,B,42111,0,B Above-the-line Votes,Liberal,42
TAS,192,Bass,8290,Branxholm,B,40691,1,"CHANDLER, Claire",Liberal,3
