2025 Federal Election Senate First Preferences By Polling Place for Division 319 [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:34 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,319,Clark,8442,Battery Point,J,42114,0,J Above-the-line Votes,Citizens Party,0
TAS,319,Clark,8442,Battery Point,J,40837,1,"STAGGARD, Daryl",Citizens Party,0
TAS,319,Clark,8442,Battery Point,J,40840,2,"WILLIAMS, Ray",Citizens Party,0
TAS,319,Clark,8442,Battery Point,K,42116,0,K Above-the-line Votes,Australian Labor Party,171
TAS,319,Clark,8442,Battery Point,K,41721,1,"BROWN, Carol",Australian Labor Party,44
TAS,319,Clark,8442,Battery Point,K,41722,2,"DOWLING, Richard",Australian Labor Party,8
TAS,319,Clark,8442,Battery Point,K,41724,3,"FALLS, Bailey",Australian Labor Party,4
TAS,319,Clark,8442,Battery Point,K,41728,4,"O'DONNELL, Saxon",Australian Labor Party,0
TAS,319,Clark,8442,Battery Point,K,41730,5,"LUCKMAN, Greg",Australian Labor Party,1
TAS,319,Clark,8442,Battery Point,K,41734,6,"MEYERS, Amelia Louise",Australian Labor Party,4
TAS,319,Clark,8442,Battery Point,L,42121,0,L Above-the-line Votes,"Shooters, Fishers and Farmers Party",1
TAS,319,Clark,8442,Battery Point,L,42012,1,"BIGG, Phillip","Shooters, Fishers and Farmers Party",0
TAS,319,Clark,8442,Battery Point,L,42014,2,"ROACH, Melanie","Shooters, Fishers and Farmers Party",0
TAS,319,Clark,8442,Battery Point,UG,42066,1,"EDWARDS, Fenella",Independent,2
TAS,319,Clark,8442,Battery Point,ZZ,0,99,INFORMAL,,15
TAS,319,Clark,8443,Moonah East,A,42122,0,A Above-the-line Votes,Sustainable Australia Party - Universal Basic Income,17
TAS,319,Clark,8443,Moonah East,A,42009,1,"BILIC, Dennis",Sustainable Australia Party - Universal Basic Income,10
TAS,319,Clark,8443,Moonah East,A,42013,2,"RICHARDSON, Pierre",Sustainable Australia Party - Universal Basic Income,0
TAS,319,Clark,8443,Moonah East,B,42111,0,B Above-the-line Votes,Liberal,135
TAS,319,Clark,8443,Moonah East,B,40691,1,"CHANDLER, Claire",Liberal,16
TAS,319,Clark,8443,Moonah East,B,40692,2,"COLBECK, Richard Mansell",Liberal,8
TAS,319,Clark,8443,Moonah East,B,40693,3,"MARTIN, Jacki",Liberal,6
TAS,319,Clark,8443,Moonah East,C,42115,0,C Above-the-line Votes,Trumpet of Patriots,46
TAS,319,Clark,8443,Moonah East,C,41393,1,"MOORE, Wayne Leslie",Trumpet of Patriots,4
TAS,319,Clark,8443,Moonah East,C,41401,2,"KELLY, Matt",Trumpet of Patriots,1
TAS,319,Clark,8443,Moonah East,C,41419,3,"SMITH, Greg",Trumpet of Patriots,1
TAS,319,Clark,8443,Moonah East,D,42113,0,D Above-the-line Votes,Legalise Cannabis Party,55
TAS,319,Clark,8443,Moonah East,D,40841,1,"OWEN, Matt",Legalise Cannabis Party,4
TAS,319,Clark,8443,Moonah East,D,40847,2,"HESTER, Gail",Legalise Cannabis Party,1
TAS,319,Clark,8443,Moonah East,E,42119,0,E Above-the-line Votes,Animal Justice Party,24
TAS,319,Clark,8443,Moonah East,E,41753,1,"DAVIES, Casey",Animal Justice Party,3
TAS,319,Clark,8443,Moonah East,E,41757,2,"LUCAS, Kate Elizabeth",Animal Justice Party,0
TAS,319,Clark,8443,Moonah East,F,42112,0,F Above-the-line Votes,The Greens,288
TAS,319,Clark,8443,Moonah East,F,41165,1,"McKIM, Nick",The Greens,167
TAS,319,Clark,8443,Moonah East,F,41168,2,"BLEYER, Vanessa",The Greens,15
TAS,319,Clark,8443,Moonah East,F,41169,3,"JORDAN, Scott",The Greens,1
