,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Special Votes,,,,,,,,,,,,,,,,,,,,,,,,,,
Candidates,Avoca,Bagdad,Beaconsfield,Beauty Point,Bicheno,Bothwell,Bracknell,Bridgewater,Brighton,Broadmarsh,Campania,Campbell Town,Carrick,Chudleigh,Claude Road,Colebrook,Coles Bay,Copping,Cressy,Deloraine,Dodges Ferry,Dromedary,Dunalley,Elizabeth Town,Epping,Evandale,Exeter,Fingal,Forcett,Frankford,Gagebrook,Glengarry,Glenora,Granton,Gravelly Beach,Hagley,Kelso,Kempton,Lachlan,Legana (Lyons),Levendale,Longford,Lower Barrington,Magra,Mathinna,Maydena,Meander,Midway Point,Miena,Mole Creek,Molesworth,Moriarty,New Norfolk,New Norfolk North,Nubeena,Oatlands,Orford,Ouse,Perth,Pontville,Port Sorell,Primrose Sands,Railton,Ross,Sassafras,Scamander,Sheffield,Sidmouth,Sorell,St Helens,St Marys,Swansea,Taranna,Tea Tree,Triabunna,Tunnack,Wesley Vale,Westbury,Westerway,Wilmot,Total Ordinary Votes,Out of Division Votes,Mobile Votes,Postal Votes,Pre-Poll Votes,Provisional Votes,Total,,,,,,,,,,,,,,,,,,,,,
Liberal Party, 104, 347, 498, 346, 357, 205, 318, 630, 986, 102, 257, 326, 404, 162, 192, 84, 107, 106, 411,1 028, 695, 158, 157, 229, 97, 538, 612, 167, 214, 58, 259, 194, 160, 267, 255, 198, 146, 159, 142, 544, 52,1 306, 301, 248, 15, 34, 129, 596, 85, 187, 99, 136, 756, 475, 255, 357, 273, 198,1 067, 278,1 458, 168, 332, 155, 205, 194, 592, 259, 901, 604, 180, 421, 154, 123, 314, 106, 129, 747, 122, 110,26 340,3 419, 279,2 654,2 203, 100,34 995,,,,,,,,,,,,,,,,,,,,,
"BUTLER, Jen", 6, 19, 19, 12, 14, 7, 0, 171, 76, 12, 7, 16, 21, 4, 2, 2, 1, 2, 11, 29, 14, 19, 4, 2, 4, 18, 26, 14, 3, 3, 86, 2, 5, 13, 5, 3, 4, 7, 12, 5, 0, 62, 6, 13, 1, 1, 6, 19, 6, 3, 9, 7, 74, 42, 6, 13, 2, 7, 32, 16, 34, 9, 16, 5, 1, 23, 25, 4, 21, 59, 23, 12, 2, 4, 2, 2, 2, 21, 7, 10,1 287, 144, 21, 108, 50, 6,1 616,,,,,,,,,,,,,,,,,,,,,
"CLARK, Darren", 4, 37, 11, 15, 7, 5, 4, 160, 91, 4, 5, 21, 1, 0, 4, 4, 3, 0, 4, 10, 28, 4, 7, 4, 0, 9, 12, 4, 5, 1, 55, 2, 6, 4, 9, 2, 3, 7, 13, 13, 1, 20, 9, 19, 1, 4, 0, 16, 1, 3, 7, 0, 107, 91, 11, 24, 8, 5, 17, 18, 18, 7, 16, 2, 0, 6, 10, 3, 26, 6, 10, 14, 1, 5, 21, 3, 0, 8, 11, 6,1 113, 132, 18, 94, 39, 5,1 401,,,,,,,,,,,,,,,,,,,,,
"GAFFNEY, Gerard", 1, 4, 17, 13, 3, 3, 1, 15, 16, 4, 1, 7, 3, 2, 14, 0, 1, 2, 3, 19, 4, 2, 4, 5, 2, 8, 11, 3, 4, 0, 13, 6, 2, 5, 7, 2, 3, 4, 5, 4, 0, 10, 9, 4, 1, 3, 2, 12, 0, 4, 4, 12, 16, 9, 6, 2, 3, 2, 7, 3, 74, 4, 39, 2, 1, 8, 44, 3, 11, 6, 6, 2, 7, 0, 3, 2, 10, 8, 1, 6, 569, 99, 16, 48, 19, 1, 752,,,,,,,,,,,,,,,,,,,,,
"LAMBERT, Janet", 11, 6, 32, 14, 12, 7, 5, 56, 42, 2, 7, 50, 11, 8, 12, 3, 5, 2, 39, 42, 17, 4, 9, 5, 6, 58, 33, 16, 4, 3, 31, 7, 7, 9, 9, 1, 4, 7, 9, 23, 0, 120, 7, 11, 6, 2, 9, 19, 5, 5, 4, 4, 42, 18, 5, 13, 6, 7, 168, 12, 48, 16, 23, 12, 2, 14, 27, 2, 24, 29, 28, 13, 4, 2, 8, 6, 2, 40, 6, 5,1 402, 163, 20, 125, 59, 14,1 783,,,,,,,,,,,,,,,,,,,,,
"WHITE, Rebecca", 19, 174, 238, 132, 139, 67, 46, 537, 586, 62, 131, 135, 93, 28, 52, 51, 38, 90, 76, 310, 806, 93, 140, 52, 23, 126, 186, 48, 198, 15, 258, 50, 82, 160, 95, 28, 55, 74, 126, 143, 12, 334, 88, 123, 8, 9, 36, 487, 32, 35, 99, 41, 642, 317, 244, 142, 103, 89, 266, 167, 460, 223, 129, 70, 21, 102, 192, 74, 789, 225, 131, 165, 136, 62, 157, 51, 23, 213, 87, 41,12 387,1 523, 113,1 211,1 033, 71,16 338,,,,,,,,,,,,,,,,,,,,,
"WRIGHT, Kylie", 1, 3, 19, 5, 16, 2, 4, 29, 25, 3, 4, 5, 6, 1, 4, 3, 2, 1, 5, 23, 9, 1, 3, 5, 2, 5, 14, 17, 1, 3, 12, 1, 5, 7, 5, 1, 5, 3, 8, 6, 2, 16, 7, 2, 2, 1, 1, 6, 2, 2, 6, 0, 31, 12, 6, 6, 5, 0, 13, 4, 24, 3, 12, 4, 0, 45, 11, 2, 12, 93, 34, 10, 5, 3, 5, 2, 1, 7, 3, 1, 675, 85, 11, 62, 79, 8, 920,,,,,,,,,,,,,,,,,,,,,
Australian Labor Party, 42, 243, 336, 191, 191, 91, 60, 968, 836, 87, 155, 234, 135, 43, 88, 63, 50, 97, 138, 433, 878, 123, 167, 73, 37, 224, 282, 102, 215, 25, 455, 68, 107, 198, 130, 37, 74, 102, 173, 194, 15, 562, 126, 172, 19, 20, 54, 559, 46, 52, 129, 64, 912, 489, 278, 200, 127, 110, 503, 220, 658, 262, 235, 95, 25, 198, 309, 88, 883, 418, 232, 216, 155, 76, 196, 66, 38, 297, 115, 69,17 433,2 146, 199,1 648,1 279, 105,22 810,,,,,,,,,,,,,,,,,,,,,
"BRINDLEY, Fraser", 0, 5, 12, 9, 48, 1, 6, 8, 8, 4, 7, 8, 16, 17, 25, 5, 13, 27, 2, 108, 108, 8, 28, 14, 3, 47, 38, 3, 11, 0, 11, 12, 7, 6, 22, 2, 3, 1, 16, 21, 0, 37, 10, 5, 0, 4, 14, 13, 2, 17, 10, 10, 34, 11, 55, 23, 43, 5, 23, 6, 40, 17, 14, 5, 0, 28, 30, 14, 36, 54, 32, 47, 35, 4, 19, 3, 5, 43, 6, 17,1 461, 187, 5, 111, 137, 4,1 905,,,,,,,,,,,,,,,,,,,,,
"HUTCHINSON, Helen", 1, 8, 12, 10, 7, 1, 4, 12, 15, 4, 1, 1, 6, 6, 8, 0, 6, 8, 1, 35, 30, 3, 5, 8, 1, 8, 17, 3, 0, 2, 7, 4, 3, 4, 15, 6, 7, 1, 9, 17, 1, 10, 8, 4, 2, 1, 7, 9, 1, 1, 8, 1, 23, 5, 18, 6, 4, 0, 13, 9, 27, 2, 4, 3, 0, 10, 15, 4, 22, 8, 15, 7, 6, 3, 2, 1, 2, 17, 8, 6, 589, 128, 3, 55, 39, 4, 818,,,,,,,,,,,,,,,,,,,,,
"LANDON-LANE, Lucy", 1, 2, 16, 16, 10, 2, 4, 9, 20, 1, 4, 7, 4, 3, 11, 2, 3, 6, 3, 26, 35, 4, 7, 8, 0, 12, 23, 2, 6, 1, 1, 6, 2, 6, 28, 6, 7, 0, 8, 14, 0, 12, 3, 4, 0, 1, 2, 12, 1, 2, 5, 1, 25, 3, 11, 3, 4, 0, 19, 4, 23, 3, 4, 2, 1, 10, 10, 16, 12, 18, 11, 8, 7, 4, 2, 0, 6, 12, 3, 3, 593, 128, 3, 66, 40, 2, 832,,,,,,,,,,,,,,,,,,,,,
"MILLAR, Glenn", 0, 2, 5, 5, 4, 0, 6, 2, 8, 0, 3, 4, 0, 3, 9, 2, 7, 3, 1, 16, 30, 2, 2, 7, 1, 5, 14, 0, 8, 0, 4, 6, 2, 4, 11, 2, 2, 1, 4, 10, 0, 9, 3, 1, 0, 1, 1, 13, 0, 1, 7, 1, 7, 7, 4, 4, 6, 2, 6, 3, 12, 0, 3, 0, 1, 6, 13, 7, 17, 9, 7, 7, 3, 0, 2, 1, 0, 6, 4, 3, 372, 60, 4, 38, 26, 1, 501,,,,,,,,,,,,,,,,,,,,,
"WHISSON, Gary", 4, 3, 9, 4, 4, 1, 3, 2, 5, 1, 0, 3, 1, 2, 3, 0, 1, 2, 1, 27, 12, 3, 4, 4, 2, 3, 10, 0, 2, 1, 2, 4, 0, 2, 4, 1, 4, 2, 2, 8, 1, 8, 3, 2, 1, 0, 2, 10, 0, 2, 4, 2, 14, 5, 7, 5, 5, 0, 5, 2, 15, 5, 5, 2, 0, 6, 7, 5, 12, 12, 6, 8, 9, 0, 4, 0, 4, 10, 3, 9, 346, 56, 2, 28, 30, 1, 463,,,,,,,,,,,,,,,,,,,,,
Tasmanian Greens, 6, 20, 54, 44, 73, 5, 23, 33, 56, 10, 15, 23, 27, 31, 56, 9, 30, 46, 8, 212, 215, 20, 46, 41, 7, 75, 102, 8, 27, 4, 25, 32, 14, 22, 80, 17, 23, 5, 39, 70, 2, 76, 27, 16, 3, 7, 26, 57, 4, 23, 34, 15, 103, 31, 95, 41, 62, 7, 66, 24, 117, 27, 30, 12, 2, 60, 75, 46, 99, 101, 71, 77, 60, 11, 29, 5, 17, 88, 24, 38,3 361, 559, 17, 298, 272, 12,4 519,,,,,,,,,,,,,,,,,,,,,
"ALLEN, Matthew", 4, 6, 4, 1, 10, 6, 4, 19, 22, 3, 5, 9, 5, 1, 3, 1, 0, 1, 12, 11, 10, 0, 5, 3, 1, 12, 6, 4, 3, 2, 9, 4, 2, 5, 1, 3, 0, 5, 1, 5, 1, 14, 5, 6, 3, 0, 0, 7, 2, 4, 1, 3, 11, 9, 3, 5, 3, 5, 19, 4, 9, 4, 8, 9, 5, 5, 7, 3, 15, 9, 8, 12, 0, 0, 8, 0, 1, 11, 8, 0, 435, 79, 0, 49, 32, 1, 596,,,,,,,,,,,,,,,,,,,,,
"BROADBY, Shane", 5, 13, 12, 3, 3, 5, 3, 24, 25, 5, 8, 5, 2, 4, 4, 4, 1, 3, 5, 4, 18, 2, 0, 2, 2, 3, 4, 5, 6, 2, 10, 4, 2, 5, 1, 2, 0, 6, 3, 3, 1, 8, 3, 10, 1, 2, 3, 9, 1, 3, 3, 4, 13, 10, 10, 7, 4, 7, 5, 3, 9, 3, 13, 3, 5, 4, 11, 3, 13, 11, 2, 5, 3, 2, 6, 3, 0, 6, 5, 2, 434, 96, 1, 51, 36, 5, 623,,,,,,,,,,,,,,,,,,,,,
"DI FALCO, Carlo", 2, 6, 4, 1, 5, 8, 1, 13, 14, 1, 5, 9, 6, 1, 2, 7, 1, 2, 6, 9, 11, 1, 2, 0, 1, 3, 3, 2, 8, 0, 6, 1, 2, 5, 1, 2, 0, 4, 1, 2, 2, 6, 2, 3, 0, 1, 0, 8, 2, 1, 2, 3, 10, 6, 5, 4, 5, 3, 6, 4, 3, 3, 5, 6, 0, 1, 10, 2, 18, 6, 6, 5, 2, 1, 5, 4, 0, 5, 1, 3, 317, 47, 1, 33, 22, 3, 423,,,,,,,,,,,,,,,,,,,,,
"HARVEY, Andrew", 4, 12, 18, 3, 4, 12, 6, 13, 14, 4, 6, 14, 6, 1, 2, 5, 0, 2, 6, 9, 11, 2, 4, 2, 3, 8, 17, 3, 3, 1, 11, 2, 3, 7, 4, 2, 1, 3, 8, 6, 1, 20, 9, 6, 1, 1, 0, 10, 2, 4, 1, 3, 12, 11, 1, 9, 2, 4, 14, 2, 10, 8, 6, 2, 3, 5, 5, 4, 19, 8, 4, 7, 1, 2, 11, 3, 1, 9, 4, 2, 469, 68, 3, 43, 36, 2, 621,,,,,,,,,,,,,,,,,,,,,
"TURALE, Wayne", 1, 7, 8, 1, 4, 13, 2, 10, 11, 1, 4, 14, 3, 1, 4, 3, 0, 1, 9, 8, 7, 5, 2, 2, 2, 8, 7, 5, 4, 2, 10, 2, 4, 4, 2, 2, 0, 4, 3, 4, 1, 11, 2, 6, 0, 0, 1, 10, 7, 3, 2, 1, 14, 8, 8, 7, 3, 10, 9, 4, 7, 3, 9, 2, 4, 7, 11, 1, 11, 7, 6, 3, 2, 2, 6, 1, 3, 9, 9, 1, 395, 64, 4, 56, 14, 2, 535,,,,,,,,,,,,,,,,,,,,,
"Shooters, Fishers, Farmers Tas", 16, 44, 46, 9, 26, 44, 16, 79, 86, 14, 28, 51, 22, 8, 15, 20, 2, 9, 38, 41, 57, 10, 13, 9, 9, 34, 37, 19, 24, 7, 46, 13, 13, 26, 9, 11, 1, 22, 16, 20, 6, 59, 21, 31, 5, 4, 4, 44, 14, 15, 9, 14, 60, 44, 27, 32, 17, 29, 53, 17, 38, 21, 41, 22, 17, 22, 44, 13, 76, 41, 26, 32, 8, 7, 36, 11, 5, 40, 27, 8,2 050, 354, 9, 232, 140, 13,2 798,,,,,,,,,,,,,,,,,,,,,
"MURTAGH, Tennille", 0, 1, 2, 0, 0, 1, 0, 31, 10, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 4, 2, 1, 0, 3, 0, 1, 0, 0, 0, 1, 6, 1, 5, 4, 1, 1, 1, 2, 0, 1, 1, 6, 0, 0, 0, 0, 0, 3, 1, 1, 2, 0, 1, 1, 1, 4, 0, 0, 3, 2, 3, 0, 0, 1, 0, 2, 1, 1, 3, 1, 0, 0, 0, 1, 0, 1, 0, 1, 2, 1, 125, 15, 0, 7, 3, 2, 152,,,,,,,,,,,,,,,,,,,,,
"PEART, Kim", 0, 2, 2, 1, 1, 2, 3, 4, 6, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 3, 1, 0, 0, 1, 0, 2, 2, 2, 0, 1, 6, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 4, 1, 2, 0, 0, 0, 4, 1, 1, 1, 2, 6, 4, 2, 0, 0, 2, 5, 0, 4, 3, 1, 3, 0, 1, 2, 4, 5, 2, 1, 2, 0, 1, 1, 0, 0, 2, 0, 1, 116, 20, 1, 14, 7, 1, 159,,,,,,,,,,,,,,,,,,,,,
Ungrouped, 0, 3, 4, 1, 1, 3, 3, 35, 16, 0, 2, 2, 1, 0, 2, 1, 0, 0, 0, 7, 3, 1, 0, 4, 0, 3, 2, 2, 0, 2, 12, 1, 6, 4, 1, 1, 1, 4, 0, 1, 1, 10, 1, 2, 0, 0, 0, 7, 2, 2, 3, 2, 7, 5, 3, 4, 0, 2, 8, 2, 7, 3, 1, 4, 0, 3, 3, 5, 8, 3, 1, 2, 0, 2, 1, 1, 0, 3, 2, 2, 241, 35, 1, 21, 10, 3, 311,,,,,,,,,,,,,,,,,,,,,
Total Formal Votes, 177, 701,1 024, 627, 671, 360, 440,1 874,2 078, 221, 489, 670, 610, 267, 383, 190, 194, 266, 636,1 830,1 917, 337, 392, 379, 155, 904,1 108, 310, 496, 101, 847, 332, 315, 546, 509, 271, 263, 306, 395, 871, 82,2 124, 511, 504, 44, 73, 232,1 320, 162, 295, 288, 239,1 967,1 115, 688, 657, 507, 362,1 781, 561,2 411, 516, 703, 309, 257, 503,1 074, 429,2 059,1 221, 547, 769, 404, 225, 619, 196, 200,1 252, 304, 238,52 210,6 936, 538,5 211,4 071, 256,69 222,,,,,,,,,,,,,,,,,,,,,
Informal Ballot Papers, 6, 36, 68, 41, 36, 33, 13, 189, 167, 11, 30, 45, 30, 17, 23, 8, 8, 5, 46, 116, 93, 19, 17, 13, 18, 54, 38, 29, 25, 2, 108, 17, 35, 38, 24, 8, 8, 19, 38, 59, 4, 151, 27, 49, 8, 6, 14, 68, 7, 13, 11, 15, 152, 87, 37, 33, 33, 20, 142, 38, 129, 37, 49, 19, 11, 18, 61, 26, 98, 86, 35, 39, 27, 11, 63, 12, 4, 83, 26, 17,3 356, 471, 41, 111, 169, 26,4 174,,,,,,,,,,,,,,,,,,,,,
Total Ballot Papers, 183, 737,1 092, 668, 707, 393, 453,2 063,2 245, 232, 519, 715, 640, 284, 406, 198, 202, 271, 682,1 946,2 010, 356, 409, 392, 173, 958,1 146, 339, 521, 103, 955, 349, 350, 584, 533, 279, 271, 325, 433, 930, 86,2 275, 538, 553, 52, 79, 246,1 388, 169, 308, 299, 254,2 119,1 202, 725, 690, 540, 382,1 923, 599,2 540, 553, 752, 328, 268, 521,1 135, 455,2 157,1 307, 582, 808, 431, 236, 682, 208, 204,1 335, 330, 255,55 566,7 407, 579,5 322,4 240, 282,73 396,,,,,,,,,,,,,,,,,,,,,
