2025 Federal Election Senate First Preferences By Polling Place for Division 196 [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:29 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,196,Lyons,8500,Bridgewater,L,42014,2,"ROACH, Melanie","Shooters, Fishers and Farmers Party",0
TAS,196,Lyons,8500,Bridgewater,UG,42066,1,"EDWARDS, Fenella",Independent,3
TAS,196,Lyons,8500,Bridgewater,ZZ,0,99,INFORMAL,,107
TAS,196,Lyons,8509,Gagebrook,A,42122,0,A Above-the-line Votes,Sustainable Australia Party - Universal Basic Income,11
TAS,196,Lyons,8509,Gagebrook,A,42009,1,"BILIC, Dennis",Sustainable Australia Party - Universal Basic Income,6
TAS,196,Lyons,8509,Gagebrook,A,42013,2,"RICHARDSON, Pierre",Sustainable Australia Party - Universal Basic Income,1
TAS,196,Lyons,8509,Gagebrook,B,42111,0,B Above-the-line Votes,Liberal,69
TAS,196,Lyons,8509,Gagebrook,B,40691,1,"CHANDLER, Claire",Liberal,6
TAS,196,Lyons,8509,Gagebrook,B,40692,2,"COLBECK, Richard Mansell",Liberal,3
TAS,196,Lyons,8509,Gagebrook,B,40693,3,"MARTIN, Jacki",Liberal,0
TAS,196,Lyons,8509,Gagebrook,C,42115,0,C Above-the-line Votes,Trumpet of Patriots,26
TAS,196,Lyons,8509,Gagebrook,C,41393,1,"MOORE, Wayne Leslie",Trumpet of Patriots,7
TAS,196,Lyons,8509,Gagebrook,C,41401,2,"KELLY, Matt",Trumpet of Patriots,1
TAS,196,Lyons,8509,Gagebrook,C,41419,3,"SMITH, Greg",Trumpet of Patriots,0
TAS,196,Lyons,8509,Gagebrook,D,42113,0,D Above-the-line Votes,Legalise Cannabis Party,65
TAS,196,Lyons,8509,Gagebrook,D,40841,1,"OWEN, Matt",Legalise Cannabis Party,6
TAS,196,Lyons,8509,Gagebrook,D,40847,2,"HESTER, Gail",Legalise Cannabis Party,2
TAS,196,Lyons,8509,Gagebrook,E,42119,0,E Above-the-line Votes,Animal Justice Party,11
TAS,196,Lyons,8509,Gagebrook,E,41753,1,"DAVIES, Casey",Animal Justice Party,3
TAS,196,Lyons,8509,Gagebrook,E,41757,2,"LUCAS, Kate Elizabeth",Animal Justice Party,1
TAS,196,Lyons,8509,Gagebrook,F,42112,0,F Above-the-line Votes,The Greens,38
TAS,196,Lyons,8509,Gagebrook,F,41165,1,"McKIM, Nick",The Greens,10
TAS,196,Lyons,8509,Gagebrook,F,41168,2,"BLEYER, Vanessa",The Greens,1
TAS,196,Lyons,8509,Gagebrook,F,41169,3,"JORDAN, Scott",The Greens,1
TAS,196,Lyons,8509,Gagebrook,F,41171,4,"HOARE, Trenton",The Greens,0
TAS,196,Lyons,8509,Gagebrook,G,42117,0,G Above-the-line Votes,Jacqui Lambie Network,46
TAS,196,Lyons,8509,Gagebrook,G,41773,1,"LAMBIE, Jacqui",Jacqui Lambie Network,8
TAS,196,Lyons,8509,Gagebrook,G,41779,2,"HANNAN, Christine",Jacqui Lambie Network,0
TAS,196,Lyons,8509,Gagebrook,H,42120,0,H Above-the-line Votes,Libertarian,1
