2010 Federal Election Senate First Preferences By Polling Place for Division 196 [Event:15508 Phase:FinalResults Generated:2013-01-22T15:04:00 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,196,Lyons,8509,Gagebrook,F,22051,0,F Ticket Votes,Australian Greens,96
TAS,196,Lyons,8509,Gagebrook,F,20801,1,"MILNE, Christine",Australian Greens,10
TAS,196,Lyons,8509,Gagebrook,F,20802,2,"WHISH-WILSON, Peter Stuart",Australian Greens,2
TAS,196,Lyons,8509,Gagebrook,F,20805,3,"ANN, Penelope",Australian Greens,1
TAS,196,Lyons,8509,Gagebrook,G,22056,0,G Ticket Votes,Secular Party of Australia,2
TAS,196,Lyons,8509,Gagebrook,G,21676,1,"KEOGH, Jeff",Secular Party of Australia,0
TAS,196,Lyons,8509,Gagebrook,G,21679,2,"CHOI, Jin-oh",Secular Party of Australia,0
TAS,196,Lyons,8509,Gagebrook,H,22060,0,H Ticket Votes,Democratic Labor Party (DLP) of Australia,11
TAS,196,Lyons,8509,Gagebrook,H,21972,1,"GORA, Mishka",Democratic Labor Party (DLP) of Australia,1
TAS,196,Lyons,8509,Gagebrook,H,21975,2,"WILLIAMS, Margaret Mary",Democratic Labor Party (DLP) of Australia,0
TAS,196,Lyons,8509,Gagebrook,I,22058,0,I Ticket Votes,Family First,27
TAS,196,Lyons,8509,Gagebrook,I,21916,1,"ZUBIC, Jim",Family First,5
TAS,196,Lyons,8509,Gagebrook,I,21917,2,"WOODCOCK, Hamish McKinnon",Family First,0
TAS,196,Lyons,8509,Gagebrook,J,22054,0,J Ticket Votes,The Climate Sceptics,0
TAS,196,Lyons,8509,Gagebrook,J,21743,1,"WALLER, Frank",The Climate Sceptics,0
TAS,196,Lyons,8509,Gagebrook,J,21746,2,"COSTELLA, Sally",The Climate Sceptics,0
TAS,196,Lyons,8509,Gagebrook,UG,21964,1,"OTTAVI, Dino",Independent,3
TAS,196,Lyons,8509,Gagebrook,ZZ,0,99,INFORMAL,,48
TAS,196,Lyons,8550,Avoca,A,22057,0,A Ticket Votes,Senator On-Line,1
TAS,196,Lyons,8550,Avoca,A,21856,1,"MURRAY, Julie",Senator On-Line,0
TAS,196,Lyons,8550,Avoca,A,21858,2,"WIENER, Sven",Senator On-Line,0
TAS,196,Lyons,8550,Avoca,B,22053,0,B Ticket Votes,Australian Democrats,0
TAS,196,Lyons,8550,Avoca,B,21756,1,"HUTTON, Paulene",Australian Democrats,1
TAS,196,Lyons,8550,Avoca,B,21759,2,"NEAL, Timothy",Australian Democrats,0
