Candidates,Avoca,Bagdad,Beaconsfield,Beauty Point,Bicheno,Bishopsbourne,Bothwell,Bracknell,Bridgewater,Brighton,Broadmarsh,Bronte,Buckland,Campania,Campbell Town,Carrick,Chudleigh,Claude Road,Colebrook,Coles Bay,Copping,Cressy,Deloraine,Dodges Ferry,Dromedary,Dunalley,Elizabeth Town,Ellendale,Epping,Evandale,Exeter,Fingal,Forcett,Frankford,Gagebrook,Glengarry,Glenora,Granton,Gravelly Beach,Gretna,Hagley,Hamilton,Kelso,Kempton,Lachlan,Legana (Lyons),Levendale,Longford,Lower Barrington,Magra,Mathinna,Maydena,Meander,Midway Point,Miena,Mole Creek,Molesworth,Moriarty,New Norfolk,New Norfolk North,Nubeena,Oatlands,Orford,Ouse,Parattah,Perth,Pontville,Port Arthur,Port Sorell,Primrose Sands,Pyengana,Railton,Ross,Saltwater River,Sassafras,Scamander,Sheffield,Sidmouth,Sorell,St Helens,St Marys,Swansea,Taranna,Tea Tree,Triabunna,Tunnack,Wesley Vale,Westbury,Westerway,Whitemore,Wilmot,Total Ordinary Votes,Pre-Poll Votes,Postal Votes,Mobile Votes,Out of Division Votes,Provisional Votes,Total
LLEWELLYN David,37,69,72,37,61,4,39,6,299,197,18,5,11,22,69,22,11,22,13,9,13,48,89,99,36,27,19,10,15,58,49,35,20,5,172,34,18,48,28,14,14,6,11,44,30,24,7,140,46,47,18,10,11,65,13,13,27,11,178,162,44,45,12,14,11,106,57,8,133,38,12,73,28,7,9,69,107,19,109,193,87,35,22,19,36,14,10,49,18,2,12,4 135,46,460,67,519,35,5 262
WHITE Rebecca,16,122,109,96,50,4,43,14,486,334,26,8,15,70,103,26,12,33,37,18,68,66,163,498,49,82,17,5,20,54,87,21,146,6,218,11,29,68,31,17,15,12,11,44,44,40,21,174,21,52,9,8,8,340,12,8,48,10,293,186,113,52,50,23,15,176,111,29,114,115,4,63,33,22,7,68,69,28,572,156,54,90,47,28,89,16,11,89,18,4,7,6 907,90,668,52,810,62,8 589
Australian Labor Party,71,262,254,191,138,15,104,31,1 046,733,60,21,36,115,247,70,27,67,62,34,93,164,333,727,119,130,51,20,52,159,196,91,194,17,525,52,60,154,82,38,36,26,32,110,102,96,36,468,86,141,46,30,32,510,32,29,103,27,617,471,199,129,81,52,35,418,216,47,353,206,21,180,81,33,18,173,236,59,813,438,174,188,79,59,189,39,29,211,53,7,25,14 712,175,1 427,165,1 764,131,18 374
DAVEY Craig Terence,1,0,2,10,1,0,1,0,1,0,0,0,2,0,3,12,4,4,0,0,0,1,22,7,0,0,12,0,0,1,4,0,1,0,1,3,1,0,2,0,3,3,1,0,1,0,0,5,4,0,1,0,1,2,2,0,0,2,0,2,2,0,0,0,0,3,2,0,10,2,0,12,0,0,1,0,38,1,5,5,0,2,0,1,1,0,6,3,0,0,2,219,3,39,2,29,3,295
HALL Brett,3,2,0,0,1,1,3,2,2,6,1,1,1,2,7,2,4,0,4,0,1,3,1,1,1,3,0,2,1,5,3,1,8,0,1,2,0,2,1,1,0,5,0,0,0,0,0,6,2,0,0,0,2,1,0,0,0,10,7,3,2,10,3,7,11,6,1,0,7,1,0,0,2,1,0,1,5,0,7,4,0,2,0,2,2,4,0,7,3,0,0,203,0,16,2,21,1,243
PEROTTI Leo,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,1,3,0,0,2,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,3,2,1,0,1,0,0,1,0,1,2,0,1,2,0,0,1,0,1,0,1,1,0,0,0,0,1,0,2,2,0,0,0,57,0,19,0,13,0,89
SALT Anne,0,0,3,1,0,0,1,0,3,3,1,0,0,0,0,0,0,3,0,0,0,1,3,3,0,0,0,1,0,1,1,1,0,1,2,0,0,2,1,0,2,0,0,0,1,0,1,2,0,2,0,0,0,4,0,0,0,2,16,5,0,1,0,2,0,6,0,0,2,0,0,2,5,1,0,1,1,1,4,0,1,0,0,0,0,0,0,1,0,0,0,95,1,12,0,14,0,122
National Party,6,2,6,11,2,1,5,2,10,9,2,1,3,2,10,14,8,7,4,0,1,7,29,11,2,4,15,3,1,9,10,3,10,1,5,6,2,5,4,1,5,8,1,0,2,1,1,14,7,3,1,1,4,7,2,0,0,15,26,12,5,11,4,9,11,16,3,1,21,3,1,16,7,2,2,2,45,2,17,10,1,4,0,3,4,4,8,13,3,0,2,574,4,86,4,77,4,749
GREWAR Mark,4,10,18,11,8,0,2,2,28,18,3,0,0,15,8,3,2,6,3,0,4,11,23,24,0,7,8,1,1,8,12,9,7,2,18,6,4,5,5,2,3,3,4,2,2,13,2,31,8,1,1,3,4,23,2,2,2,5,14,12,3,7,4,1,0,24,10,4,36,8,0,19,5,2,4,11,11,9,22,13,15,6,2,0,5,2,2,17,3,0,5,685,8,59,1,105,9,867
SHOOBRIDGE Wayne,4,12,29,6,11,0,9,5,46,38,2,1,3,10,19,4,4,9,3,2,2,12,21,41,6,7,5,4,2,12,21,6,14,3,24,1,3,13,4,2,8,3,2,2,9,10,1,33,5,10,4,3,2,25,2,2,9,4,41,28,11,11,3,3,8,23,12,11,32,13,2,8,4,4,2,13,8,9,30,23,12,16,5,5,6,7,2,16,4,1,6,933,19,142,2,128,9,1 233
VON STIEGLITZ Quentin,5,17,42,23,13,2,5,7,28,38,4,4,2,7,15,5,6,16,4,1,1,17,56,33,8,8,13,0,6,27,32,9,12,6,13,6,1,9,17,3,7,6,9,10,9,16,3,61,23,6,1,3,3,18,1,9,2,7,25,18,10,5,9,3,2,58,18,3,65,10,2,44,5,3,11,13,52,22,27,53,21,12,9,4,9,5,8,29,1,1,9,1 281,36,155,7,168,11,1 658
Palmer United Party,13,39,89,40,32,2,16,14,102,94,9,5,5,32,42,12,12,31,10,3,7,40,100,98,14,22,26,5,9,47,65,24,33,11,55,13,8,27,26,7,18,12,15,14,20,39,6,125,36,17,6,9,9,66,5,13,13,16,80,58,24,23,16,7,10,105,40,18,133,31,4,71,14,9,17,37,71,40,79,89,48,34,16,9,20,14,12,62,8,2,20,2 899,63,356,10,401,29,3 758
BELCHER Paul,0,17,3,1,1,0,9,0,25,96,5,5,1,13,4,3,1,0,8,1,2,3,11,9,12,3,0,10,0,2,5,1,7,0,16,1,10,26,2,9,3,4,0,13,49,3,3,6,0,57,0,5,3,9,1,1,11,0,237,188,4,26,0,6,2,6,21,0,9,7,0,5,8,0,1,1,2,0,13,5,2,0,2,3,2,4,0,9,5,0,1,1 059,2,109,6,59,17,1 252
STEWART Murray,1,0,6,1,0,0,0,0,5,4,0,0,1,1,0,2,0,0,1,0,2,1,10,8,1,0,5,0,0,1,4,0,3,0,5,0,0,4,1,0,2,1,1,1,0,3,0,6,1,1,0,0,1,4,2,2,1,0,5,1,1,2,2,1,0,0,2,0,6,1,1,6,0,2,0,1,1,2,4,2,0,0,0,0,3,0,0,5,0,0,0,141,5,21,1,23,2,193
Total Formal Votes,205,684,928,745,610,89,377,364,1 804,1 951,179,96,133,477,653,529,259,378,182,171,378,620,1 855,2 006,346,446,402,143,204,906,1 055,287,611,127,860,283,180,496,526,177,324,125,238,296,399,809,114,2 012,498,468,88,130,275,1 355,117,291,291,252,1 779,1 228,527,566,461,213,132,1 792,663,180,2 123,468,118,701,308,106,221,569,994,498,2 027,1 739,536,706,296,206,574,185,179,1 178,204,83,211,52 575,1 176,5 444,489,6 284,386,66 354
Informal Ballot Papers,10,53,52,37,30,1,24,17,154,111,7,13,7,23,30,34,13,30,21,5,18,40,92,103,21,25,14,16,16,53,51,24,35,4,88,17,17,43,25,6,15,6,13,14,25,40,7,143,32,38,6,8,11,100,2,15,17,9,161,111,24,28,12,22,11,104,34,13,97,31,11,69,15,7,9,33,56,28,133,72,35,26,12,5,32,8,11,76,14,6,11,3 198,43,131,31,395,30,3 828
Total Ballot Papers,215,737,980,782,640,90,401,381,1 958,2 062,186,109,140,500,683,563,272,408,203,176,396,660,1 947,2 109,367,471,416,159,220,959,1 106,311,646,131,948,300,197,539,551,183,339,131,251,310,424,849,121,2 155,530,506,94,138,286,1 455,119,306,308,261,1 940,1 339,551,594,473,235,143,1 896,697,193,2 220,499,129,770,323,113,230,602,1 050,526,2 160,1 811,571,732,308,211,606,193,190,1 254,218,89,222,55 773,1 219,5 575,520,6 679,416,70 182
