PollingPlaceNm,Locality,Polling Place Address,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesSuburb,PremisesPostCode,PremisesState,LocationWithinPremise,AccessToLocation,Disabled Access
South Launceston,South Launceston,"Launceston RSL, 313-315 Wellington St, SOUTH LAUNCESTON TAS 7249",Launceston RSL,313-315 Wellington St,,South Launceston,7249,TAS,,,Assistance
Five Ways,South Launceston,"St Mark's Church Hall, 6 Hobart Rd, SOUTH LAUNCESTON TAS 7249",St Mark's Church Hall,6 Hobart Rd,,South Launceston,7249,TAS,,,Assistance
St Leonards,St Leonards,"St Leonards Primary School, 330-342 St Leonards Rd, ST LEONARDS TAS 7250",St Leonards Primary School,330-342 St Leonards Rd,,St Leonards,7250,TAS,,,Assistance
Summerhill,Summerhill,"Summerdale Community Centre, 82-84 Stanley St, SUMMERHILL TAS 7250",Summerdale Community Centre,82-84 Stanley St,,Summerhill,7250,TAS,,,Assistance
Riverside West,Trevallyn,"Trevallyn Life Church, 34 Pitt Ave, TREVALLYN TAS 7250",Trevallyn Life Church,34 Pitt Ave,,Trevallyn,7250,TAS,,,Assistance
Trevallyn,Trevallyn,"Trevallyn Primary School, 55 Gorge Rd, TREVALLYN TAS 7250",Trevallyn Primary School,55 Gorge Rd,,Trevallyn,7250,TAS,,,Full
Waverley,Waverley,"Waverley Primary School, 6 Naroo St, WAVERLEY TAS 7250",Waverley Primary School,6 Naroo St,,Waverley,7250,TAS,,,Assistance
West Launceston,West Launceston,"West Launceston Primary School, 24-38 Basin Rd, WEST LAUNCESTON TAS 7250",West Launceston Primary School,24-38 Basin Rd,,West Launceston,7250,TAS,,,Assistance
Weymouth,Weymouth,"Weymouth Hall, 18 Major St, WEYMOUTH TAS 7252",Weymouth Hall,18 Major St,,Weymouth,7252,TAS,,,Assistance
Whitemark,Whitemark,"Whitemark Lions Club, James St, WHITEMARK TAS 7255",Whitemark Lions Club,James St,,Whitemark,7255,TAS,,,Assistance
Winnaleah,Winnaleah,"Winnaleah Memorial Hall, 20 Main St, WINNALEAH TAS 7263",Winnaleah Memorial Hall,20 Main St,,Winnaleah,7263,TAS,,,None
Youngtown,Youngtown,"Youngtown Primary School, Cnr Victoria & Napier St, YOUNGTOWN TAS 7249",Youngtown Primary School,Cnr Victoria & Napier St,,Youngtown,7249,TAS,,,Assistance
