Candidates,Abbotsham,Acton,Ambleside,Boat Harbour,Burnie,Calder,Cooee,Currie,Devonport,Devonport Central,Devonport North,Devonport North West,Devonport South,Devonport West,Don,East Devonport,Edith Creek,Elliott,Forest,Forth,Gawler,Grassy,Gunns Plains,Havenview,Heybridge,Highclere,Irishtown,Latrobe,Marrawah,Mawbanna,Melrose,Miandetta,Montagu,Montello,Moorleah,Natone,North Motton,Penguin,Preston,Queenstown,Reekara,Riana,Ridgley,Rocky Cape,Romaine,Rosebery,Savage River,Shorewell Park,Sisters Beach,Sisters Creek,Smithton,Somerset,South Burnie,South Riana,Sprent,Spreyton,Stanley,Stowport,Strahan,Sulphur Creek,Togari,Tullah,Turners Beach,Ulverstone Central,Ulverstone East,Ulverstone South,Waratah,West Ulverstone,Wivenhoe,Wynyard Central,Wynyard West,Yolla,Zeehan,Total Ordinary Votes,Pre-Poll Votes,Postal Votes,Mobile Votes,Out of Division,Provisional Votes,Total
Liberal Party,104,596,372,229,829,68,579,383,529,826,455,1 241,597,676,645,940,127,185,268,490,304,59,60,268,156,95,260,1 369,155,39,124,316,75,546,93,76,130,1 120,64,530,41,137,391,274,816,224,74,579,119,102,1 423,937,234,103,127,899,238,171,284,350,69,58,566,932,531,1 204,51,920,300,1 311,744,212,222,30 621,2 984,2 269,545,1 224,135,37 778
SWARTS Kevin,2,9,1,14,9,1,10,4,8,15,7,12,6,16,7,12,3,4,3,5,9,0,1,0,3,0,5,10,1,0,0,7,0,5,4,1,4,23,0,5,0,1,10,7,14,5,1,10,2,2,26,20,0,4,0,5,2,0,0,3,1,0,8,11,18,16,2,9,8,12,11,1,2,437,41,35,4,15,3,535
Australian Christians,2,9,1,14,9,1,10,4,8,15,7,12,6,16,7,12,3,4,3,5,9,0,1,0,3,0,5,10,1,0,0,7,0,5,4,1,4,23,0,5,0,1,10,7,14,5,1,10,2,2,26,20,0,4,0,5,2,0,0,3,1,0,8,11,18,16,2,9,8,12,11,1,2,437,41,35,4,15,3,535
CORNELL Chris,0,7,1,2,4,0,3,8,2,7,2,9,1,4,3,8,0,3,1,5,1,1,2,1,1,1,0,4,0,0,1,2,1,6,1,0,1,15,1,2,0,1,0,3,0,2,0,5,2,0,2,3,2,1,0,8,2,1,0,2,0,0,4,4,0,5,2,3,4,8,6,1,1,183,29,16,0,19,2,249
HOUGHTON Melissa,0,14,2,3,21,2,3,6,6,13,3,9,3,3,2,8,4,0,2,8,1,1,5,3,1,1,0,7,1,0,3,4,1,10,1,2,2,16,2,8,0,2,1,1,4,0,0,4,3,1,3,5,2,2,1,11,3,3,3,2,0,1,2,2,3,15,1,3,1,18,13,4,1,296,34,40,4,35,0,409
NICHOLAS Philip,0,4,2,4,11,3,2,1,3,8,3,13,3,3,3,7,0,4,0,3,0,3,1,3,1,0,0,5,0,0,2,0,1,9,1,1,2,11,0,8,0,1,2,2,6,3,0,9,4,7,4,10,1,0,0,3,1,2,1,1,0,3,0,2,4,3,0,4,3,22,10,4,0,237,18,20,5,33,1,314
O'HALLORAN Paul Basil,9,33,30,46,88,8,55,38,33,90,31,122,42,35,67,54,6,13,6,90,18,4,10,9,14,5,4,97,15,2,21,16,6,40,23,8,26,174,14,27,3,12,18,18,30,7,3,43,16,28,28,74,19,13,16,44,33,12,17,44,0,1,67,83,56,104,2,80,31,144,77,21,9,2 582,254,192,15,237,14,3 294
O'WHEEL Sally,0,2,1,3,8,1,4,2,3,5,1,3,5,2,1,8,0,1,1,3,0,1,2,1,1,0,1,11,0,0,1,2,0,4,2,0,1,10,0,7,1,2,0,0,8,2,0,2,2,2,5,9,1,2,0,4,0,1,2,0,0,0,4,9,3,6,1,2,2,15,6,2,2,193,16,22,2,20,0,253
Tasmanian Greens,9,60,36,58,132,14,67,55,47,123,40,156,54,47,76,85,10,21,10,109,20,10,20,17,18,7,5,124,16,2,28,24,9,69,28,11,32,226,17,52,4,18,21,24,48,14,3,63,27,38,42,101,25,18,17,70,39,19,23,49,0,5,77,100,66,133,6,92,41,207,112,32,13,3 491,351,290,26,344,17,4 519
ALEXANDER Scott,2,17,4,2,5,3,3,10,8,14,10,22,11,12,3,18,1,3,1,2,3,5,2,2,2,0,0,20,0,0,1,7,0,8,0,0,0,17,2,19,0,0,4,1,11,12,0,5,1,1,8,11,1,2,3,13,2,3,4,5,0,4,1,8,3,24,2,7,4,15,13,6,6,419,45,42,6,19,2,533
BROWN Julian,0,8,2,1,4,2,5,7,3,12,5,9,8,3,5,13,3,2,5,3,3,2,2,6,2,2,2,11,0,0,2,0,1,8,2,1,3,12,0,10,0,0,2,1,6,7,0,0,1,3,16,11,2,5,2,10,0,1,3,0,1,4,4,7,2,14,2,10,6,20,8,4,12,333,28,19,2,17,5,404
DEAKIN Kev,0,15,5,2,7,0,7,6,6,10,4,16,7,8,5,15,3,5,2,3,1,3,2,7,2,3,4,25,1,0,0,2,2,18,1,3,1,12,0,11,1,2,5,4,11,10,1,4,0,6,11,21,2,2,5,12,3,1,8,3,0,3,3,7,5,15,9,10,4,21,9,2,9,433,41,34,8,20,3,539
GREEN Steve,0,54,3,0,24,3,13,9,10,9,8,18,13,10,14,17,3,7,7,4,2,2,2,23,9,6,5,20,1,0,2,9,0,47,1,3,6,16,2,8,0,3,12,8,41,10,1,15,0,1,25,36,13,2,2,5,11,2,5,8,2,5,1,7,3,13,3,8,11,27,13,3,8,694,80,42,3,22,6,847
MORGAN Kevin,6,53,13,13,33,8,27,15,28,25,24,60,30,40,25,73,9,7,16,17,15,3,0,21,16,8,5,91,3,0,0,8,1,53,2,4,11,125,7,40,2,7,23,14,47,26,6,14,7,3,43,75,12,10,14,48,14,14,15,18,2,7,28,58,28,109,13,80,25,76,46,20,35,1 874,198,125,11,74,9,2 291
Palmer United Party,8,147,27,18,73,16,55,47,55,70,51,125,69,73,52,136,19,24,31,29,24,15,8,59,31,19,16,167,5,0,5,26,4,134,6,11,21,182,11,88,3,12,46,28,116,65,8,38,9,14,103,154,30,21,26,88,30,21,35,34,5,23,37,87,41,175,29,115,50,159,89,35,70,3 753,392,262,30,152,25,4 614
ANDERSON Mick,0,23,1,1,26,1,19,0,2,2,1,6,3,3,1,4,0,4,2,1,0,0,0,10,5,3,0,7,0,0,0,2,1,22,0,3,0,3,1,1,0,2,6,4,26,2,1,14,3,0,5,15,17,0,1,4,3,1,3,5,3,0,2,7,1,5,2,2,11,24,10,5,2,344,42,13,1,11,1,412
BROWN Tony W,0,1,0,2,0,1,1,1,0,1,1,1,3,5,0,3,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,2,0,0,0,5,0,2,0,0,0,2,2,0,1,0,2,0,1,1,0,0,0,4,0,0,0,2,0,0,1,5,1,3,0,3,2,4,0,2,1,72,7,11,1,8,2,101
Total Formal Votes,151,1 496,564,367,1 403,125,965,634,892,1 439,732,2 043,1 037,1 134,1 015,1 741,201,315,370,769,433,114,104,548,289,167,347,2 294,197,47,199,482,117,1 292,153,130,234,2 010,109,953,68,217,638,416,1 456,411,110,960,196,176,1 983,1 784,437,171,206,1 324,371,267,442,553,91,109,859,1 497,844,2 086,149,1 613,541,2 342,1 305,373,388,51 995,5 099,3 799,880,2 248,270,64 291
Informal Ballot Papers,7,128,14,12,78,10,41,33,56,76,44,118,67,79,52,142,7,12,22,33,17,6,5,24,21,13,21,116,6,1,9,28,4,93,4,19,13,96,4,81,3,7,32,20,59,43,8,33,6,7,131,116,23,4,14,54,10,20,24,30,3,6,25,76,40,132,3,112,38,146,71,17,36,2 961,214,89,42,134,26,3 466
Total Ballot Papers,158,1 624,578,379,1 481,135,1 006,667,948,1 515,776,2 161,1 104,1 213,1 067,1 883,208,327,392,802,450,120,109,572,310,180,368,2 410,203,48,208,510,121,1 385,157,149,247,2 106,113,1 034,71,224,670,436,1 515,454,118,993,202,183,2 114,1 900,460,175,220,1 378,381,287,466,583,94,115,884,1 573,884,2 218,152,1 725,579,2 488,1 376,390,424,54 956,5 313,3 888,922,2 382,296,67 757
