PollingPlaceName,Locality,Polling Place Address,PremiseName,PremiseAddress1,PremiseAddress2,PremiseLocality,PremisePostcode,PremiseState,LocationWithinPremise,AccessToLocation,Disabled Access
Gravelly Beach,Gravelly Beach,"Gravelly Beach Main Hall, Edinburgh Park, off Gravelly Beach Rd, GRAVELLY BEACH TAS 7276",Gravelly Beach Main Hall,"Edinburgh Park, off Gravelly Beach Rd",,Gravelly Beach,7276,TAS,,,Assistance
Hagley,Hagley,"Hagley Farm Primary School, 2508 Meander Valley Rd, HAGLEY TAS 7292",Hagley Farm Primary School,2508 Meander Valley Rd,,Hagley,7292,TAS,,,Assistance
Kelso,Kelso,"Kelso Community Centre, Foreshore Rd, KELSO TAS 7270",Kelso Community Centre,Foreshore Rd,,Kelso,7270,TAS,,,None
Kempton,Kempton,"Kempton Council Chambers, Main St, KEMPTON TAS 7030",Kempton Council Chambers,Main St,,Kempton,7030,TAS,,,Assistance
Lachlan,Lachlan,"Lachlan Community Hall, 511 Lachlan Rd, LACHLAN TAS 7140",Lachlan Community Hall,511 Lachlan Rd,,Lachlan,7140,TAS,,,Assistance
Legana (Lyons),Legana,"Legana Memorial Hall, 43 Fulton St, 2, LEGANA TAS 7277",Legana Memorial Hall,43 Fulton St,,Legana,7277,TAS,,,Assistance
Levendale,Levendale,"Levendale Community Hall, Woodsdale Rd, LEVENDALE TAS 7120",Levendale Community Hall,Woodsdale Rd,,Levendale,7120,TAS,,,None
Longford,Longford,"Longford War Memorial Hall, Wellington St, LONGFORD TAS 7301",Longford War Memorial Hall,Wellington St,,Longford,7301,TAS,,,Assistance
Lower Barrington,Lower Barrington,"Lower Barrington Public Hall, 1027 Sheffield Rd, LOWER BARRINGTON TAS 7306",Lower Barrington Public Hall,1027 Sheffield Rd,,Lower Barrington,7306,TAS,,,None
Magra,Magra,"Magra CWA Building, Back River Rd, MAGRA TAS 7140",Magra CWA Building,Back River Rd,,Magra,7140,TAS,,,Assistance
Mathinna,Mathinna,"Mathinna Community Centre, 21 High St, MATHINNA TAS 7214",Mathinna Community Centre,21 High St,,Mathinna,7214,TAS,,,None
Maydena,Maydena,"Giant's Table and Cottages, 9-13 Junee Rd, MAYDENA TAS 7140",Giant's Table and Cottages,9-13 Junee Rd,,Maydena,7140,TAS,,,Assistance
Meander,Meander,"Meander Memorial Hall, 124 Main Rd, MEANDER TAS 7304",Meander Memorial Hall,124 Main Rd,,Meander,7304,TAS,,,Full
Midway Point,Midway Point,"Midway Point Community Hall, Raynors Rd, MIDWAY POINT TAS 7171",Midway Point Community Hall,Raynors Rd,,Midway Point,7171,TAS,,,Assistance
Miena,Miena,"Miena Community Centre, 55-57 Cider Gum Rd, MIENA TAS 7030",Miena Community Centre,55-57 Cider Gum Rd,,Miena,7030,TAS,,,Assistance
Mole Creek,Mole Creek,"Mole Creek Primary School, 4 Caveside Rd, MOLE CREEK TAS 7304",Mole Creek Primary School,4 Caveside Rd,,Mole Creek,7304,TAS,,,Assistance
Molesworth,Molesworth,"Molesworth Community Hall, 560 Molesworth Rd, MOLESWORTH TAS 7140",Molesworth Community Hall,560 Molesworth Rd,,Molesworth,7140,TAS,,,Assistance
Moriarty,Moriarty,"Moriarty Hall, 1 Bonneys La, MORIARTY TAS 7307",Moriarty Hall,1 Bonneys La,,Moriarty,7307,TAS,,,Assistance
New Norfolk North,New Norfolk,"Fairview Primary School, 211 Back River Rd, NEW NORFOLK TAS 7140",Fairview Primary School,211 Back River Rd,,New Norfolk,7140,TAS,,,Full
New Norfolk,New Norfolk,"New Norfolk Primary School, 8 Pioneer Ave, NEW NORFOLK TAS 7140",New Norfolk Primary School,8 Pioneer Ave,,New Norfolk,7140,TAS,,,Assistance
Nubeena,Nubeena,"Tasman Civic Centre, 21 Clarke St, NUBEENA TAS 7184",Tasman Civic Centre,21 Clarke St,,Nubeena,7184,TAS,,,Assistance
Oatlands,Oatlands,"Oatlands Council Chambers, 71 High St, OATLANDS TAS 7120",Oatlands Council Chambers,71 High St,,Oatlands,7120,TAS,Court Room,,Assistance
Orford,Orford,"Orford Primary School, 35 Charles St, ORFORD TAS 7190",Orford Primary School,35 Charles St,,Orford,7190,TAS,,,Full
Ouse,Ouse,"Ouse Online Centre, 6947 Lyell Hwy, OUSE TAS 7140",Ouse Online Centre,6947 Lyell Hwy,,Ouse,7140,TAS,,,Assistance
Perth,Perth,"Perth Community Centre, 173 Fairtlough St, PERTH TAS 7300",Perth Community Centre,173 Fairtlough St,,Perth,7300,TAS,,,Assistance
Pontville,Pontville,"Pontville Old Council Chambers, 262 Midland Hwy, PONTVILLE TAS 7030",Pontville Old Council Chambers,262 Midland Hwy,,Pontville,7030,TAS,,,Assistance
Port Sorell,Port Sorell,"Port Sorell Memorial Hall, Cnr Darling and Meredith Sts, PORT SORELL TAS 7307",Port Sorell Memorial Hall,Cnr Darling and Meredith Sts,,Port Sorell,7307,TAS,,,Assistance
Primrose Sands,Primrose Sands,"Primrose Sands Community Hall, 570 Primrose Sands Rd, PRIMROSE SANDS TAS 7173",Primrose Sands Community Hall,570 Primrose Sands Rd,,Primrose Sands,7173,TAS,,,Assistance
Railton,Railton,"Sheffield School (Railton Campus), 94 Foster St, RAILTON TAS 7305",Sheffield School (Railton Campus),94 Foster St,,Railton,7305,TAS,,,Assistance
Ross,Ross,"Ross Town Hall, 12 Bridge St, ROSS TAS 7209",Ross Town Hall,12 Bridge St,,Ross,7209,TAS,,,None
Sassafras,Sassafras,"Sassafras Primary School, 50 School Rd, SASSAFRAS TAS 7307",Sassafras Primary School,50 School Rd,,Sassafras,7307,TAS,,,Assistance
Scamander,Scamander,"Scamander Sports Complex, Coach Rd, SCAMANDER TAS 7215",Scamander Sports Complex,Coach Rd,,Scamander,7215,TAS,Dining Room,,None
Sheffield,Sheffield,"Sheffield School, 12 Henry St, SHEFFIELD TAS 7306",Sheffield School,12 Henry St,,Sheffield,7306,TAS,,,Assistance
Sidmouth,Sidmouth,"Sidmouth Community Centre, 255 Batman Hwy, SIDMOUTH TAS 7270",Sidmouth Community Centre,255 Batman Hwy,,Sidmouth,7270,TAS,,,Assistance
Sorell,Sorell,"Sorell Memorial Hall, Cole St, SORELL TAS 7172",Sorell Memorial Hall,Cole St,,Sorell,7172,TAS,,,Assistance
St Helens,St Helens,"St Helens District High School, 9 Circassian St, ST HELENS TAS 7216",St Helens District High School,9 Circassian St,,St Helens,7216,TAS,,,Full
St Marys,St Marys,"St Marys Community Hall, Main St, ST MARYS TAS 7215",St Marys Community Hall,Main St,,St Marys,7215,TAS,Supper Room,,Assistance
Swansea,Swansea,"Swansea Primary School, 25 Franklin St, SWANSEA TAS 7190",Swansea Primary School,25 Franklin St,,Swansea,7190,TAS,,,Full
Taranna,Taranna,"Tasman Peninsula Community Centre, Gourlay Rd, TARANNA TAS 7180",Tasman Peninsula Community Centre,Gourlay Rd,,Taranna,7180,TAS,,,Assistance
Tea Tree,Tea Tree,"Tea Tree Community Hall, Briar Banks Rd, TEA TREE TAS 7017",Tea Tree Community Hall,Briar Banks Rd,,Tea Tree,7017,TAS,,,Assistance
Triabunna,Triabunna,"Triabunna Hall, 3 Vicary St, TRIABUNNA TAS 7190",Triabunna Hall,3 Vicary St,,Triabunna,7190,TAS,,,Assistance
Tunnack,Tunnack,"Tunnack Public Hall, Tunnack Rd, TUNNACK TAS 7120",Tunnack Public Hall,Tunnack Rd,,Tunnack,7120,TAS,,,Assistance
Wesley Vale,Wesley Vale,"Andrews Creek Primary School, 20 Westwind Dr, WESLEY VALE TAS 7307",Andrews Creek Primary School,20 Westwind Dr,,Wesley Vale,7307,TAS,,,Assistance
Westbury,Westbury,"Westbury Town Hall, 26 Lyall St, WESTBURY TAS 7303",Westbury Town Hall,26 Lyall St,,Westbury,7303,TAS,Supper Room,,Assistance
Westerway,Westerway,"Westerway Primary School, 1619 Gordon River Rd, WESTERWAY TAS 7140",Westerway Primary School,1619 Gordon River Rd,,Westerway,7140,TAS,,,Assistance
Wilmot,Wilmot,"Wilmot Primary School, 61 Main Rd, WILMOT TAS 7310",Wilmot Primary School,61 Main Rd,,Wilmot,7310,TAS,,,Assistance
