Provisional list of polling places released at beginning of election,,,,,,,,,,,,
State,DivisionNm,DivisionID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesAddress3,PremisesSuburb,PremisesStateAb,PremisesPostcode,Latitude,Longitude
NSW,Barton,104,Arncliffe Central,Arncliffe Public School,168-170 Princes Hwy,,,ARNCLIFFE,NSW,2205,-33.9404995,151.1475554
NSW,Barton,104,Arncliffe North,Bayside Anglican Church,54 Forest Rd,,,ARNCLIFFE,NSW,2205,-33.939642,151.143493
NSW,Barton,104,Arncliffe West,Athelstane Public School,2-12 Athelstane Ave,,,ARNCLIFFE,NSW,2205,-33.9374,151.138
NSW,Barton,104,Bardwell Park,Bardwell Park Infants School,4 Crewe La,,,BARDWELL PARK,NSW,2207,-33.93338331,151.1255399
NSW,Barton,104,Beverly Hills,St Bede's Anglican Church Hall,117-119 Morgan St,,,BEVERLY HILLS,NSW,2209,-33.94901205,151.0830994
NSW,Barton,104,Beverly Hills Central,Beverly Hills Uniting Church Hall,82 Ponyara Rd,,,BEVERLY HILLS,NSW,2209,-33.94684976,151.0791079
NSW,Barton,104,Beverly Hills South (Barton),Beverly Hills Public School,562 King Georges Rd,,,BEVERLY HILLS,NSW,2209,-33.95354972,151.0851981
NSW,Barton,104,Bexley,Bexley Baptist Church,484 Forest Rd,,,BEXLEY,NSW,2207,-33.9518942,151.1247022
NSW,Barton,104,Bexley Central,St Gabriel's Primary School,50-52 Abercorn St,,,BEXLEY,NSW,2207,-33.94816128,151.1217067
NSW,Barton,104,Bexley East,Bexley Public School,330-354 Forest Rd,,,BEXLEY,NSW,2207,-33.94797392,151.1288495
NSW,Barton,104,Bexley North,Bexley North Public School,116 Kingsland Rd N,,,BEXLEY NORTH,NSW,2207,-33.9407,151.121
NSW,Barton,104,Bexley North Park,Kingsgrove/Bexley North Community Centre,54A Shaw St,,,BEXLEY NORTH,NSW,2207,-33.9383,151.109
NSW,Barton,104,Bexley South,Sydney Technical High School,686 Forest Rd,,,BEXLEY,NSW,2207,-33.9625,151.113
NSW,Barton,104,Bexley West,Bexley West Uniting Church Hall,80A St Georges Rd,,,BEXLEY,NSW,2207,-33.95200879,151.1138193
NSW,Barton,104,Brighton North,St Mark's Anglican Church Hall,3 Trafalgar St,,,BRIGHTON-LE-SANDS,NSW,2216,-33.9606622,151.1536998
NSW,Barton,104,Brighton-Le-Sands (Barton),Brighton-Le-Sands Public School,35 Crawford Rd,,,BRIGHTON-LE-SANDS,NSW,2216,-33.9627,151.148
