Candidates,Avoca,Bagdad,Bicheno,Bothwell,Bracknell,Bridgewater,Brighton,Broadmarsh,Campania,Campbell Town,Carlton,Carrick,Chudleigh,Claude Road,Colebrook,Coles Bay,Copping,Cressy,Deloraine,Dodges Ferry,Dromedary,Dunalley,Elizabeth Town,Epping,Evandale,Fingal,Forcett,Gagebrook,Glenora,Granton,Hadspen,Hagley,Kempton,Lachlan,Longford,Lower Barrington,Magra,Meander,Midway Point,Miena,Mole Creek,Molesworth,New Norfolk,New Norfolk North,Nubeena,Oatlands,Old Beach,Orford,Ouse,Perth,Pontville,Primrose Sands,Prospect Vale,Railton,Richmond,Ross,Scamander,Sheffield,Sorell,St Helens,St Marys,Swansea,Taranna,Tea Tree,Triabunna,Tunnack,Westbury,Westerway,Wilmot,Total Ordinary Votes,Granton Pre-Poll,Launceston Pre-Poll,New Norfolk Pre-Poll,Sorell Pre-Poll,St Helens Pre-Poll,Postal,Mobile,Out of Division,Out of Division Pre-Poll,Provisional,Total
"Shooters, Fishers, Farmers TAS",17,43,24,22,27,66,98,19,38,53,22,31,13,16,14,5,16,44,59,41,14,17,13,11,34,8,26,42,18,42,38,10,8,28,81,29,24,5,36,10,11,21,66,54,21,33,48,14,24,60,28,28,23,49,30,16,13,40,84,32,31,23,8,13,30,20,47,18,8,"2,055",186,53,35,125,43,265,11,301,75,26,"3,175"
"McLAY, Sharon",2,7,7,4,5,51,30,2,8,12,12,6,6,11,1,0,3,4,22,25,6,8,5,1,25,7,7,32,2,18,18,5,1,12,17,10,9,4,35,3,2,3,53,27,11,10,26,5,8,33,6,17,13,8,6,6,8,13,52,15,16,12,8,7,3,2,21,17,0,851,59,36,24,45,35,158,6,140,48,9,"1,411"
Animal Justice Party,2,7,7,4,5,51,30,2,8,12,12,6,6,11,1,0,3,4,22,25,6,8,5,1,25,7,7,32,2,18,18,5,1,12,17,10,9,4,35,3,2,3,53,27,11,10,26,5,8,33,6,17,13,8,6,6,8,13,52,15,16,12,8,7,3,2,21,17,0,851,59,36,24,45,35,158,6,140,48,9,"1,411"
"BATT, Edwin",4,57,1,33,3,32,46,22,8,11,1,4,2,0,5,0,1,3,15,9,5,8,7,0,4,7,4,21,4,19,8,0,89,9,18,1,6,1,6,2,4,4,19,16,9,44,19,7,6,5,22,7,7,8,13,5,5,11,30,7,8,7,5,3,7,6,13,6,0,779,71,21,16,24,12,92,16,86,18,6,"1,141"
"BUTLER, Jen",9,15,15,9,6,170,94,8,11,27,12,21,4,9,4,3,1,31,41,25,11,14,5,2,19,25,8,85,10,46,31,10,8,17,106,11,23,4,20,4,8,8,84,53,10,16,44,9,6,61,18,20,24,13,13,9,16,25,30,73,22,19,6,6,9,4,95,12,7,"1,694",233,69,69,70,86,185,14,155,51,9,"2,635"
"GAFFNEY, Gerard",3,6,4,2,1,28,25,4,5,4,3,2,2,4,2,4,0,4,20,15,2,1,3,1,3,3,5,17,2,7,12,2,1,4,11,15,6,2,3,4,3,3,28,11,4,5,14,3,2,14,2,6,12,25,3,4,4,16,12,10,6,6,5,0,6,0,12,2,3,463,33,22,7,23,11,41,7,91,18,5,721
"LAMBERT, Janet",11,9,12,2,13,85,49,8,15,36,5,13,3,17,7,3,1,32,60,20,7,6,4,3,69,19,7,65,4,15,39,7,7,20,139,11,8,4,13,6,11,5,42,37,14,16,20,5,7,139,13,17,38,33,6,18,11,36,41,32,31,7,6,1,7,5,38,8,4,"1,502",108,114,20,39,43,148,17,230,43,14,"2,278"
"WHITE, Rebecca",22,160,115,31,32,410,471,40,125,154,112,96,25,71,51,33,61,65,269,511,70,125,41,23,115,55,109,288,66,178,207,54,59,126,298,83,124,30,424,29,32,86,414,260,234,107,433,115,58,270,107,187,191,119,242,63,104,189,667,175,136,150,100,44,182,45,201,88,32,"10,389",856,347,318,"1,050",245,"1,316",100,"1,279",368,70,"16,338"
Australian Labor Party,49,247,147,77,55,725,685,82,164,232,133,136,36,101,69,43,64,135,405,580,95,154,60,29,210,109,133,476,86,265,297,73,164,176,572,121,167,41,466,45,58,106,587,377,271,188,530,139,79,489,162,237,272,198,277,99,140,277,780,297,203,189,122,54,211,60,359,116,46,"14,827","1,301",573,430,"1,206",397,"1,782",154,"1,841",498,104,"23,113"
"LANE, George",1,8,6,2,4,11,15,1,6,6,4,5,0,2,0,0,3,2,13,17,4,4,1,2,8,1,7,13,3,7,7,3,1,4,11,5,3,5,20,1,5,4,7,10,11,7,17,9,7,7,3,0,8,9,8,2,11,13,22,15,11,2,5,1,11,2,6,2,1,432,28,15,4,36,18,63,0,60,13,5,674
Ungrouped,1,8,6,2,4,11,15,1,6,6,4,5,0,2,0,0,3,2,13,17,4,4,1,2,8,1,7,13,3,7,7,3,1,4,11,5,3,5,20,1,5,4,7,10,11,7,17,9,7,7,3,0,8,9,8,2,11,13,22,15,11,2,5,1,11,2,6,2,1,432,28,15,4,36,18,63,0,60,13,5,674
Total Formal Ballot Papers,146,652,601,300,485,"1,447","1,812",202,534,660,403,658,308,392,181,192,250,634,"1,826","1,493",318,392,308,138,871,266,446,877,275,634,"1,238",337,319,411,"2,078",539,428,241,"1,185",161,321,289,"1,429",907,715,633,"1,545",488,270,"1,825",468,513,"1,216",626,822,304,454,911,"1,963",927,548,767,385,226,602,226,"1,166",344,198,"45,726","3,184","2,319",951,"3,267","1,429","5,716",428,"6,016","1,703",287,"71,026"
Informal Ballot Papers,15,55,37,26,32,171,132,12,39,47,18,43,15,26,9,6,9,46,111,85,23,17,19,8,52,22,25,95,26,70,80,13,18,20,132,39,37,10,84,5,20,19,112,95,32,39,99,18,31,143,29,45,64,70,35,19,25,52,137,69,29,31,29,8,43,19,58,27,17,"3,143",259,121,63,154,83,157,32,438,74,15,"4,539"
Total Ballot Papers,161,707,638,326,517,"1,618","1,944",214,573,707,421,701,323,418,190,198,259,680,"1,937","1,578",341,409,327,146,923,288,471,972,301,704,"1,318",350,337,431,"2,210",578,465,251,"1,269",166,341,308,"1,541","1,002",747,672,"1,644",506,301,"1,968",497,558,"1,280",696,857,323,479,963,"2,100",996,577,798,414,234,645,245,"1,224",371,215,"48,869","3,443","2,440","1,014","3,421","1,512","5,873",460,"6,454","1,777",302,"75,565"
