2022 Federal Election Senate First Preferences By Polling Place for Division 196 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:37 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,196,Lyons,8500,Bridgewater,N,37346,1,"KERSHAW, Lynne",Informed Medical Options Party,0
TAS,196,Lyons,8500,Bridgewater,N,37368,2,"PICKERING, Matthew",Informed Medical Options Party,0
TAS,196,Lyons,8500,Bridgewater,UG,37794,1,"CROTHERS, Steve",Independent,4
TAS,196,Lyons,8500,Bridgewater,UG,36253,2,"EDWARDS, Fenella",Independent,0
TAS,196,Lyons,8500,Bridgewater,ZZ,0,99,INFORMAL,,136
TAS,196,Lyons,8509,Gagebrook,A,37932,0,A Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,15
TAS,196,Lyons,8509,Gagebrook,A,36347,1,"DUDLEY, Todd",Sustainable Australia Party - Stop Overdevelopment / Corruption,2
TAS,196,Lyons,8509,Gagebrook,A,36352,2,"LOCKWOOD, Daria",Sustainable Australia Party - Stop Overdevelopment / Corruption,1
TAS,196,Lyons,8509,Gagebrook,B,37936,0,B Above-the-line Votes,Pauline Hanson's One Nation,51
TAS,196,Lyons,8509,Gagebrook,B,37419,1,"MAV, Steve",Pauline Hanson's One Nation,13
TAS,196,Lyons,8509,Gagebrook,B,37421,2,"BUTTON, Norelle",Pauline Hanson's One Nation,1
TAS,196,Lyons,8509,Gagebrook,C,37934,0,C Above-the-line Votes,Animal Justice Party,17
TAS,196,Lyons,8509,Gagebrook,C,36512,1,"DAVIS, Ivan",Animal Justice Party,3
TAS,196,Lyons,8509,Gagebrook,C,36517,2,"THOMAS-WURTH, Virginia",Animal Justice Party,0
TAS,196,Lyons,8509,Gagebrook,D,37940,0,D Above-the-line Votes,Australian Labor Party,283
TAS,196,Lyons,8509,Gagebrook,D,37063,1,"URQUHART, Anne",Australian Labor Party,24
TAS,196,Lyons,8509,Gagebrook,D,37079,2,"POLLEY, Helen",Australian Labor Party,4
TAS,196,Lyons,8509,Gagebrook,D,37085,3,"RAINBIRD, Kate",Australian Labor Party,2
TAS,196,Lyons,8509,Gagebrook,D,37103,4,"HULME, Daniel",Australian Labor Party,1
TAS,196,Lyons,8509,Gagebrook,D,37113,5,"ROBERTS, Wayne",Australian Labor Party,3
TAS,196,Lyons,8509,Gagebrook,D,37119,6,"GOURLAY, Chris",Australian Labor Party,4
TAS,196,Lyons,8509,Gagebrook,E,37942,0,E Above-the-line Votes,Legalise Cannabis Australia,67
TAS,196,Lyons,8509,Gagebrook,E,37610,1,"OWEN, Matt",Legalise Cannabis Australia,6
TAS,196,Lyons,8509,Gagebrook,E,37612,2,"FITZGIBBON, Oliver",Legalise Cannabis Australia,0
TAS,196,Lyons,8509,Gagebrook,F,37933,0,F Above-the-line Votes,"Shooters, Fishers and Farmers Party",14
TAS,196,Lyons,8509,Gagebrook,F,36364,1,"WILLIAMS, Ray","Shooters, Fishers and Farmers Party",2
TAS,196,Lyons,8509,Gagebrook,F,36369,2,"DI FALCO, Carlo","Shooters, Fishers and Farmers Party",0
TAS,196,Lyons,8509,Gagebrook,F,36372,3,"JONES, Brenton Ronald","Shooters, Fishers and Farmers Party",0
TAS,196,Lyons,8509,Gagebrook,G,37943,0,G Above-the-line Votes,Australian Federation Party,3
TAS,196,Lyons,8509,Gagebrook,G,37791,1,"BROOMHALL, Ray",Australian Federation Party,0
TAS,196,Lyons,8509,Gagebrook,G,37793,2,"STRINGER, Justin",Australian Federation Party,0
TAS,196,Lyons,8509,Gagebrook,H,37931,0,H Above-the-line Votes,The Local Party,4
TAS,196,Lyons,8509,Gagebrook,H,37054,1,"MINSHULL, Leanne",The Local Party,0
TAS,196,Lyons,8509,Gagebrook,H,37062,2,"POULTON, Linda",The Local Party,0
TAS,196,Lyons,8509,Gagebrook,H,37066,3,"VAN RAAY, Lara",The Local Party,0
TAS,196,Lyons,8509,Gagebrook,I,37938,0,I Above-the-line Votes,The Greens,35
TAS,196,Lyons,8509,Gagebrook,I,37423,1,"WHISH-WILSON, Peter",The Greens,7
TAS,196,Lyons,8509,Gagebrook,I,37427,2,"BLEYER, Vanessa",The Greens,1
TAS,196,Lyons,8509,Gagebrook,I,37431,3,"BADGER, Tabatha",The Greens,1
TAS,196,Lyons,8509,Gagebrook,J,37935,0,J Above-the-line Votes,Liberal Democrats,15
TAS,196,Lyons,8509,Gagebrook,J,37012,1,"FIELD, Topher",Liberal Democrats,3
TAS,196,Lyons,8509,Gagebrook,J,37021,2,"CROFT, Chris",Liberal Democrats,0
TAS,196,Lyons,8509,Gagebrook,K,37930,0,K Above-the-line Votes,United Australia Party,19
TAS,196,Lyons,8509,Gagebrook,K,36282,1,"ADAMS, Diana",United Australia Party,2
TAS,196,Lyons,8509,Gagebrook,K,36293,2,"HENNESSY, Alan",United Australia Party,0
TAS,196,Lyons,8509,Gagebrook,L,37937,0,L Above-the-line Votes,Liberal,95
TAS,196,Lyons,8509,Gagebrook,L,37124,1,"DUNIAM, Jonno",Liberal,2
TAS,196,Lyons,8509,Gagebrook,L,37131,2,"ASKEW, Wendy",Liberal,0
TAS,196,Lyons,8509,Gagebrook,L,37132,3,"ABETZ, Eric",Liberal,11
TAS,196,Lyons,8509,Gagebrook,M,37941,0,M Above-the-line Votes,Jacqui Lambie Network,73
TAS,196,Lyons,8509,Gagebrook,M,37425,1,"TYRRELL, Tammy",Jacqui Lambie Network,6
TAS,196,Lyons,8509,Gagebrook,M,37430,2,"GROAT, Sarah",Jacqui Lambie Network,0
TAS,196,Lyons,8509,Gagebrook,M,37432,3,"LAMBIE, Tom",Jacqui Lambie Network,2
TAS,196,Lyons,8509,Gagebrook,N,37939,0,N Above-the-line Votes,Informed Medical Options Party,2
TAS,196,Lyons,8509,Gagebrook,N,37346,1,"KERSHAW, Lynne",Informed Medical Options Party,0
TAS,196,Lyons,8509,Gagebrook,N,37368,2,"PICKERING, Matthew",Informed Medical Options Party,0
TAS,196,Lyons,8509,Gagebrook,UG,37794,1,"CROTHERS, Steve",Independent,3
TAS,196,Lyons,8509,Gagebrook,UG,36253,2,"EDWARDS, Fenella",Independent,0
TAS,196,Lyons,8509,Gagebrook,ZZ,0,99,INFORMAL,,58
TAS,196,Lyons,8550,Avoca,A,37932,0,A Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,3
TAS,196,Lyons,8550,Avoca,A,36347,1,"DUDLEY, Todd",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
TAS,196,Lyons,8550,Avoca,A,36352,2,"LOCKWOOD, Daria",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
TAS,196,Lyons,8550,Avoca,B,37936,0,B Above-the-line Votes,Pauline Hanson's One Nation,5
TAS,196,Lyons,8550,Avoca,B,37419,1,"MAV, Steve",Pauline Hanson's One Nation,1
TAS,196,Lyons,8550,Avoca,B,37421,2,"BUTTON, Norelle",Pauline Hanson's One Nation,1
TAS,196,Lyons,8550,Avoca,C,37934,0,C Above-the-line Votes,Animal Justice Party,3
TAS,196,Lyons,8550,Avoca,C,36512,1,"DAVIS, Ivan",Animal Justice Party,0
TAS,196,Lyons,8550,Avoca,C,36517,2,"THOMAS-WURTH, Virginia",Animal Justice Party,0
