,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Special Votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candidates,Blessington Upper,Branxholm,Bridport,Derby,Dilston,East Launceston,Five Ways,George Town,George Town South,Gladstone,Hadspen,Hillwood,Inveresk,Invermay,Karoola,Kings Meadows,Lady Barron,Launceston,Launceston Central,Lebrina,Legana (Bass),Lilydale,Mowbray,Newnham,Newstead,Norwood,Nunamara,Pipers River,Prospect,Prospect Vale,Ravenswood,Ringarooma,Riverside,Riverside West,Rocherlea,Scottsdale,South Launceston,St Leonards,Summerhill,Trevallyn,Waverley,West Launceston,Weymouth,Whitemark,Winnaleah,Youngtown,Total Ordinary Votes,Out of Division Votes,Mobile Votes,Postal Votes,Pre-Poll Votes,Provisional Votes,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MADDEN, Gary", 0, 3, 10, 0, 10, 7, 9, 21, 17, 2, 14, 7, 16, 12, 4, 13, 0, 8, 4, 2, 17, 7, 9, 47, 15, 20, 3, 1, 20, 6, 41, 5, 14, 10, 7, 9, 7, 15, 31, 8, 25, 7, 1, 2, 4, 19, 509, 26, 15, 56, 65, 4, 675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacqui Lambie Network, 5, 14, 58, 2, 32, 33, 43, 134, 61, 9, 53, 15, 69, 83, 19, 99, 4, 27, 21, 12, 77, 34, 34, 182, 59, 73, 18, 8, 87, 43, 121, 17, 76, 51, 45, 45, 30, 70, 121, 40, 72, 43, 7, 13, 10, 68,2 237, 133, 58, 269, 272, 16,2 985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ANGLESEY, Emma", 1, 1, 5, 2, 5, 23, 24, 12, 6, 2, 6, 3, 13, 14, 5, 10, 1, 14, 13, 4, 13, 6, 6, 21, 28, 10, 2, 2, 9, 7, 6, 2, 17, 4, 2, 5, 7, 9, 27, 17, 6, 25, 0, 5, 1, 9, 410, 51, 11, 44, 44, 1, 561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAWKINS, Andrea", 4, 8, 35, 20, 77, 171, 90, 62, 16, 7, 33, 39, 125, 95, 18, 96, 4, 187, 165, 11, 106, 76, 62, 80, 206, 124, 19, 13, 48, 40, 45, 7, 146, 79, 10, 20, 71, 34, 134, 330, 22, 294, 9, 36, 5, 42,3 321, 237, 42, 211, 502, 20,4 333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HALL, Tom", 0, 0, 5, 3, 4, 13, 11, 10, 4, 1, 5, 1, 3, 9, 2, 14, 1, 8, 10, 4, 8, 3, 6, 14, 15, 15, 0, 1, 8, 4, 6, 0, 9, 7, 3, 4, 13, 6, 14, 11, 3, 22, 0, 6, 1, 2, 289, 27, 7, 27, 40, 4, 394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IRELAND, James", 0, 1, 2, 2, 4, 4, 8, 8, 2, 0, 4, 2, 4, 7, 1, 5, 1, 11, 5, 0, 5, 0, 4, 10, 15, 4, 1, 1, 11, 3, 9, 1, 13, 7, 1, 6, 7, 5, 7, 7, 4, 9, 0, 0, 3, 1, 205, 22, 4, 10, 29, 0, 270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WILLIAMS, Emma", 1, 3, 8, 1, 6, 8, 12, 10, 5, 2, 7, 3, 9, 8, 3, 15, 3, 16, 12, 1, 14, 10, 13, 15, 13, 16, 6, 2, 12, 6, 10, 0, 19, 4, 4, 4, 9, 9, 7, 20, 1, 15, 0, 7, 1, 7, 357, 31, 6, 28, 45, 2, 469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasmanian Greens, 6, 13, 55, 28, 96, 219, 145, 102, 33, 12, 55, 48, 154, 133, 29, 140, 10, 236, 205, 20, 146, 95, 91, 140, 277, 169, 28, 19, 88, 60, 76, 10, 204, 101, 20, 39, 107, 63, 189, 385, 36, 365, 9, 54, 11, 61,4 582, 368, 70, 320, 660, 27,6 027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GORE, Adam", 0, 4, 14, 11, 6, 19, 15, 85, 30, 2, 13, 10, 25, 21, 6, 42, 2, 26, 25, 6, 60, 12, 26, 83, 31, 26, 2, 4, 29, 10, 58, 12, 42, 30, 19, 25, 17, 19, 43, 40, 28, 31, 6, 4, 6, 25,1 050, 63, 26, 75, 113, 6,1 333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HOUSTON, Jennifer", 0, 11, 18, 3, 20, 24, 50, 71, 38, 5, 39, 12, 40, 41, 8, 90, 8, 40, 31, 6, 52, 22, 57, 180, 76, 74, 15, 8, 53, 41, 83, 8, 62, 53, 44, 12, 43, 38, 90, 51, 50, 47, 3, 8, 6, 73,1 804, 109, 51, 143, 144, 7,2 258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O'BYRNE, Michelle", 4, 27, 101, 11, 99, 218, 214, 324, 229, 26, 200, 68, 248, 221, 58, 418, 16, 180, 165, 20, 266, 116, 174, 531, 377, 365, 41, 35, 362, 169, 387, 23, 312, 216, 140, 112, 134, 192, 460, 234, 194, 307, 33, 51, 16, 270,8 364, 462, 220, 874, 961, 43,10 924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POWELL, Owen", 0, 15, 21, 5, 11, 15, 34, 22, 13, 5, 16, 4, 19, 16, 4, 43, 1, 14, 19, 6, 12, 12, 21, 53, 26, 29, 11, 1, 30, 10, 30, 24, 28, 22, 11, 37, 8, 18, 41, 35, 17, 32, 4, 2, 7, 29, 833, 50, 26, 59, 100, 7,1 075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ROE, Brian", 0, 2, 14, 3, 6, 26, 36, 36, 24, 2, 31, 10, 62, 46, 6, 69, 2, 29, 20, 4, 32, 12, 20, 73, 51, 68, 3, 2, 60, 38, 32, 3, 42, 25, 22, 13, 27, 25, 93, 28, 23, 50, 4, 6, 2, 46,1 228, 55, 31, 116, 128, 6,1 564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Labor Party, 4, 59, 168, 33, 142, 302, 349, 538, 334, 40, 299, 104, 394, 345, 82, 662, 29, 289, 260, 42, 422, 174, 298, 920, 561, 562, 72, 50, 534, 268, 590, 70, 486, 346, 236, 199, 229, 292, 727, 388, 312, 467, 50, 71, 37, 443,13 279, 739, 354,1 267,1 446, 69,17 154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LUCAS, Brett Edward", 1, 1, 10, 2, 3, 5, 7, 20, 14, 3, 12, 5, 21, 17, 5, 24, 0, 10, 4, 2, 14, 5, 12, 28, 25, 26, 5, 2, 24, 4, 21, 1, 18, 16, 14, 6, 4, 16, 24, 6, 14, 11, 1, 0, 2, 10, 475, 29, 4, 54, 34, 1, 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ungrouped, 1, 1, 10, 2, 3, 5, 7, 20, 14, 3, 12, 5, 21, 17, 5, 24, 0, 10, 4, 2, 14, 5, 12, 28, 25, 26, 5, 2, 24, 4, 21, 1, 18, 16, 14, 6, 4, 16, 24, 6, 14, 11, 1, 0, 2, 10, 475, 29, 4, 54, 34, 1, 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Formal Votes, 57, 180,1 077, 105, 675,1 242,1 130,1 705, 896, 174,1 203, 458,1 155,1 165, 333,2 119, 125,1 084, 979, 210,1 954, 674, 889,2 672,2 167,2 306, 296, 210,2 048,1 214,1 564, 301,2 215,1 419, 701,1 187, 704,1 224,2 976,1 592, 838,1 663, 166, 335, 181,1 491,49 059,3 018,1 340,4 598,6 687, 276,64 978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Informal Ballot Papers, 5, 10, 39, 7, 25, 36, 49, 143, 58, 17, 60, 20, 90, 73, 20, 147, 11, 37, 39, 13, 92, 44, 88, 287, 88, 111, 30, 19, 124, 60, 183, 14, 88, 68, 80, 50, 45, 60, 177, 47, 81, 54, 10, 11, 6, 95,2 911, 169, 87, 104, 231, 19,3 521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Ballot Papers, 62, 190,1 116, 112, 700,1 278,1 179,1 848, 954, 191,1 263, 478,1 245,1 238, 353,2 266, 136,1 121,1 018, 223,2 046, 718, 977,2 959,2 255,2 417, 326, 229,2 172,1 274,1 747, 315,2 303,1 487, 781,1 237, 749,1 284,3 153,1 639, 919,1 717, 176, 346, 187,1 586,51 970,3 187,1 427,4 702,6 918, 295,68 499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
