2013 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Event:17496 Phase:FinalResults Generated:2014-10-28T11:23:12 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449],,,,,,,,,,,,,,,,
StateAb,DivisionID,DivisionNm,Ticket,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
WA,312,Durack,P,1,23433,"STRACHAN, Peter",Stable Population Party,SPP,N,N,8,1,0,0,2,11
WA,312,Durack,P,2,23435,"BANKS, John",Stable Population Party,SPP,N,N,1,0,0,0,0,1
WA,312,Durack,Q,0,25224,Q Ticket Votes,Stop The Greens,ODR,N,N,148,8,5,9,9,179
WA,312,Durack,Q,1,24710,"FISHLOCK, David",Stop The Greens,ODR,N,N,7,1,0,0,1,9
WA,312,Durack,Q,2,24712,"KINNINMONT, Kim Alexander",Stop The Greens,ODR,N,N,1,0,0,0,0,1
WA,312,Durack,R,0,25231,R Ticket Votes,Australian Democrats,DEM,N,N,113,6,2,11,13,145
WA,312,Durack,R,1,25026,"FERNANDEZ, Chris",Australian Democrats,DEM,N,N,11,4,0,0,0,15
WA,312,Durack,R,2,25027,"THIEL, William",Australian Democrats,DEM,N,N,2,0,0,0,2,4
WA,312,Durack,S,0,25215,S Ticket Votes,The Greens (WA),GRN,N,N,3764,281,41,187,161,4434
WA,312,Durack,S,1,23967,"LUDLAM, Scott",The Greens (WA),GRN,Y,Y,233,29,1,14,27,304
WA,312,Durack,S,2,23975,"DAVIS, Kate",The Greens (WA),GRN,N,N,28,4,1,2,5,40
WA,312,Durack,S,3,23980,"DUNCAN, Adam Nathan",The Greens (WA),GRN,N,N,10,2,0,1,0,13
WA,312,Durack,T,0,25205,T Ticket Votes,Animal Justice Party,AJP,N,N,355,26,4,22,32,439
WA,312,Durack,T,1,23179,"LOVE, Katrina",Animal Justice Party,AJP,N,N,6,2,0,0,1,9
WA,312,Durack,T,2,23180,"SUTTON, Alicia",Animal Justice Party,AJP,N,N,1,0,0,0,0,1
WA,312,Durack,U,0,25217,U Ticket Votes,The Nationals,NP,N,N,10893,699,78,342,946,12958
WA,312,Durack,U,1,24254,"WIRRPANDA, David",The Nationals,NP,N,N,343,33,3,9,61,449
WA,312,Durack,U,2,24258,"EAGLES, David",The Nationals,NP,N,N,16,1,0,0,2,19
WA,312,Durack,V,0,25208,V Ticket Votes,Australian Fishing and Lifestyle Party,AFLP,N,N,505,41,10,36,34,626
WA,312,Durack,V,1,23603,"EDWARDS, Jay",Australian Fishing and Lifestyle Party,AFLP,N,N,21,1,0,1,3,26
WA,312,Durack,V,2,23604,"FINLAYSON, Ross",Australian Fishing and Lifestyle Party,AFLP,N,N,1,0,0,0,1,2
WA,312,Durack,W,0,25227,W Ticket Votes,Australian Motoring Enthusiast Party,AMEP,N,N,218,29,6,11,16,280
WA,312,Durack,W,1,24742,"HOWLETT, Richie",Australian Motoring Enthusiast Party,AMEP,N,N,9,3,0,0,1,13
WA,312,Durack,W,2,24743,"YOUNG, Sharon",Australian Motoring Enthusiast Party,AMEP,N,N,1,0,0,0,1,2
WA,312,Durack,X,0,25229,X Ticket Votes,Australian Sports Party,SPRT,N,N,135,13,2,7,4,161
WA,312,Durack,X,1,24842,"DROPULICH, Wayne",Australian Sports Party,SPRT,Y,N,2,1,0,0,1,4
WA,312,Durack,X,2,24843,"LACKOVIC, Al",Australian Sports Party,SPRT,N,N,2,0,0,0,0,2
WA,312,Durack,Y,0,25212,Y Ticket Votes,Rise Up Australia Party,RUA,N,N,322,10,3,9,23,367
WA,312,Durack,Y,1,23963,"FOREMAN, Jane",Rise Up Australia Party,RUA,N,N,33,2,0,3,2,40
WA,312,Durack,Y,2,23970,"BENNETT, Joanne",Rise Up Australia Party,RUA,N,N,2,0,0,0,0,2
WA,312,Durack,Z,0,25216,Z Ticket Votes,Australian Labor Party,ALP,N,N,14354,969,149,618,709,16799
