2025 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:12 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,Group,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
VIC,225,Maribyrnong,R,2,40698,"YOHANNA, Sleiman",Citizens Party,CEC,N,N,14,1,0,0,0,15
VIC,225,Maribyrnong,S,0,42174,S Above-the-line Votes,"Shooters, Fishers and Farmers Party",ASP,N,N,436,40,1,35,150,662
VIC,225,Maribyrnong,S,1,42054,"CONSTANTINOU, Ethan","Shooters, Fishers and Farmers Party",ASP,N,N,36,0,0,3,10,49
VIC,225,Maribyrnong,S,2,42061,"VICKERS, Ken","Shooters, Fishers and Farmers Party",ASP,N,N,6,0,1,0,2,9
VIC,225,Maribyrnong,T,0,42167,T Above-the-line Votes,,,N,N,32,0,0,2,6,40
VIC,225,Maribyrnong,T,1,41665,"SAINI, Raj",,,N,N,2,0,0,0,0,2
VIC,225,Maribyrnong,T,2,41668,"ALLE, Kirti",,,N,N,0,0,0,0,0,0
VIC,225,Maribyrnong,T,3,41671,"KANAKAGIRI, Yashaswini Srinivas",,,N,N,0,0,0,0,0,0
VIC,225,Maribyrnong,UG,1,41979,"CHEUNG, Heena Sinha",Independent,IND,N,N,31,0,0,0,11,42
VIC,225,Maribyrnong,UG,2,40998,"ABEYSINGHE, Susantha",Independent,IND,N,N,5,0,0,0,1,6
VIC,225,Maribyrnong,UG,3,42089,"LEWAND, Viesha",Independent,IND,N,N,4,0,0,0,0,4
VIC,225,Maribyrnong,UG,4,41804,"HARVEY, Lawrence",Independent,IND,N,N,2,0,0,0,1,3
VIC,225,Maribyrnong,UG,5,42019,"CORBETT, Cory",Independent,IND,N,N,5,0,0,1,2,8
VIC,225,Maribyrnong,UG,6,42041,"BLACK, K",Independent,IND,N,N,8,0,0,0,0,8
VIC,225,Maribyrnong,UG,7,41964,"VAN, David",Independent,IND,N,Y,5,0,0,0,2,7
VIC,225,Maribyrnong,UG,8,41822,"RITTER, Nate",Independent,IND,N,N,2,0,0,0,4,6
VIC,226,McEwen,A,0,42159,A Above-the-line Votes,Liberal/The Nationals,LPNP,N,N,22813,1113,44,1129,7734,32833
VIC,226,McEwen,A,1,40719,"PATERSON, James",Liberal,LP,Y,Y,429,33,2,22,188,674
VIC,226,McEwen,A,2,40721,"HUME, Jane",Liberal,LP,Y,Y,76,3,1,4,37,121
VIC,226,McEwen,A,3,40722,"HOPPITT, Kyle",Liberal,LP,N,N,22,5,0,2,8,37
VIC,226,McEwen,A,4,40720,"ARNOLD, Glenn",The Nationals,NP,N,N,19,2,0,0,9,30
VIC,226,McEwen,A,5,40723,"MIRABELLA, Greg",Liberal,LP,N,N,20,1,0,1,14,36
VIC,226,McEwen,A,6,40724,"KMETJ, Chrestyna",Liberal,LP,N,N,7,0,0,1,5,13
VIC,226,McEwen,B,0,42163,B Above-the-line Votes,Legalise Cannabis Party,HMP,N,N,2461,287,13,138,634,3533
VIC,226,McEwen,B,1,41440,"PATTEN, Fiona",Legalise Cannabis Party,HMP,N,N,172,17,0,4,53,246
VIC,226,McEwen,B,2,41449,"DAVY, Alice",Legalise Cannabis Party,HMP,N,N,13,1,0,0,1,15
VIC,226,McEwen,B,3,41451,"EVANS, Shea",Legalise Cannabis Party,HMP,N,N,7,2,0,0,2,11
VIC,226,McEwen,C,0,42171,C Above-the-line Votes,Animal Justice Party,AJP,N,N,1247,90,3,45,465,1850
