2022 Federal Election Senate First Preferences By Polling Place for Division 195 [Please Note: These results are not final. Event:27966 Phase:PostElection Generated:2022-05-22T11:49:26 Cycle:6c9d3b19-37c4-4379-9a72-7a34850cb5be Created:2022-05-22T11:47:28 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,195,Franklin,8493,Adventure Bay,D,37063,1,"URQUHART, Anne",Australian Labor Party,0
TAS,195,Franklin,8493,Adventure Bay,D,37079,2,"POLLEY, Helen",Australian Labor Party,0
TAS,195,Franklin,8493,Adventure Bay,D,37085,3,"RAINBIRD, Kate",Australian Labor Party,0
TAS,195,Franklin,8493,Adventure Bay,D,37103,4,"HULME, Daniel",Australian Labor Party,0
TAS,195,Franklin,8493,Adventure Bay,D,37113,5,"ROBERTS, Wayne",Australian Labor Party,0
TAS,195,Franklin,8493,Adventure Bay,D,37119,6,"GOURLAY, Chris",Australian Labor Party,0
TAS,195,Franklin,8493,Adventure Bay,D,0,9998,Unapportioned,Australian Labor Party,31
TAS,195,Franklin,8493,Adventure Bay,E,37942,0,E Above-the-line Votes,Legalise Cannabis Australia,0
TAS,195,Franklin,8493,Adventure Bay,E,37610,1,"OWEN, Matt",Legalise Cannabis Australia,0
TAS,195,Franklin,8493,Adventure Bay,E,37612,2,"FITZGIBBON, Oliver",Legalise Cannabis Australia,0
TAS,195,Franklin,8493,Adventure Bay,E,0,9998,Unapportioned,Legalise Cannabis Australia,5
TAS,195,Franklin,8493,Adventure Bay,F,37933,0,F Above-the-line Votes,"Shooters, Fishers and Farmers Party",0
TAS,195,Franklin,8493,Adventure Bay,F,36364,1,"WILLIAMS, Ray","Shooters, Fishers and Farmers Party",0
TAS,195,Franklin,8493,Adventure Bay,F,36369,2,"DI FALCO, Carlo","Shooters, Fishers and Farmers Party",0
TAS,195,Franklin,8493,Adventure Bay,F,36372,3,"JONES, Brenton Ronald","Shooters, Fishers and Farmers Party",0
TAS,195,Franklin,8493,Adventure Bay,F,0,9998,Unapportioned,"Shooters, Fishers and Farmers Party",5
TAS,195,Franklin,8493,Adventure Bay,G,37943,0,G Above-the-line Votes,Australian Federation Party,0
TAS,195,Franklin,8493,Adventure Bay,G,37791,1,"BROOMHALL, Ray",Australian Federation Party,0
TAS,195,Franklin,8493,Adventure Bay,G,37793,2,"STRINGER, Justin",Australian Federation Party,0
TAS,195,Franklin,8493,Adventure Bay,G,0,9998,Unapportioned,Australian Federation Party,0
TAS,195,Franklin,8493,Adventure Bay,H,37931,0,H Above-the-line Votes,The Local Party,0
TAS,195,Franklin,8493,Adventure Bay,H,37054,1,"MINSHULL, Leanne",The Local Party,0
