2019 Federal Election Senate First Preferences By Polling Place for Division 195 [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-06-19T11:11:03 Cycle:ce40c06e-7934-489c-ae50-006667b6f324 Created:2019-06-19T11:09:01 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
TAS,195,Franklin,8493,Adventure Bay,L,33694,0,L Ticket Votes,Jacqui Lambie Network,3
TAS,195,Franklin,8493,Adventure Bay,L,32864,1,"LAMBIE, Jacqui",Jacqui Lambie Network,2
TAS,195,Franklin,8493,Adventure Bay,L,32868,2,"WILLIAMS, Glynn",Jacqui Lambie Network,0
TAS,195,Franklin,8493,Adventure Bay,L,32873,3,"REYNOLDS, Chris",Jacqui Lambie Network,0
TAS,195,Franklin,8493,Adventure Bay,L,0,9998,Unapportioned,Jacqui Lambie Network,0
TAS,195,Franklin,8493,Adventure Bay,M,33690,0,M Ticket Votes,Help End Marijuana Prohibition (HEMP) Party,4
TAS,195,Franklin,8493,Adventure Bay,M,32995,1,"INFORMAL, Alfred",Help End Marijuana Prohibition (HEMP) Party,0
TAS,195,Franklin,8493,Adventure Bay,M,32997,2,"OWEN, Matt",Help End Marijuana Prohibition (HEMP) Party,0
TAS,195,Franklin,8493,Adventure Bay,M,0,9998,Unapportioned,Help End Marijuana Prohibition (HEMP) Party,0
TAS,195,Franklin,8493,Adventure Bay,N,33687,0,N Ticket Votes,United Australia Party,3
TAS,195,Franklin,8493,Adventure Bay,N,32477,1,"MORGAN, Kevin",United Australia Party,0
TAS,195,Franklin,8493,Adventure Bay,N,32489,2,"WILLIAMS, David",United Australia Party,0
TAS,195,Franklin,8493,Adventure Bay,N,32488,3,"GUNNIS, Craig",United Australia Party,0
TAS,195,Franklin,8493,Adventure Bay,N,0,9998,Unapportioned,United Australia Party,0
TAS,195,Franklin,8493,Adventure Bay,O,33695,0,O Ticket Votes,,0
TAS,195,Franklin,8493,Adventure Bay,O,33487,1,"GARLAND, Craig",,0
TAS,195,Franklin,8493,Adventure Bay,O,33504,2,"DUNCAN, Mark",,0
TAS,195,Franklin,8493,Adventure Bay,O,0,9998,Unapportioned,,0
TAS,195,Franklin,8493,Adventure Bay,P,33696,0,P Ticket Votes,"Shooters, Fishers and Farmers",1
TAS,195,Franklin,8493,Adventure Bay,P,33018,1,"BYFIELD, Rebecca Anthea","Shooters, Fishers and Farmers",1
TAS,195,Franklin,8493,Adventure Bay,P,33021,2,"SWANSON, Kim","Shooters, Fishers and Farmers",0
TAS,195,Franklin,8493,Adventure Bay,P,0,9998,Unapportioned,"Shooters, Fishers and Farmers",0
TAS,195,Franklin,8493,Adventure Bay,UG,32970,1,"BECK, Greg",Australian Better Families,0
TAS,195,Franklin,8493,Adventure Bay,UG,32178,2,"MAV, Steve",Independent,1
TAS,195,Franklin,8493,Adventure Bay,UG,33619,3,"FLANNERY, Francis",Independent,0
TAS,195,Franklin,8493,Adventure Bay,UG,32969,4,"STREET, Karen",Love Australia or Leave,0
TAS,195,Franklin,8493,Adventure Bay,ZZ,0,99,INFORMAL,,3
TAS,195,Franklin,8494,Alonnah,A,33691,0,A Ticket Votes,Australian Conservatives,2
TAS,195,Franklin,8494,Alonnah,A,32091,1,"STRINGER, Justin",Australian Conservatives,1
TAS,195,Franklin,8494,Alonnah,A,32093,2,"FRAME, Nigel",Australian Conservatives,0
TAS,195,Franklin,8494,Alonnah,A,0,9998,Unapportioned,Australian Conservatives,0
TAS,195,Franklin,8494,Alonnah,B,33693,0,B Ticket Votes,The Nationals,0
TAS,195,Franklin,8494,Alonnah,B,32463,1,"MARTIN, Steve",The Nationals,0
TAS,195,Franklin,8494,Alonnah,B,32466,2,"HILDITCH, Wendy",The Nationals,0
TAS,195,Franklin,8494,Alonnah,B,0,9998,Unapportioned,The Nationals,0
TAS,195,Franklin,8494,Alonnah,C,33686,0,C Ticket Votes,Sustainable Australia,0
TAS,195,Franklin,8494,Alonnah,C,32848,1,"DUDLEY, Todd William",Sustainable Australia,0
TAS,195,Franklin,8494,Alonnah,C,32854,2,"MACLAY, Christopher Brian",Sustainable Australia,0
TAS,195,Franklin,8494,Alonnah,C,0,9998,Unapportioned,Sustainable Australia,0
TAS,195,Franklin,8494,Alonnah,D,33699,0,D Ticket Votes,The Greens,40
TAS,195,Franklin,8494,Alonnah,D,32818,1,"McKIM, Nick",The Greens,26
TAS,195,Franklin,8494,Alonnah,D,32826,2,"HUTCHINSON, Helen",The Greens,2
TAS,195,Franklin,8494,Alonnah,D,32835,3,"MARSH, Simone",The Greens,0
TAS,195,Franklin,8494,Alonnah,D,0,9998,Unapportioned,The Greens,0
TAS,195,Franklin,8494,Alonnah,E,33698,0,E Ticket Votes,Liberal,61
TAS,195,Franklin,8494,Alonnah,E,32199,1,"COLBECK, Richard",Liberal,7
TAS,195,Franklin,8494,Alonnah,E,32204,2,"CHANDLER, Claire",Liberal,3
TAS,195,Franklin,8494,Alonnah,E,32226,3,"DENISON, Tanya",Liberal,0
TAS,195,Franklin,8494,Alonnah,E,0,9998,Unapportioned,Liberal,0
TAS,195,Franklin,8494,Alonnah,F,33684,0,F Ticket Votes,Animal Justice Party,2
TAS,195,Franklin,8494,Alonnah,F,32804,1,"BEVIS, Karen Louise",Animal Justice Party,0
TAS,195,Franklin,8494,Alonnah,F,32809,2,"TURNER, Isobel Bertoz",Animal Justice Party,0
TAS,195,Franklin,8494,Alonnah,F,0,9998,Unapportioned,Animal Justice Party,0
TAS,195,Franklin,8494,Alonnah,G,33685,0,G Ticket Votes,Citizens Electoral Council,0
TAS,195,Franklin,8494,Alonnah,G,32886,1,"WILLIAMS, Ray",Citizens Electoral Council,0
TAS,195,Franklin,8494,Alonnah,G,32890,2,"KUCINA, Steve",Citizens Electoral Council,0
TAS,195,Franklin,8494,Alonnah,G,0,9998,Unapportioned,Citizens Electoral Council,0
TAS,195,Franklin,8494,Alonnah,H,33688,0,H Ticket Votes,Liberal Democrats,1
TAS,195,Franklin,8494,Alonnah,H,33009,1,"MEAD, Clinton",Liberal Democrats,1
TAS,195,Franklin,8494,Alonnah,H,33011,2,"RABEY, Matthew",Liberal Democrats,1
TAS,195,Franklin,8494,Alonnah,H,0,9998,Unapportioned,Liberal Democrats,0
TAS,195,Franklin,8494,Alonnah,I,33697,0,I Ticket Votes,Australian Labor Party,52
TAS,195,Franklin,8494,Alonnah,I,32578,1,"BROWN, Carol",Australian Labor Party,8
TAS,195,Franklin,8494,Alonnah,I,32586,2,"BILYK, Catryna",Australian Labor Party,3
TAS,195,Franklin,8494,Alonnah,I,32603,3,"SHORT, John",Australian Labor Party,1
TAS,195,Franklin,8494,Alonnah,I,32616,4,"SINGH, Lisa",Australian Labor Party,22
TAS,195,Franklin,8494,Alonnah,I,32622,5,"ROBERTS, Wayne",Australian Labor Party,0
TAS,195,Franklin,8494,Alonnah,I,32631,6,"FLANAGAN, Robert",Australian Labor Party,0
TAS,195,Franklin,8494,Alonnah,I,0,9998,Unapportioned,Australian Labor Party,0
TAS,195,Franklin,8494,Alonnah,J,33692,0,J Ticket Votes,Pauline Hanson's One Nation,4
TAS,195,Franklin,8494,Alonnah,J,32768,1,"STEPHEN, Matthew",Pauline Hanson's One Nation,0
TAS,195,Franklin,8494,Alonnah,J,32791,2,"LAMBERT, Adam",Pauline Hanson's One Nation,0
TAS,195,Franklin,8494,Alonnah,J,0,9998,Unapportioned,Pauline Hanson's One Nation,0
TAS,195,Franklin,8494,Alonnah,K,33689,0,K Ticket Votes,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,0
TAS,195,Franklin,8494,Alonnah,K,32990,1,"JONES, Michael",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,0
TAS,195,Franklin,8494,Alonnah,K,32992,2,"FALZON, Frank",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,0
TAS,195,Franklin,8494,Alonnah,K,0,9998,Unapportioned,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,0
TAS,195,Franklin,8494,Alonnah,L,33694,0,L Ticket Votes,Jacqui Lambie Network,7
TAS,195,Franklin,8494,Alonnah,L,32864,1,"LAMBIE, Jacqui",Jacqui Lambie Network,8
TAS,195,Franklin,8494,Alonnah,L,32868,2,"WILLIAMS, Glynn",Jacqui Lambie Network,0
TAS,195,Franklin,8494,Alonnah,L,32873,3,"REYNOLDS, Chris",Jacqui Lambie Network,0
TAS,195,Franklin,8494,Alonnah,L,0,9998,Unapportioned,Jacqui Lambie Network,0
TAS,195,Franklin,8494,Alonnah,M,33690,0,M Ticket Votes,Help End Marijuana Prohibition (HEMP) Party,3
TAS,195,Franklin,8494,Alonnah,M,32995,1,"INFORMAL, Alfred",Help End Marijuana Prohibition (HEMP) Party,0
TAS,195,Franklin,8494,Alonnah,M,32997,2,"OWEN, Matt",Help End Marijuana Prohibition (HEMP) Party,0
TAS,195,Franklin,8494,Alonnah,M,0,9998,Unapportioned,Help End Marijuana Prohibition (HEMP) Party,0
TAS,195,Franklin,8494,Alonnah,N,33687,0,N Ticket Votes,United Australia Party,9
TAS,195,Franklin,8494,Alonnah,N,32477,1,"MORGAN, Kevin",United Australia Party,1
TAS,195,Franklin,8494,Alonnah,N,32489,2,"WILLIAMS, David",United Australia Party,0
TAS,195,Franklin,8494,Alonnah,N,32488,3,"GUNNIS, Craig",United Australia Party,0
TAS,195,Franklin,8494,Alonnah,N,0,9998,Unapportioned,United Australia Party,0
TAS,195,Franklin,8494,Alonnah,O,33695,0,O Ticket Votes,,1
TAS,195,Franklin,8494,Alonnah,O,33487,1,"GARLAND, Craig",,1
TAS,195,Franklin,8494,Alonnah,O,33504,2,"DUNCAN, Mark",,0
TAS,195,Franklin,8494,Alonnah,O,0,9998,Unapportioned,,0
TAS,195,Franklin,8494,Alonnah,P,33696,0,P Ticket Votes,"Shooters, Fishers and Farmers",1
TAS,195,Franklin,8494,Alonnah,P,33018,1,"BYFIELD, Rebecca Anthea","Shooters, Fishers and Farmers",1
TAS,195,Franklin,8494,Alonnah,P,33021,2,"SWANSON, Kim","Shooters, Fishers and Farmers",0
TAS,195,Franklin,8494,Alonnah,P,0,9998,Unapportioned,"Shooters, Fishers and Farmers",0
TAS,195,Franklin,8494,Alonnah,UG,32970,1,"BECK, Greg",Australian Better Families,0
TAS,195,Franklin,8494,Alonnah,UG,32178,2,"MAV, Steve",Independent,6
TAS,195,Franklin,8494,Alonnah,UG,33619,3,"FLANNERY, Francis",Independent,0
TAS,195,Franklin,8494,Alonnah,UG,32969,4,"STREET, Karen",Love Australia or Leave,1
TAS,195,Franklin,8494,Alonnah,ZZ,0,99,INFORMAL,,9
TAS,195,Franklin,8497,Bellerive,A,33691,0,A Ticket Votes,Australian Conservatives,8
TAS,195,Franklin,8497,Bellerive,A,32091,1,"STRINGER, Justin",Australian Conservatives,4
TAS,195,Franklin,8497,Bellerive,A,32093,2,"FRAME, Nigel",Australian Conservatives,2
TAS,195,Franklin,8497,Bellerive,A,0,9998,Unapportioned,Australian Conservatives,0
TAS,195,Franklin,8497,Bellerive,B,33693,0,B Ticket Votes,The Nationals,4
TAS,195,Franklin,8497,Bellerive,B,32463,1,"MARTIN, Steve",The Nationals,1
TAS,195,Franklin,8497,Bellerive,B,32466,2,"HILDITCH, Wendy",The Nationals,0
TAS,195,Franklin,8497,Bellerive,B,0,9998,Unapportioned,The Nationals,0
