Name,Location,Address,Latitude,Longitude,Federal,Legislative Assembly,Legislative Council,Local Council
Cascades1,Badminton Centre,101 Cascade Rd South Hobart TAS 7004,-42.894866,147.299931,Clark,Clark,Hobart,Hobart
Cascades2,South Hobart Primary School,59 Anglesea St South Hobart TAS 7004,-42.892457,147.310641,Clark,Clark,Hobart,Hobart
