PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Whitemark,54,335,16.1,Bass,McIntyre,Flinders,"1 James St, WHITEMARK 7255",Lions Club,-40.1214,148.019
Winnaleah,11,181,6.1,Bass,McIntyre,Dorset,"20 Main St, WINNALEAH 7265",Winnaleah Memorial Hall,-41.0979,147.824
Youngtown,61,1491,4.1,Bass,Launceston,Launceston City,"Victoria St, YOUNGTOWN 7249",Youngtown Primary School,-41.4823,147.164
Abbotsham,9,164,5.5,Braddon,Montgomery,Central Coast,"590 Castra Rd, ABBOTSHAM 7315",Abbotsham Hall,-41.2135,146.174
Acton,30,1352,2.2,Braddon,Montgomery,Burnie City,"36 Thorne St, ACTON 7320",Burnie Child and Family Centre,-41.07264,145.89229
Boat Harbour,32,473,6.8,Braddon,Murchison,Waratah-Wynyard,"17386 Bass Hwy, BOAT HARBOUR 7321",Boat Harbour Primary School,-40.9452,145.636
Burnie,67,1388,4.8,Braddon,Murchison,Burnie City,"80 Wilson St, BURNIE 7320",Burnie City Council Offices,-41.0532,145.906
Calder,2,143,1.4,Braddon,Murchison,Waratah-Wynyard,"1320 Calder Rd, CALDER 7325",Calder Hall,-41.0685,145.631
Cooee,31,913,3.4,Braddon,Murchison,Burnie City,"30 Fidler St, COOEE 7320",Cooee Primary School,-41.04076,145.86801
Currie,76,696,10.9,Braddon,Murchison,King Island,"10 George St, CURRIE 7256",Currie Town Hall,-39.9298,143.855
Devonport Central,75,1815,4.1,Braddon,Mersey,Devonport City,"Fenton St, DEVONPORT 7310",St Johns Parish Hall,-41.178994,146.358274
Devonport North West,84,2431,3.5,Braddon,Mersey,Devonport City,"60 Nixon St, DEVONPORT 7310",Nixon Street Primary School,-41.1728,146.337
Devonport South,41,1342,3.1,Braddon,Mersey,Devonport City,"41-43 Middle Rd, DEVONPORT 7310",Reece High School,-41.1893,146.349
Devonport West,22,1178,1.9,Braddon,Mersey,Devonport City,"20-36 Valley Rd, DEVONPORT 7310",TasTafe,-41.1864,146.345
Don,45,1202,3.7,Braddon,Mersey,Devonport City,"17 Forth Rd, DON 7310",Don Memorial Hall,-41.1827,146.318
East Devonport,50,2033,2.5,Braddon,Mersey,Devonport City,"19-21 Thomas St, EAST DEVONPORT 7310",East Devonport Primary School,-41.1779,146.372
Edith Creek,2,157,1.3,Braddon,Murchison,Circular Head,"1282 Trowutta Rd, EDITH CREEK 7330",Edith Creek Primary School,-40.9705,145.092
Elliott,11,386,2.8,Braddon,Murchison,Waratah-Wynyard,"829 Murchison Hwy, ELLIOTT 7325",Elliott Community Centre,-41.0922,145.782
Forest,3,383,0.8,Braddon,Murchison,Circular Head,"422 Mengha Rd, FOREST 7330",Forest Primary School,-40.8486,145.248
Forth,44,682,6.5,Braddon,Montgomery,Central Coast,"45 Wilmot Rd, FORTH 7310",Forth Primary School,-41.192921000000005,146.248975
Gawler,14,466,3.0,Braddon,Montgomery,Central Coast,"15 Top Gawler Rd, GAWLER 7315",Gawler Hall,-41.1852,146.16
Grassy,14,120,11.7,Braddon,Murchison,King Island,"10 Grassy Rd, GRASSY 7256",Grassy Club,-40.0484,144.058
Havenview,13,440,3.0,Braddon,Montgomery,Burnie City,"15 Marriott St, HAVENVIEW 7320",Havenview Primary School,-41.0836,145.911
