PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Beaconsfield,90,990,9.1,Bass,Rosevears,West Tamar,"121 Weld St, BEACONSFIELD 7270",Beaconsfield Senior Citizens Hall,-41.2024,146.819
Beauty Point,42,592,7.1,Bass,Rosevears,West Tamar,"Beatty St, BEAUTY POINT 7270",Beauty Point Uniting Church Hall,-41.148983,146.817506
Branxholm,31,200,15.5,Bass,McIntyre,Dorset,"Stoke St, BRANXHOLM 7261",Branxholm Community Hall,-41.165606,147.73648
Bridport,51,863,5.9,Bass,McIntyre,Dorset,"Main St, BRIDPORT 7262",Bridport Hall,-41.0026,147.395
Dilston,89,675,13.2,Bass,Windermere,Launceston City,"308 John Lees Dr, DILSTON 7252",Dilston War Memorial Hall,-41.3368,147.082
East Launceston,253,1372,18.4,Bass,Launceston,Launceston City,"18 Mary St, EAST LAUNCESTON 7250",East Launceston Primary School,-41.44144,147.151372
Exeter,149,1201,12.4,Bass,Rosevears,West Tamar,"28 Glen Ard Mohr Rd, EXETER 7275",Exeter High School Gymnasium,-41.2996,146.957
Five Ways,148,1031,14.4,Bass,Launceston,Launceston City,"6 Hobart Rd, SOUTH LAUNCESTON 7249",St Marks Church Hall,-41.45908,147.15402
George Town,84,962,8.7,Bass,Windermere,George Town,"29-67 Macquarie St, GEORGE TOWN 7253",George Town Memorial Hall,-41.106907,146.821868
George Town South,43,641,6.7,Bass,Windermere,George Town,"Franklin St, GEORGE TOWN 7253",South George Town Primary School,-41.1124,146.833
Gladstone,12,153,7.8,Bass,McIntyre,Dorset,"1 Carr St, GLADSTONE 7264",Gladstone Hall,-40.9601,148.008
Glengarry,24,297,8.1,Bass,Rosevears,West Tamar,"33 Glengarry Rd, GLENGARRY 7275",Glengarry Catholic Church,-41.335033,146.870343
Gravelly Beach,93,613,15.2,Bass,Rosevears,West Tamar,"401 Gravelly Beach Rd, GRAVELLY BEACH 7276",Edinburgh Park Equestrian Centre,-41.2939,146.973
Hillwood,48,395,12.2,Bass,Windermere,George Town,"280 Hillwood Jetty Rd, HILLWOOD 7252",Hillwood Memorial Hall,-41.236252,146.974945
Inveresk,177,1297,13.6,Bass,Windermere,Launceston City,"35-43 Mayne St, INVERMAY 7248",Invermay Primary School,-41.421676,147.131233
Invermay,115,508,22.6,Bass,Windermere,Launceston City,"4 Invermay Rd, INVERMAY 7248",The Tramsheds Function Centre,-41.428417,147.138618
Karoola,36,340,10.6,Bass,Windermere,Launceston City,"1126 Pipers River Rd, KAROOLA 7267",Karoola Hall,-41.2539,147.148
Kelso,45,354,12.7,Bass,Rosevears,West Tamar,"Foreshore Rd, KELSO 7270",Kelso Community Centre,-41.1037,146.794
Kings Meadows,79,559,14.1,Bass,Launceston,Launceston City,"146 Punchbowl Rd, NEWSTEAD 7250",Punchbowl Primary School,-41.453074,147.164654
Lady Barron,8,128,6.2,Bass,McIntyre,Flinders,"Main St, LADY BARRON 7255",Lady Barron Memorial Hall,-40.211081,148.240354
Launceston,200,838,23.9,Bass,Launceston,Launceston City,"182-192 Cimitiere St, LAUNCESTON 7250",Launceston Voting Centre,-41.434914,147.136039
