PollingPlaceNm,DivisionNm,GreensVotes_2018,TotalVotes_2018,GreensPercentage_2018,PremisesNm_2018,PremisesAddress_2018,Latitude,Longitude,LegCo,LocalCouncil,GreensVotes_2014,TotalVotes_2014,GreensPercentage_2014,PremisesNm_2014,PremisesAddress_2014,SwingPercentage
Judbury,Franklin,48,252,19.0,Judbury Hall,"1273 Glen Huon Rd, JUDBURY 7109",-42.9982,146.9283,Huon,Huon Valley,55,249,22.1,Judbury Hall,"1273 Glen Huon Rd, JUDBURY 7109",-3.1
Kettering,Franklin,156,544,28.7,Kettering Community Centre,"2963 Channel Hwy, KETTERING 7155",-43.1257,147.247,Huon,Kingborough,188,573,32.8,Kettering Community Centre,"2963 Channel Hwy, KETTERING 7155",-4.1
Kingston (Franklin),Franklin,363,1987,18.3,Kingborough Council,"15 Channel Hwy, KINGSTON 7050",-42.975418,147.31165,Nelson,Kingborough,282,1598,17.6,Kingborough Council,"15 Channel Hwy, KINGSTON 7050",0.7
Kingston Beach,Franklin,322,1728,18.6,Kingston Beach Hall,"20 Beach Rd, KINGSTON BEACH 7050",-42.981534,147.323507,Nelson,Kingborough,510,2299,22.2,Kingston Beach Hall,"20 Beach Rd, KINGSTON BEACH 7050",-3.6
Lauderdale,Franklin,311,2434,12.8,Lauderdale Community Hall,"528A South Arm Rd, LAUDERDALE 7021",-42.913663,147.48627,Rumney,Clarence City,408,2435,16.8,Lauderdale Community Hall,"528A South Arm Rd, LAUDERDALE 7021",-4.0
Lindisfarne,Franklin,179,1453,12.3,Lindisfarne Primary School,"17 Loatta Rd, LINDISFARNE 7015",-42.8519,147.363,Pembroke,Clarence City,211,1400,15.1,Lindisfarne Primary School,"17 Loatta Rd, LINDISFARNE 7015",-2.8
Lindisfarne Village,Franklin,233,1880,12.4,St Aidans Church Hall,"54 Lincoln St, LINDISFARNE 7015",-42.846661,147.35574,Pembroke,Clarence City,312,1777,17.6,Lindisfarne Citizens Activities Centre,"37A Lincoln St, LINDISFARNE 7015",-5.2
Maranoa Heights,Franklin,167,1701,9.8,Southern Christian College,"150 Redwood Rd, KINGSTON 7050",-42.9896,147.309,Nelson,Kingborough,253,1910,13.2,Southern Christian College,"150 Redwood Rd, KINGSTON 7050",-3.4
Margate,Franklin,338,2012,16.8,Margate Hall,"1744 Channel Hwy, MARGATE 7054",-43.029,147.263,Huon,Kingborough,433,2171,19.9,Margate Hall,"1744 Channel Hwy, MARGATE 7054",-3.1
Middleton,Franklin,66,277,23.8,South Channel Community Centre,"25 McDowall St, MIDDLETON 7163",-43.2311,147.256,Huon,Kingborough,74,255,29.0,South Channel Community Centre,"25 McDowall St, MIDDLETON 7163",-5.2
Montagu Bay,Franklin,185,1229,15.1,Montagu Bay Primary School,"10 Conara Rd, MONTAGU BAY 7018",-42.8646,147.353,Pembroke,Clarence City,214,1107,19.3,Montagu Bay Primary School,"10 Conara Rd, MONTAGU BAY 7018",-4.2
Mornington,Franklin,71,767,9.3,Citywide Baptist Church,"400 Cambridge Rd, MORNINGTON 7018",-42.856351,147.401753,Pembroke,Clarence City,61,410,14.9,Citywide Baptist Church,"400 Cambridge Rd, MORNINGTON 7018",-5.6
Mountain River,Franklin,99,584,17.0,Mountain River Memorial Hall,"263 Mountain River Rd, MOUNTAIN RIVER 7109",-42.9614,147.109,Huon,Huon Valley,127,590,21.5,Mountain River Memorial Hall,"263 Mountain River Rd, MOUNTAIN RIVER 7109",-4.5
Old Beach,Lyons,76,1482,5.1,Old Beach Community Centre,"86 Jetty Rd, OLD BEACH 7017",-42.77427,147.26576,Rumney,Brighton,87,1371,6.3,Old Beach Community Centre,"86 Jetty Rd, OLD BEACH 7017",-1.2
Ranelagh,Franklin,150,1032,14.5,Ranelagh Memorial Hall,"40 Marguerite St, RANELAGH 7109",-43.0086,147.039,Huon,Huon Valley,151,907,16.6,Ranelagh Memorial Hall,"40 Marguerite St, RANELAGH 7109",-2.1
Richmond,Lyons,95,928,10.2,Richmond Primary School,"Commercial Rd, RICHMOND 7025",-42.739282,147.437988,Rumney,Clarence City,116,885,13.1,Richmond Primary School,"Commercial Rd, RICHMOND 7025",-2.9
Risdon Vale,Franklin,61,1156,5.3,Risdon Vale Primary School,"2 Heather Rd, RISDON VALE 7016",-42.8131,147.354,Rumney,Clarence City,63,1130,5.6,Risdon Vale Primary School,"2 Heather Rd, RISDON VALE 7016",-0.3
Rokeby,Franklin,68,1350,5.0,Emmanuel Christian School,"1 Chipmans Rd, ROKEBY 7019",-42.90091,147.438998,Rumney,Clarence City,77,1405,5.5,Rokeby Community Centre,"Hart Pl, ROKEBY 7019",-0.5
Sandfly (Franklin),Franklin,193,871,22.2,Sandfly Hall,"811 Sandfly Rd, SANDFLY 7150",-42.985,147.196,Huon,Kingborough,210,764,27.5,Sandfly Hall,"811 Sandfly Rd, SANDFLY 7150",-5.3
Sandford,Franklin,274,1331,20.6,Sandford Hall,"949 South Arm Rd, SANDFORD 7020",-42.9402,147.495,Rumney,Clarence City,289,1151,25.1,Sandford Hall,"949 South Arm Rd, SANDFORD 7020",-4.5
Seven Mile Beach,Franklin,94,796,11.8,Ramada Resort By Wyndham Seven Mile Beach,"78 Surf Rd, SEVEN MILE BEACH 7170",-42.8526,147.511,Rumney,Clarence City,127,733,17.3,Ramada Resort By Wyndham Seven Mile Beach,"78 Surf Rd, SEVEN MILE BEACH 7170",-5.5
Snug,Franklin,262,1183,22.1,Snug Primary School,"2208 Channel Hwy, SNUG 7054",-43.0664,147.255,Huon,Kingborough,271,1069,25.4,Snug Primary School,"2208 Channel Hwy, SNUG 7054",-3.3
South Arm,Franklin,122,676,18.0,South Arm Primary School,"32 Harmony Lane, SOUTH ARM 7022",-43.0264,147.421,Rumney,Clarence City,140,677,20.7,South Arm Primary School,"32 Harmony Lane, SOUTH ARM 7022",-2.7
Southport,Franklin,29,146,19.9,Southport Community Centre,"8606 Huon Hwy, SOUTHPORT 7109",-43.418985,146.959638,Huon,Huon Valley,30,148,20.3,Southport Fire Station,"3 Cathkit St, SOUTHPORT 7109",-0.4
Tranmere,Franklin,185,2287,8.1,Tranmere Hall,"27 Tranmere Rd, HOWRAH 7018",-42.8911,147.409,Pembroke,Clarence City,263,2123,12.4,Tranmere Hall,"27 Tranmere Rd, HOWRAH 7018",-4.3
Warrane,Franklin,165,1964,8.4,Warrane Primary School,"213 Cambridge Rd, WARRANE 7018",-42.86115,147.38256,Pembroke,Clarence City,121,1237,9.8,Warrane Primary School,"213 Cambridge Rd, WARRANE 7018",-1.4
Woodbridge,Franklin,170,456,37.3,Woodbridge Hall,"3445 Channel Hwy, WOODBRIDGE 7162",-43.1601,147.239,Huon,Kingborough,169,403,41.9,Woodbridge Hall,"3445 Channel Hwy, WOODBRIDGE 7162",-4.6
Avoca,Lyons,6,177,3.4,Avoca Primary School,"26-30 St Pauls St, AVOCA 7213",-41.782233,147.726685,McIntyre,Northern Midlands,14,205,6.8,Avoca Primary School,"26-30 St Pauls St, AVOCA 7213",-3.4
Bagdad,Lyons,20,701,2.9,Bagdad Primary School,"46 School Rd, BAGDAD 7030",-42.6249,147.223,Prosser,Southern Midlands,58,684,8.5,Bagdad Primary School,"46 School Rd, BAGDAD 7030",-5.6
Beaconsfield,Bass,54,1024,5.3,Beaconsfield Senior Citizens' Hall,"121 Weld St, BEACONSFIELD 7270",-41.2024,146.819,Rosevears,West Tamar,139,928,15.0,Beaconsfield House Inc,"33 Grubb St, BEACONSFIELD 7270",-9.7
Beauty Point,Bass,44,627,7.0,Beauty Point Uniting Church Hall,"Beatty St, BEAUTY POINT 7270",-41.148983,146.817506,Rosevears,West Tamar,87,745,11.7,Beauty Point (Sandy Beach) Bowls Club Hall,"11 Mainwaring St, BEAUTY POINT 7270",-4.7
Bicheno,Lyons,73,671,10.9,Bicheno Beachfront,"Sinclair St, BICHENO 7215",-41.874363,148.299881,Prosser,Glamorgan-Spring Bay,89,610,14.6,Bicheno Beachfront,"Sinclair St, BICHENO 7215",-3.7
Bothwell,Lyons,5,360,1.4,Bothwell Council Chambers,"19 Alexander St, BOTHWELL 7030",-42.3819,147.006,Derwent,Central Highlands,21,377,5.6,Bothwell Council Chambers,"19 Alexander St, BOTHWELL 7030",-4.2
Bracknell,Lyons,23,440,5.2,Bracknell War Memorial Hall,"Louisa St, BRACKNELL 7302",-41.6512,146.943,McIntyre,Meander Valley,32,364,8.8,Bracknell War Memorial Hall,"Louisa St, BRACKNELL 7302",-3.6
Bridgewater,Lyons,33,1874,1.8,Brighton Civic Centre,"25 Green Point Rd, BRIDGEWATER 7030",-42.739164,147.243512,Derwent,Brighton,83,1804,4.6,Brighton Civic Centre,"25 Green Point Rd, BRIDGEWATER 7030",-2.8
