PollingPlaceNm,DivisionNm,GreensVotes_2018,TotalVotes_2018,GreensPercentage_2018,PremisesNm_2018,PremisesAddress_2018,Latitude,Longitude,LegCo,LocalCouncil,GreensVotes_2014,TotalVotes_2014,GreensPercentage_2014,PremisesNm_2014,PremisesAddress_2014,SwingPercentage
Legana (Lyons),Lyons,70,871,8.0,Legana Memorial Hall,"43 Fulton St, LEGANA 7277",-41.3632,147.047,Rosevears,West Tamar,119,809,14.7,Legana Memorial Hall,"43 Fulton St, LEGANA 7277",-6.7
Levendale,Lyons,2,82,2.4,Levendale Community Hall,"Woodsdale Rd, LEVENDALE 7120",-42.542125,147.568369,Prosser,Southern Midlands,7,114,6.1,Levendale Community Hall,"Woodsdale Rd, LEVENDALE 7120",-3.7
Longford,Lyons,76,2124,3.6,Longford War Memorial Hall,"53 Wellington St, LONGFORD 7301",-41.59314,147.121997,McIntyre,Northern Midlands,154,2012,7.7,Longford War Memorial Hall,"53 Wellington St, LONGFORD 7301",-4.1
Lower Barrington,Lyons,27,511,5.3,Lower Barrington Public Hall,"1027 Sheffield Rd, LOWER BARRINGTON 7306",-41.291,146.291,Montgomery,Kentish,50,498,10.0,Lower Barrington Public Hall,"1027 Sheffield Rd, LOWER BARRINGTON 7306",-4.7
Magra,Lyons,16,504,3.2,Magra CWA Building,"377 Back River Rd, MAGRA 7140",-42.7559,147.054,Derwent,Derwent Valley,27,468,5.8,Magra CWA Building,"377 Back River Rd, MAGRA 7140",-2.6
Mathinna,Lyons,3,44,6.8,Mathinna Community Centre,"21 High St, MATHINNA 7214",-41.471914,147.890713,McIntyre,Break O'Day,10,88,11.4,Mathinna Community Centre,"21 High St, MATHINNA 7214",-4.6
Maydena,Lyons,7,73,9.6,Giant's Table and Cottages,"9-13 Junee Rd, MAYDENA 7140",-42.753993,146.623385,Derwent,Derwent Valley,20,130,15.4,Maydena Online Access Centre,"36 Kallista Rd, MAYDENA 7140",-5.8
Meander,Lyons,26,232,11.2,Meander Hall,"124 Main Rd, MEANDER 7304",-41.65198,146.609993,McIntyre,Meander Valley,61,275,22.2,Meander Primary School,"137 Main Rd, MEANDER 7304",-11.0
Midway Point,Lyons,57,1320,4.3,Midway Point Community Hall,"34 Raynors Rd, MIDWAY POINT 7171",-42.7997,147.533,Rumney,Sorell,129,1355,9.5,Midway Point Community Hall,"34 Raynors Rd, MIDWAY POINT 7171",-5.2
Miena,Lyons,4,162,2.5,Miena Community Centre,"55-57 Cider Gum Rd, MIENA 7030",-41.9937,146.708,Derwent,Central Highlands,9,117,7.7,Miena Community Centre,"55-57 Cider Gum Rd, MIENA 7030",-5.2
Mole Creek,Lyons,23,295,7.8,Mole Creek Primary School,"4 Caveside Rd, MOLE CREEK 7304",-41.557472,146.406501,McIntyre,Meander Valley,43,291,14.8,Mole Creek Primary School,"4 Caveside Rd, MOLE CREEK 7304",-7.0
Molesworth,Lyons,34,288,11.8,Molesworth Community Hall,"560 Molesworth Rd, MOLESWORTH 7140",-42.80423,147.161093,Derwent,Derwent Valley,65,291,22.3,Molesworth Primary School,"540 Molesworth Rd, MOLESWORTH 7140",-10.5
Moriarty,Braddon,15,239,6.3,Moriarty Hall,"1 Bonneys Lane, MORIARTY 7307",-41.217206,146.481308,Mersey,Latrobe,31,252,12.3,Moriarty Hall,"1 Bonneys Lane, MORIARTY 7307",-6.0
New Norfolk,Lyons,103,1967,5.2,New Norfolk Primary School,"8 Pioneer Ave, NEW NORFOLK 7140",-42.7793,147.064,Derwent,Derwent Valley,206,1779,11.6,New Norfolk Primary School,"8 Pioneer Ave, NEW NORFOLK 7140",-6.4
New Norfolk North,Lyons,31,1115,2.8,Fairview Primary School,"211 Back River Rd, NEW NORFOLK 7140",-42.774251,147.04917,Derwent,Derwent Valley,37,1228,3.0,New Norfolk Sport & Recreation Centre,"50 Derwent Terrace, NEW NORFOLK 7140",-0.2
Nubeena,Lyons,95,688,13.8,Tasman Civic Centre,"21 Clarke St, NUBEENA 7184",-43.099706,147.744677,Prosser,Tasman,93,527,17.6,Tasman Civic Centre,"21 Clarke St, NUBEENA 7184",-3.8
Oatlands,Lyons,41,657,6.2,Oatlands Council Chambers,"71 High St, OATLANDS 7120",-42.299995,147.372094,Prosser,Southern Midlands,51,566,9.0,Oatlands Council Chambers,"71 High St, OATLANDS 7120",-2.8
Orford,Lyons,62,507,12.2,Orford Primary School,"35 Charles st, ORFORD 7190",-42.563502,147.87386,Prosser,Glamorgan-Spring Bay,42,461,9.1,Orford Primary School,"35 Charles st, ORFORD 7190",3.1
Ouse,Lyons,7,362,1.9,Ouse Online Centre,"6947 Lyell Hwy, OUSE 7140",-42.485288,146.711018,Derwent,Central Highlands,12,213,5.6,Ouse Online Centre,"6947 Lyell Hwy, OUSE 7140",-3.7
Perth,Lyons,66,1781,3.7,Perth Community Centre,"173 Fairtlough St, PERTH 7300",-41.5725,147.173,McIntyre,Northern Midlands,109,1792,6.1,Perth Community Centre,"173 Fairtlough St, PERTH 7300",-2.4
Pontville,Lyons,24,561,4.3,Pontville Old Council Chambers,"371 Brighton Rd, PONTVILLE 7030",-42.683895,147.265554,Prosser,Brighton,57,663,8.6,Pontville Old Council Chambers,"371 Brighton Rd, PONTVILLE 7030",-4.3
Port Sorell,Braddon,117,2411,4.9,Port Sorell Memorial Hall,"cnr Meredith St & Darling St, PORT SORELL 7307",-41.165409,146.555718,Mersey,Latrobe,196,2123,9.2,Port Sorell Memorial Hall,"cnr Meredith St & Darling St, PORT SORELL 7307",-4.3
Primrose Sands,Lyons,27,516,5.2,Primrose Sands Community Hall,"570 Primrose Sands Rd, PRIMROSE SANDS 7173",-42.892403,147.671829,Prosser,Sorell,37,468,7.9,Primrose Sands Community Hall,"570 Primrose Sands Rd, PRIMROSE SANDS 7173",-2.7
Railton,Lyons,30,703,4.3,Sheffield School - Railton Campus,"94 Foster St, RAILTON 7305",-41.3526,146.414,McIntyre,Kentish,45,701,6.4,Sheffield School - Railton Campus,"94 Foster St, RAILTON 7305",-2.1
Ross,Lyons,12,309,3.9,Ross Town Hall,"12 Bridge St, ROSS 7209",-42.031409,147.492498,Prosser,Northern Midlands,22,308,7.1,Ross Town Hall,"12 Bridge St, ROSS 7209",-3.2
Sassafras,Braddon,2,257,0.8,Sassafras Primary School,"50 School Rd, SASSAFRAS 7307",-41.2871,146.503,Mersey,Latrobe,7,221,3.2,Sassafras Primary School,"50 School Rd, SASSAFRAS 7307",-2.4
Scamander,Lyons,60,503,11.9,Scamander Sports Complex,"1 Old Coach Rd, SCAMANDER 7215",-41.454218,148.26009,McIntyre,Break O'Day,116,569,20.4,Scamander Fire Station,"Campbell St, SCAMANDER 7215",-8.5
Sheffield,Lyons,75,1074,7.0,Sheffield School,"12 Henry St, SHEFFIELD 7306",-41.380689,146.330316,Montgomery,Kentish,103,994,10.4,Sheffield School,"12 Henry St, SHEFFIELD 7306",-3.4
Sidmouth,Bass,46,429,10.7,Sidmouth Community Centre,"255 Batman Hwy, SIDMOUTH 7270",-41.2221,146.887,Rosevears,West Tamar,129,498,25.9,Sidmouth Community Centre,"255 Batman Hwy, SIDMOUTH 7270",-15.2
Sorell,Lyons,99,2059,4.8,Sorell Memorial Hall,"47 Cole St, SORELL 7172",-42.780612,147.560628,Prosser,Sorell,162,2027,8.0,Sorell School,"41 Gordon St, SORELL 7172",-3.2
St Helens,Lyons,101,1221,8.3,St Helens District High School,"9 Circassian St, ST HELENS 7216",-41.324539,148.246265,McIntyre,Break O'Day,247,1739,14.2,St Helens Memorial Hall,"39 Cecilia St, ST HELENS 7216",-5.9
St Marys,Lyons,71,547,13.0,St Marys Community Hall,"23 Main St, ST MARYS 7215",-41.57969,148.18531,McIntyre,Break O'Day,112,536,20.9,St Marys Community Hall,"23 Main St, ST MARYS 7215",-7.9
Swansea,Lyons,77,769,10.0,Swansea Primary School,"25 Franklin St, SWANSEA 7190",-42.122367,148.073185,Prosser,Glamorgan-Spring Bay,85,706,12.0,Swansea Town Hall,"12 Franklin St, SWANSEA 7190",-2.0
Taranna,Lyons,60,404,14.9,Tasman Peninsula Community Centre,"Gourlay Rd, TARANNA 7180",-43.037984,147.867522,Prosser,Tasman,74,296,25.0,Tasman Peninsula Community Centre,"Gourlay Rd, TARANNA 7180",-10.1
Tea Tree,Lyons,11,225,4.9,Tea Tree Community Hall,"Briar Banks Rd, TEA TREE 7017",-42.689533,147.323592,Prosser,Brighton,22,206,10.7,Tea Tree Community Hall,"Briar Banks Rd, TEA TREE 7017",-5.8
Triabunna,Lyons,29,619,4.7,Triabunna Hall,"3 Vicary St, TRIABUNNA 7190",-42.50822,147.910384,Prosser,Glamorgan-Spring Bay,25,574,4.4,Triabunna Council Chambers,"38 Vicary St, TRIABUNNA 7190",0.3
Tunnack,Lyons,5,196,2.6,Tunnack Public Hall,"2147 Tunnack Rd, TUNNACK 7120",-42.456521,147.461779,Prosser,Southern Midlands,13,185,7.0,Tunnack Public Hall,"2147 Tunnack Rd, TUNNACK 7120",-4.4
Wesley Vale,Braddon,17,200,8.5,Andrews Creek Primary School,"20 Westwind Dr, WESLEY VALE 7307",-41.188828,146.456401,Mersey,Latrobe,21,179,11.7,Andrews Creek Primary School,"20 Westwind Dr, WESLEY VALE 7307",-3.2
Westbury,Lyons,88,1252,7.0,Westbury Town Hall,"26 Lyall St, WESTBURY 7303",-41.528106,146.83102,McIntyre,Meander Valley,113,1178,9.6,Westbury Uniting Church Hall,"Cnr Dexter and William Streets, WESTBURY 7303",-2.6
Westerway,Lyons,24,304,7.9,Westerway Primary School,"1619 Gordon River Rd, WESTERWAY 7140",-42.6775,146.787,Derwent,Derwent Valley,31,204,15.2,Westerway Primary School,"1619 Gordon River Rd, WESTERWAY 7140",-7.3
Wilmot,Lyons,38,238,16.0,Wilmot Primary School,"61 Main St, WILMOT 7310",-41.386919,146.175659,Montgomery,Kentish,49,211,23.2,Wilmot Primary School,"61 Main St, WILMOT 7310",-7.2
