PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Beaconsfield,69,821,8.4,Bass,Rosevears,West Tamar,"121 Weld St, BEACONSFIELD 7270",Beaconsfield Senior Citizens' Hall,-41.2024,146.819
Beauty Point,55,542,10.1,Bass,Rosevears,West Tamar,"Beatty St, BEAUTY POINT 7270",Beauty Point Uniting Church Hall,-41.148983,146.817506
Branxholm,19,207,9.2,Bass,McIntyre,Dorset,"Stoke St, BRANXHOLM 7261",Branxholm Community Hall,-41.165606,147.73648
Bridport,60,884,6.8,Bass,McIntyre,Dorset,"Main St, BRIDPORT 7262",Bridport Hall,-41.0026,147.395
Derby,17,78,21.8,Bass,McIntyre,Dorset,"1 Krushka St, DERBY 7264",Derby Town Hall,-41.14933,147.80236
Dilston,86,609,14.1,Bass,Windermere,Launceston City,"308 John Lees Dr, DILSTON 7252",Dilston War Memorial Hall,-41.3368,147.082
East Launceston,272,989,27.5,Bass,Launceston,Launceston City,"16-28 Oxford St, EAST LAUNCESTON 7250",Easst Launceston Pavillion,-41.441512,147.150987
Exeter,129,1039,12.4,Bass,Rosevears,West Tamar,"28 Glen Ard Mohr Rd, EXETER 7275",Exeter High School Gymnasium,-41.2996,146.957
Five Ways,114,692,16.5,Bass,Launceston,Launceston City,"6 Hobart Rd, SOUTH LAUNCESTON 7249",St Mark's Church Hall,-41.45908,147.15402
George Town,92,1394,6.6,Bass,Windermere,George Town,"29-67 Macquarie St, GEORGE TOWN 7253",George Town Memorial Hall,-41.106907,146.821868
George Town South,49,1009,4.9,Bass,Windermere,George Town,"Franklin St, GEORGE TOWN 7253",South George Town Primary School,-41.1124,146.833
Gladstone,9,169,5.3,Bass,McIntyre,Dorset,"1 Carr St, GLADSTONE 7264",Gladstone Hall,-40.9601,148.008
Glengarry,37,273,13.6,Bass,Rosevears,West Tamar,"33 Glengarry Rd, GLENGARRY 7275",Glengarry Catholic Church,-41.335033,146.870343
Gravelly Beach,94,549,17.1,Bass,Rosevears,West Tamar,"401 Gravelly Beach Rd, GRAVELLY BEACH 7276",Edinburgh Park Equestrian Centre,-41.2939,146.973
Hillwood,55,402,13.7,Bass,Windermere,George Town,"280 Hillwood Jetty Rd, HILLWOOD 7252",Hillwood Memorial Hall,-41.236252,146.974945
Inveresk,159,815,19.5,Bass,Windermere,Launceston City,"35-43 Mayne St, INVERMAY 7248",Invermay Primary School,-41.421676,147.131233
Invermay,101,728,13.9,Bass,Windermere,Launceston City,"247 Invermay Rd, INVERMAY 7248",St Finn Barr's School,-41.4157,147.132
Karoola,21,303,6.9,Bass,Windermere,Launceston City,"1126 Pipers River Rd, KAROOLA 7267",Karoola Hall,-41.2539,147.148
Kelso,44,312,14.1,Bass,Rosevears,West Tamar,"Foreshore Rd, KELSO 7270",Kelso Community Centre,-41.1037,146.794
Kings Meadows,161,1320,12.2,Bass,Launceston,Launceston City,"8A Blaydon St, KINGS MEADOWS 7249",YMCA Centre,-41.4677,147.16
Kings Meadows South,31,223,13.9,Bass,Launceston,Launceston City,"93 Guy St, KINGS MEADOWS 7249",Kings Meadows High School,-41.473804,147.159527
Lady Barron,10,141,7.1,Bass,McIntyre,Flinders,"Main St, LADY BARRON 7255",Lady Barron Memorial Hall,-40.211081,148.240354
Launceston,216,705,30.6,Bass,Launceston,Launceston City,"36 Paterson St, LAUNCESTON 7250",Pilgrim Hall,-41.4366,147.137
Launceston Central,324,1486,21.8,Bass,Launceston,Launceston City,"59 Bathurst St, LAUNCESTON 7250",,-41.442151,147.136819
Lebrina,21,236,8.9,Bass,Windermere,Launceston City,"905 Golconda Rd, LEBRINA 7254",Lebrina Memorial Hall,-41.1773,147.228
Legana,252,1876,13.4,Bass,Rosevears,West Tamar,"43 Fulton St, LEGANA 7277",Legana Memorial Hall,-41.3632,147.047
Legana Central,27,279,9.7,Bass,Rosevears,West Tamar,"1 Gerrard Cl, LEGANA 7277",Legana Christian Church,-41.370142,147.040425
Lilydale,105,658,16.0,Bass,Windermere,Launceston City,"1949 Main Rd, LILYDALE 7268",Lilydale Memorial Hall,-41.2523,147.216
Mowbray,83,595,13.9,Bass,Windermere,Launceston City,"36 Button St, MOWBRAY 7248",Launceston Church Grammar School,-41.40814,147.131059
Newnham,112,1602,7.0,Bass,Windermere,Launceston City,"128-132 George Town Rd, NEWNHAM 7248",Launceston North Uniting Church,-41.3873,147.128
Newnham Alanvale,84,955,8.8,Bass,Windermere,Launceston City,"1B George Town Rd, NEWNHAM 7248",North Launceston Bowls and Community Club,-41.400285,147.128665
Newstead,258,1501,17.2,Bass,Launceston,Launceston City,"148 Abbott St, NEWSTEAD 7250",Police Citizens & Youth Club,-41.4472,147.157
Norwood,199,1569,12.7,Bass,Launceston,Launceston City,"103 Norwood Ave, NORWOOD 7250",Norwood Primary School,-41.4621,147.174
Norwood North,63,405,15.6,Bass,Launceston,Launceston City,"161 Penquite Rd, NORWOOD 7250",Queechy High School,-41.451953,147.176075
Nunamara,29,274,10.6,Bass,Windermere,Launceston City,"39461 Tasman Hwy, NUNAMARA 7259",Nunamara Memorial Hall,-41.394,147.296
Pipers River,20,228,8.8,Bass,Windermere,George Town,"76 School Rd, PIPERS RIVER 7252",Pipers River Fire Station,-41.1006,147.091
Prospect (Bass),53,390,13.6,Bass,Rosevears,Launceston City,"282 Westbury Rd, PROSPECT 7250",St Patrick's College,-41.472,147.126
Ravenswood,67,1225,5.5,Bass,Windermere,Launceston City,"27 Prossers Forest Rd, RAVENSWOOD 7250",Ravenswood Primary School,-41.415955,147.179654
Ringarooma,10,244,4.1,Bass,McIntyre,Dorset,"4 Charles St, RINGAROOMA 7263",Ringarooma Hall,-41.24241,147.73568
Riverside,149,1255,11.9,Bass,Rosevears,West Tamar,"354 West Tamar Hwy, RIVERSIDE 7250",Riverside High School,-41.40936,147.09861
Riverside North,30,296,10.1,Bass,Rosevears,West Tamar,"452a West Tamar Rd, RIVERSIDE 7250",Launceston Christian School,-41.400582,147.091327
Rocherlea,29,307,9.4,Bass,Windermere,Launceston City,"23-41 Archer St, ROCHERLEA 7248",Rocherlea Memorial Hall,-41.372975,147.13024
Scottsdale,75,1415,5.3,Bass,McIntyre,Dorset,"20 Coplestone Rd, SCOTTSDALE 7260",Scottsdale High School,-41.157117,147.508674
Sidmouth,41,418,9.8,Bass,Rosevears,West Tamar,"255 Batman Hwy, SIDMOUTH 7270",Sidmouth Community Centre,-41.2221,146.887
South Launceston,127,554,22.9,Bass,Rosevears,Launceston City,"50 Glen Dhu Street, LAUNCESTON 7250",Door of Hope,-41.455287,147.140429
St Leonards,78,955,8.2,Bass,Windermere,Launceston City,"330-342 St Leonards Rd, ST LEONARDS 7250",St Leonards Primary School,-41.4597,147.2
Summerhill (Bass),173,1652,10.5,Bass,Rosevears,Launceston City,"82-84 Stanley St, SUMMERHILL 7250",Summerdale Community Centre,-41.4683,147.12971
Trevallyn,193,1204,16.0,Bass,Rosevears,West Tamar,"34 Pitt Ave, TREVALLYN 7250",Trevallyn Life Church,-41.4301,147.106
Trevallyn Central,371,1178,31.5,Bass,Rosevears,West Tamar,"55 Gorge Rd, TREVALLYN 7250",Trevallyn Primary School,-41.4381,147.115
Waverley,59,795,7.4,Bass,Windermere,Launceston City,"6 Naroo St, WAVERLEY 7250",Waverley School Hall,-41.4321,147.19
West Launceston,284,972,29.2,Bass,Rosevears,Launceston City,"24-38 Basin Rd, WEST LAUNCESTON 7250",West Launceston Primary School,-41.4492,147.129
Weymouth,25,168,14.9,Bass,Windermere,George Town,"18 Major St, WEYMOUTH 7252",Weymouth Hall,-41.0153,147.154
Whitemark,41,315,13.0,Bass,McIntyre,Flinders,"1 James St, WHITEMARK 7255",Lions Club,-40.1214,148.019
Winnaleah,11,149,7.4,Bass,McIntyre,Dorset,"20 Main St, WINNALEAH 7265",Winnaleah Memorial Hall,-41.0979,147.824
Youngtown,102,1311,7.8,Bass,Launceston,Launceston City,"Victoria St, YOUNGTOWN 7249",Youngtown Primary School,-41.4823,147.164
Acton,68,1200,5.7,Braddon,Montgomery,Burnie City,"36 Thorne St, ACTON 7320",Burnie Child and Family Centre,-41.07264,145.89229
Boat Harbour,83,491,16.9,Braddon,Murchison,Waratah-Wynyard,"17386 Bass Hwy, BOAT HARBOUR 7321",Boat Harbour Primary School,-40.9452,145.636
Burnie,103,970,10.6,Braddon,Murchison,Burnie City,"80 Wilson St, BURNIE 7320",Burnie City Council Offices,-41.0532,145.906
Calder,16,182,8.8,Braddon,Murchison,Waratah-Wynyard,"1320 Calder Rd, CALDER 7325",Calder Hall,-41.0685,145.631
Cooee,51,736,6.9,Braddon,Murchison,Burnie City,"30 Fidler St, COOEE 7320",Cooee Primary School,-41.04076,145.86801
Currie,57,629,9.1,Braddon,Murchison,King Island,"10 George St, CURRIE 7256",Currie Town Hall,-39.9298,143.855
Devonport,40,557,7.2,Braddon,Mersey,Devonport City,"11 Addison St, DEVONPORT 7310",Addison Street Scout Hall,-41.1737,146.344
Devonport Central,88,715,12.3,Braddon,Mersey,Devonport City,"57A Stewart St, DEVONPORT 7310",Devonport Primary School,-41.18004,146.358108
Devonport North West,211,2060,10.2,Braddon,Mersey,Devonport City,"60 Nixon St, DEVONPORT 7310",Nixon Street Primary School,-41.1728,146.337
Devonport South,83,934,8.9,Braddon,Mersey,Devonport City,"41-43 Middle Rd, DEVONPORT 7310",Reece High School,-41.1893,146.349
Devonport West,51,1090,4.7,Braddon,Mersey,Devonport City,"20-36 Valley Rd, DEVONPORT 7310",TasTafe,-41.1864,146.345
Don,103,1110,9.3,Braddon,Mersey,Devonport City,"17 Forth Rd, DON 7310",Don Memorial Hall,-41.1827,146.318
East Devonport,98,1790,5.5,Braddon,Mersey,Devonport City,"19-21 Thomas St, EAST DEVONPORT 7310",East Devonport Primary School,-41.1779,146.372
Edith Creek,6,175,3.4,Braddon,Murchison,Circular Head,"1282 Trowutta Rd, EDITH CREEK 7330",Edith Creek Primary School,-40.9705,145.092
Elliott,29,419,6.9,Braddon,Murchison,Waratah-Wynyard,"829 Murchison Hwy, ELLIOTT 7325",Elliott Community Centre,-41.0922,145.782
Forest,10,397,2.5,Braddon,Murchison,Circular Head,"422 Mengha Rd, FOREST 7330",Forest Primary School,-40.8486,145.248
Forth,77,525,14.7,Braddon,Montgomery,Central Coast,"45 Wilmot Rd, FORTH 7310",Forth Primary School,-41.192921,146.248975
Gawler,17,438,3.9,Braddon,Montgomery,Central Coast,"15 Top Gawler Rd, GAWLER 7315",Gawler Hall,-41.1852,146.16
Grassy,3,109,2.8,Braddon,Murchison,King Island,"6 Fern Tree Dr, GRASSY 7256",Grassy Fire Station,-40.048254,144.050797
Havenview,28,437,6.4,Braddon,Montgomery,Burnie City,"15 Marriott St, HAVENVIEW 7320",Havenview Primary School,-41.0836,145.911
Heybridge,25,294,8.5,Braddon,Montgomery,Central Coast,"Sice Ave, HEYBRIDGE 7316",Blythe Heads Hall,-41.0751,145.986
Highclere,7,202,3.5,Braddon,Montgomery,Burnie City,"1558 Ridgley Hwy, HIGHCLERE 7321",Highclere Community Centre,-41.1904,145.806
Irishtown,7,327,2.1,Braddon,Murchison,Circular Head,"602 Irishtown Rd, IRISHTOWN 7330",Irishtown Sports Complex,-40.912449,145.143995
Latrobe,70,1166,6.0,Braddon,Mersey,Latrobe,"170 Gilbert St, LATROBE 7307",Latrobe Memorial Hall,-41.2365,146.415
Latrobe South,59,1093,5.4,Braddon,Mersey,Latrobe,"23 Lewis St, LATROBE 7307",Latrobe Primary School,-41.239619,146.416013
Marrawah,16,252,6.3,Braddon,Murchison,Circular Head,"844 Comeback Rd, MARRAWAH 7330",Marrawah Memorial Hall,-40.9229,144.697
Melrose,25,261,9.6,Braddon,Mersey,Devonport City,"673 Melrose Rd, MELROSE 7310",Melrose Memorial Hall,-41.2417,146.289
Montello,65,868,7.5,Braddon,Murchison,Burnie City,"83 Bird St, MONTELLO 7320",Montello Primary School,-41.0605,145.898
Moorleah,20,207,9.7,Braddon,Murchison,Waratah-Wynyard,"720 Preolenna Rd, MOORLEAH 7321",Moorleah Community Centre,-40.981,145.616
Moriarty,27,294,9.2,Braddon,Mersey,Latrobe,"1 Bonneys Lane, MORIARTY 7307",Moriarty Hall,-41.217206,146.481308
Natone,13,170,7.6,Braddon,Montgomery,Burnie City,"100 Upper Natone Rd, NATONE 7321",Natone Primary School,-41.1701,145.922
North Motton,11,285,3.9,Braddon,Montgomery,Central Coast,"578 Preston Rd, NORTH MOTTON 7315",North Motton Hall,-41.20637,146.10937
Penguin,179,1399,12.8,Braddon,Montgomery,Central Coast,"105 Ironcliffe Rd, PENGUIN 7316",Penguin District School,-41.127171,146.067557
Port Sorell,124,1379,9.0,Braddon,Mersey,Latrobe,"cnr Meredith St & Darling St, PORT SORELL 7307",Port Sorell Memorial Hall,-41.165409,146.555718
Port Sorell West,69,735,9.4,Braddon,Mersey,Latrobe,"Pitcairn St, PORT SORELL 7307",Port Sorell Primary School,-41.163896,146.547898
Preston,7,117,6.0,Braddon,Montgomery,Central Coast,"1833 Preston Rd, PRESTON 7315",Preston Community Centre,-41.2972,146.062
Queenstown,32,502,6.4,Braddon,Murchison,West Coast,"53 Orr St, QUEENSTOWN 7467",Queenstown Memorial Hall,-42.0802,145.558
Riana,11,148,7.4,Braddon,Montgomery,Central Coast,"1221 Pine Rd, RIANA 7316",Riana Community Centre,-41.2015,145.999
Ridgley,18,519,3.5,Braddon,Montgomery,Burnie City,"904 Ridgley Hwy, RIDGLEY 7321",Ridgley Primary School,-41.1398,145.837
Rocky Cape,19,350,5.4,Braddon,Murchison,Circular Head,"19074 Bass Hwy, ROCKY CAPE 7321",Rocky Cape Public Hall,-40.905,145.487
Romaine,94,1250,7.5,Braddon,Montgomery,Burnie City,"cnr Roslyn Ave & Mount St, ROMAINE 7320",Romaine Park Primary School,-41.076634,145.899584
Rosebery,10,316,3.2,Braddon,Murchison,West Coast,"7 Morrisby St, ROSEBERY 7470",Rosebery District School,-41.781124,145.541541
Sassafras,2,217,0.9,Braddon,Mersey,Latrobe,"50 School Rd, SASSAFRAS 7307",Sassafras Primary School,-41.2871,146.503
Shorewell Park,81,876,9.2,Braddon,Murchison,Burnie City,"41-43 Mooreville Rd, SHOREWELL PARK 7320",Hellyer College,-41.06128,145.88153
Sisters Beach,42,248,16.9,Braddon,Murchison,Waratah-Wynyard,"34 Honeysuckle Ave, SISTERS BEACH 7321",Sisters Beach Fire Station,-40.9181,145.565
Sisters Creek,17,115,14.8,Braddon,Murchison,Waratah-Wynyard,"29 Myalla Rd, SISTERS CREEK 7325",Myalla Community Centre,-40.964904,145.572884
Smithton,62,1884,3.3,Braddon,Murchison,Circular Head,"27-43 Grant St, SMITHTON 7330",Smithton Primary School,-40.849445,145.116059
Somerset,89,1456,6.1,Braddon,Murchison,Waratah-Wynyard,"30A Beaufort St, SOMERSET 7322",Somerset Primary School,-41.038182,145.819344
South Riana,5,177,2.8,Braddon,Montgomery,Central Coast,"776 South Riana Rd, SOUTH RIANA 7316",South Riana Hall,-41.2345,145.977
Sprent,16,244,6.6,Braddon,Montgomery,Central Coast,"1245 Castra Rd, SPRENT 7315",Sprent Primary School,-41.2627,146.16
