PollingPlaceNm,DivisionNm,GreensVotes_2019,TotalVotes_2019,GreensPercentage_2019,SwingPercentage,PremisesNm_2019,PremisesAddress_2019,Latitude,Longitude,LegCo,LocalCouncil
Romaine,Braddon,45,1277,3.5,0.3,Romaine Park Primary School,"cnr Roslyn Ave & Mount St, ROMAINE 7320",-41.076634,145.899584,Montgomery,Burnie City
Rosebery,Braddon,12,329,3.6,1.2,Rosebery Neighbourhood Centre,"8 Agnes St, ROSEBERY 7470",-41.779832,145.539126,Murchison,West Coast
Sassafras,Braddon,3,242,1.2,-2.8,Sassafras Primary School,"50 School Rd, SASSAFRAS 7307",-41.2871,146.503,Mersey,Latrobe
Savage River,Braddon,0,68,0.0,0.0,Grange Resources Lodge,"45 Corinna Rd, SAVAGE RIVER 7321",-41.5119,145.219,Murchison,Waratah-Wynyard
Shorewell Park,Braddon,30,799,3.8,-1.6,Hellyer College,"41-43 Mooreville Rd, SHOREWELL PARK 7320",-41.06128,145.88153,Murchison,Burnie City
Sisters Beach,Braddon,23,198,11.6,-2.6,Sisters Beach Fire Station,"34 Honeysuckle Ave, SISTERS BEACH 7321",-40.9181,145.565,Murchison,Waratah-Wynyard
Sisters Creek,Braddon,12,115,10.4,0.5,Myalla Community Centre,"29 Myalla Rd, SISTERS CREEK 7325",-40.964904,145.572884,Murchison,Waratah-Wynyard
Smithton,Braddon,31,1756,1.8,-0.4,Smithton Primary School,"27-43 Grant St, SMITHTON 7330",-40.849445,145.116059,Murchison,Circular Head
Somerset,Braddon,52,1456,3.6,-1.2,Somerset Primary School,"30A Beaufort St, SOMERSET 7322",-41.038182,145.819344,Murchison,Waratah-Wynyard
South Riana,Braddon,11,169,6.5,-1.6,South Riana Hall,"776 South Riana Rd, SOUTH RIANA 7316",-41.2345,145.977,Montgomery,Central Coast
Sprent,Braddon,16,196,8.2,0.2,Sprent Primary School,"1245 Castra Rd, SPRENT 7315",-41.2627,146.16,Montgomery,Central Coast
Spreyton,Braddon,40,1326,3.0,-0.5,Spreyton Primary School,"1 Mersey Main Rd, SPREYTON 7310",-41.21207,146.34434,Mersey,Devonport City
Stanley,Braddon,27,403,6.7,1.0,Stanley Primary School,"28 Pearse St, STANLEY 7331",-40.7603,145.291,Murchison,Circular Head
Stowport,Braddon,14,223,6.3,2.0,Stowport Public Hall,"580 Stowport Rd, STOWPORT 7321",-41.1124,145.929,Montgomery,Burnie City
Strahan,Braddon,17,331,5.1,2.5,Strahan Primary School,"2 Bay St, STRAHAN 7468",-42.154043,145.320404,Murchison,West Coast
Sulphur Creek,Braddon,36,604,6.0,0.8,Sulphur Creek Hall,"310 Preservation Dr, SULPHUR CREEK 7316",-41.0935,146.026,Montgomery,Central Coast
Tullah,Braddon,2,103,1.9,-0.1,Tullah Community Hall,"24 Farrell St, TULLAH 7321",-41.737568,145.616076,Murchison,West Coast
Turners Beach,Braddon,59,875,6.7,-0.1,Turners Beach Hall,"Henry St, TURNERS BEACH 7315",-41.1589,146.244,Montgomery,Central Coast
Ulverstone Central,Braddon,54,977,5.5,-0.5,Ulverstone Senior Citizens Club,"16 King Edward St, ULVERSTONE 7315",-41.15507,146.171931,Montgomery,Central Coast
Ulverstone East,Braddon,25,772,3.2,-1.0,East Ulverstone Primary School,"18 Crawford St, ULVERSTONE 7315",-41.1546,146.192,Montgomery,Central Coast
Ulverstone South,Braddon,83,1678,4.9,-0.3,Ulverstone High School,"38 Leven St, ULVERSTONE 7315",-41.16201,146.17091,Montgomery,Central Coast
Waratah,Braddon,6,126,4.8,1.6,Waratah Municipal Chambers,"12-14 Smith St, WARATAH 7321",-41.44422,145.5313,Murchison,Waratah-Wynyard
Wesley Vale,Braddon,27,323,8.4,-0.4,Andrews Creek Primary School,"20 Westwind Dr, WESLEY VALE 7307",-41.188828,146.456401,Mersey,Latrobe
West Ulverstone,Braddon,68,1252,5.4,1.4,West Ulverstone Primary School,"34 Maud St, WEST ULVERSTONE 7315",-41.1482,146.16,Montgomery,Central Coast
Wivenhoe,Braddon,20,479,4.2,0.0,Leighland Christian School (Wivenhoe Campus),"Stowport Rd, WIVENHOE 7320",-41.06904,145.93609,Montgomery,Burnie City
Wynyard Central,Braddon,81,1929,4.2,-0.9,Wynyard Senior Citizens Club Rooms,"28 Jackson St, WYNYARD 7325",-40.9909,145.729,Murchison,Waratah-Wynyard
Wynyard West,Braddon,42,1154,3.6,-3.3,Wynyard High School,"30 Church St, WYNYARD 7325",-40.9867,145.717,Murchison,Waratah-Wynyard
Yolla,Braddon,19,345,5.5,-0.1,Yolla District High School,"School Lane, YOLLA 7325",-41.1237,145.719,Murchison,Waratah-Wynyard
Zeehan,Braddon,17,345,4.9,3.4,Zeehan Primary School,"7 Belstead St, ZEEHAN 7469",-41.888,145.34,Murchison,West Coast
Beaconsfield,Bass,68,995,6.8,-0.4,Beaconsfield Senior Citizens' Hall,"121 Weld St, BEACONSFIELD 7270",-41.2024,146.819,Rosevears,West Tamar
Beauty Point,Bass,35,567,6.2,0.0,Tamar Yacht Club,"1 Wharf Rd, BEAUTY POINT 7270",-41.157461,146.822319,Rosevears,West Tamar
Branxholm,Bass,14,196,7.1,-3.0,Branxholm Community Hall,"Stoke St, BRANXHOLM 7261",-41.165606,147.73648,McIntyre,Dorset
Bridport,Bass,51,1027,5.0,-1.0,Bridport Hall,"Main St, BRIDPORT 7262",-41.0026,147.395,McIntyre,Dorset
Derby,Bass,24,132,18.2,5.6,Derby Town Hall,"1 Krushka St, DERBY 7264",-41.14933,147.80236,McIntyre,Dorset
Dilston,Bass,81,621,13.0,-0.2,Dilston War Memorial Hall,"308 John Lees Dr, DILSTON 7252",-41.3368,147.082,Windermere,Launceston City
East Launceston,Bass,329,1522,21.6,0.5,East Launceston Primary School,"18 Mary St, EAST LAUNCESTON 7250",-41.44144,147.151372,Launceston,Launceston City
Exeter,Bass,135,1220,11.1,0.0,Exeter High School Gymnasium,"28 Glen Ard Mohr Rd, EXETER 7275",-41.2996,146.957,Rosevears,West Tamar
Five Ways,Bass,137,788,17.4,7.4,Kim Roe School of Dance,"89-91 Meredith Cres, SOUTH LAUNCESTON 7249",-41.457583,147.151925,Launceston,Launceston City
George Town,Bass,72,1639,4.4,-0.7,George Town Memorial Hall,"29-67 Macquarie St, GEORGE TOWN 7253",-41.106907,146.821868,Windermere,George Town
George Town South,Bass,33,923,3.6,-0.7,South George Town Primary School,"Franklin St, GEORGE TOWN 7253",-41.1124,146.833,Windermere,George Town
Gladstone,Bass,10,133,7.5,0.7,Gladstone Hall,"1 Carr St, GLADSTONE 7264",-40.9601,148.008,McIntyre,Dorset
Glengarry,Bass,22,296,7.4,-1.3,Glengarry Catholic Church,"33 Glengarry Rd, GLENGARRY 7275",-41.335033,146.870343,Rosevears,West Tamar
Gravelly Beach,Bass,82,504,16.3,-3.0,Edinburgh Park Equestrian Centre,"401 Gravelly Beach Rd, GRAVELLY BEACH 7276",-41.2939,146.973,Rosevears,West Tamar
Hillwood,Bass,43,376,11.4,2.1,Hillwood Memorial Hall,"280 Hillwood Jetty Rd, HILLWOOD 7252",-41.236252,146.974945,Windermere,George Town
Inveresk,Bass,142,1049,13.5,0.6,Invermay Primary School,"35-43 Mayne St, INVERMAY 7248",-41.421676,147.131233,Windermere,Launceston City
Invermay,Bass,131,981,13.4,1.9,St Finn Barr's School,"247 Invermay Rd, INVERMAY 7248",-41.4157,147.132,Windermere,Launceston City
Karoola,Bass,29,328,8.8,-2.5,Karoola Hall,"1126 Pipers River Rd, KAROOLA 7267",-41.2539,147.148,Windermere,Launceston City
Kelso,Bass,32,311,10.3,0.5,Kelso Community Centre,"Foreshore Rd, KELSO 7270",-41.1037,146.794,Rosevears,West Tamar
Kings Meadows,Bass,143,1948,7.3,-0.2,YMCA Centre,"8A Blaydon St, KINGS MEADOWS 7249",-41.4677,147.16,Launceston,Launceston City
