PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Sulphur Creek,36,629,5.7,Braddon,Montgomery,Central Coast,"310 Preservation Dr, SULPHUR CREEK 7316",Sulphur Creek Hall,-41.093500,146.026000
Turners Beach,59,910,6.5,Braddon,Montgomery,Central Coast,"Henry St, TURNERS BEACH 7315",Turners Beach Hall,-41.158900,146.244000
Ulverstone Central,54,1012,5.3,Braddon,Montgomery,Central Coast,"16 King Edward St, ULVERSTONE 7315",Ulverstone Senior Citizens Club,-41.155070,146.171931
Ulverstone East,25,794,3.1,Braddon,Montgomery,Central Coast,"18 Crawford St, ULVERSTONE 7315",East Ulverstone Primary School,-41.154600,146.192000
Ulverstone South,83,1786,4.6,Braddon,Montgomery,Central Coast,"38 Leven St, ULVERSTONE 7315",Ulverstone High School,-41.162010,146.170910
West Ulverstone,68,1314,5.2,Braddon,Montgomery,Central Coast,"34 Maud St, WEST ULVERSTONE 7315",West Ulverstone Primary School,-41.148200,146.160000
Devonport West,38,1193,3.2,Braddon,Mersey,Devonport City,"20-36 Valley Rd, DEVONPORT 7310",TasTafe,-41.186400,146.345000
Wynyard West,42,1216,3.5,Braddon,Murchison,Waratah-Wynyard,"30 Church St, WYNYARD 7325",Wynyard High School,-40.986700,145.717000
Wivenhoe,20,510,3.9,Braddon,Montgomery,Burnie City,"Stowport Rd, WIVENHOE 7320",Leighland Christian School (Wivenhoe Campus),-41.069040,145.936090
Wynyard Central,81,2028,4.0,Braddon,Murchison,Waratah-Wynyard,"28 Jackson St, WYNYARD 7325",Wynyard Senior Citizens Club Rooms,-40.990900,145.729000
Yolla,19,355,5.4,Braddon,Murchison,Waratah-Wynyard,"School Lane, YOLLA 7325",Yolla District High School,-41.123700,145.719000
Latrobe,54,1530,3.5,Braddon,Mersey,Latrobe,"170 Gilbert St, LATROBE 7307",Latrobe Memorial Hall,-41.236500,146.415000
Moriarty,16,232,6.9,Braddon,Mersey,Latrobe,"1 Bonneys Lane, MORIARTY 7307",Moriarty Hall,-41.217206,146.481308
Port Sorell,125,2245,5.6,Braddon,Mersey,Latrobe,"cnr Meredith St & Darling St, PORT SORELL 7307",Port Sorell Memorial Hall,-41.165409,146.555718
Queenstown,21,588,3.6,Braddon,Murchison,West Coast,"53 Orr St, QUEENSTOWN 7467",Queenstown Memorial Hall,-42.080200,145.558000
Rosebery,12,349,3.4,Braddon,Murchison,West Coast,"8 Agnes St, ROSEBERY 7470",Rosebery Neighbourhood Centre,-41.779832,145.539126
Sassafras,3,250,1.2,Braddon,Mersey,Latrobe,"50 School Rd, SASSAFRAS 7307",Sassafras Primary School,-41.287100,146.503000
Savage River,0,72,0.0,Braddon,Murchison,Waratah-Wynyard,"45 Corinna Rd, SAVAGE RIVER 7321",Grange Resources Lodge,-41.511900,145.219000
Strahan,17,361,4.7,Braddon,Murchison,West Coast,"2 Bay St, STRAHAN 7468",Strahan Primary School,-42.154043,145.320404
Tullah,2,109,1.8,Braddon,Murchison,West Coast,"24 Farrell St, TULLAH 7321",Tullah Community Hall,-41.737568,145.616076
Waratah,6,127,4.7,Braddon,Murchison,Waratah-Wynyard,"12-14 Smith St, WARATAH 7321",Waratah Municipal Chambers,-41.444220,145.531300
Wesley Vale,27,328,8.2,Braddon,Mersey,Latrobe,"20 Westwind Dr, WESLEY VALE 7307",Andrews Creek Primary School,-41.188828,146.456401
Zeehan,17,363,4.7,Braddon,Murchison,West Coast,"7 Belstead St, ZEEHAN 7469",Zeehan Primary School,-41.888000,145.340000
Devonport South,67,1261,5.3,Braddon,Mersey,Devonport City,"41-43 Middle Rd, DEVONPORT 7310",Reece High School,-41.189300,146.349000
Romaine,45,1317,3.4,Braddon,Montgomery,Burnie City,"cnr Roslyn Ave & Mount St, ROMAINE 7320",Romaine Park Primary School,-41.076634,145.899584
Latrobe South,34,1014,3.4,Braddon,Mersey,Latrobe,"23 Lewis St, LATROBE 7307",Latrobe Primary School,-41.239619,146.416013
Devonport,23,689,3.3,Braddon,Mersey,Devonport City,"11 Addison St, DEVONPORT 7310",Addison Street Scout Hall,-41.173700,146.344000
