PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Austins Ferry,82,1673,4.9,Clark,Derwent,Glenorchy City,"195 Main Rd, AUSTINS FERRY 7011",St Virgil's College,-42.774487,147.251105
Battery Point,366,1326,27.6,Clark,Hobart,Hobart City,"28 Cromwell St, BATTERY POINT 7004",St George's Church Hall,-42.891559,147.332663
Cascades,455,1078,42.2,Clark,Hobart,Hobart City,"101 Cascade Rd, SOUTH HOBART 7004",Badminton Association Centre,-42.895023,147.299845
Chigwell,74,1338,5.5,Clark,Derwent,Glenorchy City,"10 Bucaan St, CHIGWELL 7011",Chigwell Barn,-42.811194,147.241655
Claremont,140,2688,5.2,Clark,Derwent,Glenorchy City,"3 Boxhill Rd, CLAREMONT 7011",Claremont Girl Guides Hall,-42.792307,147.255999
Collinsvale,61,379,16.1,Clark,Elwick,Glenorchy City,"508 Collinsvale Rd, COLLINSVALE 7012",Collinsvale Primary School,-42.836700,147.198000
Dynnyrne,354,1292,27.4,Clark,Nelson,Hobart City,"Randall St, SANDY BAY 7005",Princes Street Primary School,-42.898400,147.319000
Fern Tree,194,472,41.1,Clark,Hobart,Hobart City,"8 Stephenson Pl, FERN TREE 7054",Fern Tree Community Centre,-42.922300,147.262000
Glenorchy,248,3377,7.3,Clark,Elwick,Glenorchy City,"Kensington St, GLENORCHY 7010",Glenorchy Primary School,-42.832391,147.266343
Glenorchy Central,117,1553,7.5,Clark,Elwick,Glenorchy City,"8A Constance Ave, GLENORCHY 7010",YMCA of Hobart,-42.832197,147.278997
Goodwood,52,581,9.0,Clark,Elwick,Glenorchy City,"Elmsleigh Rd, MOONAH 7009",Goodwood Primary School,-42.831689,147.293744
Hobart City,317,1065,29.8,Clark,Hobart,Hobart City,"91 Collins St, HOBART 7000",Harris Scarfe Building,-42.882502,147.327695
Kingston (Denison),152,717,21.2,Clark,Nelson,Kingborough,"15 Channel Hwy, KINGSTON 7050",Kingborough Council,-42.975418,147.311650
Lenah Valley,413,2154,19.2,Clark,Elwick,Hobart City,"11 Creek Rd, LENAH VALLEY 7008",Lenah Valley Primary School,-42.861200,147.290000
Lower Sandy Bay,223,1655,13.5,Clark,Nelson,Hobart City,"520 Sandy Bay Rd, SANDY BAY 7005",St Stephen's Church Hall,-42.908700,147.346000
Lutana,118,980,12.0,Clark,Elwick,Glenorchy City,"27 Ashbolt Cres, LUTANA 7009",St Anne's Anglican Church Hall,-42.844046,147.311333
Merton,142,1706,8.3,Clark,Elwick,Glenorchy City,"148 Tolosa St, GLENORCHY 7010",Tolosa Hall,-42.845500,147.265000
Moonah,237,1828,13.0,Clark,Elwick,Glenorchy City,"65 Hopkins St, MOONAH 7009",Old Arts Centre,-42.846137,147.295591
Moonah East,204,1416,14.4,Clark,Elwick,Glenorchy City,"35 Bowen Rd, MOONAH 7009",Bowen Road Primary School,-42.847400,147.308000
Moonah North,200,1563,12.8,Clark,Elwick,Glenorchy City,"40 Derwent Park Rd, MOONAH 7009",Moonah Primary School,-42.838000,147.296000
Mount Nelson,330,1324,24.9,Clark,Nelson,Hobart City,"388 Nelson Rd, MOUNT NELSON 7007",Mt Nelson Primary School,-42.913600,147.323000
Mount Stuart,270,1002,26.9,Clark,Hobart,Hobart City,"106 Gillon Cres, MOUNT STUART 7000",Mt Stuart Primary School,-42.875000,147.299000
New Town,354,1399,25.3,Clark,Hobart,Hobart City,"22-24 New Town Rd, NEW TOWN 7008",Polish Association,-42.867345,147.311352
New Town West,411,1980,20.8,Clark,Hobart,Hobart City,"67 Clare St, NEW TOWN 7008",Sacred Heart College,-42.861500,147.304000
North Hobart Central,405,1376,29.4,Clark,Hobart,Hobart City,"2 Swan St, NORTH HOBART 7000",Hobart North Uniting Church,-42.872800,147.314000
Roseneath,33,797,4.1,Clark,Derwent,Glenorchy City,"13 Brodie St, CLAREMONT 7011",Austins Ferry Primary School,-42.786180,147.240549
Sandfly (Denison),59,286,20.6,Clark,Huon,Kingborough,"811 Sandfly Rd, SANDFLY 7150",Sandfly Hall,-42.985000,147.196000
Sandy Bay,273,1436,19.0,Clark,Nelson,Hobart City,"43 Grosvenor St, SANDY BAY 7005",Wellspring Anglican Church Hall,-42.899200,147.327000
Sandy Bay Beach,75,706,10.6,Clark,Nelson,Hobart City,"1 Southerwood Dr, SANDY BAY 7005",Harold Gregg Centre,-42.913800,147.355000
South Hobart,462,1353,34.1,Clark,Hobart,Hobart City,"34 Anglesea St, SOUTH HOBART 7004",St Francis Xavier's Church Hall,-42.894900,147.312000
Taroona,518,1476,35.1,Clark,Nelson,Hobart City,"104 Channel Hwy, TAROONA 7053",Taroona Primary School,-42.943302,147.352737
Waimea Heights,127,846,15.0,Clark,Nelson,Hobart City,"12 Balfour Ct, SANDY BAY 7005",Waimea Heights Primary School,-42.909011,147.336740
West Hobart,227,831,27.3,Clark,Hobart,Hobart City,"164 Harrington St, HOBART 7000",St Mary's College,-42.881216,147.320448
West Hobart Central,592,1884,31.4,Clark,Hobart,Hobart City,"15 Gourlay St, WEST HOBART 7000",Lansdowne Crescent Primary School,-42.881900,147.309000
West Hobart South,382,1052,36.3,Clark,Hobart,Hobart City,"Forest Rd, WEST HOBART 7000",Goulburn Street Primary School,-42.887800,147.317000
Windermere,51,1205,4.2,Clark,Derwent,Glenorchy City,"2 Cadbury Rd, CLAREMONT 7011",Windermere Primary School,-42.800130,147.259102
