PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Sidmouth,57,414,13.8,Bass,Rosevears,West Tamar,"255 Batman Hwy, SIDMOUTH 7270",Sidmouth Community Centre,-41.2221,146.887
South Launceston East,158,886,17.8,Bass,Rosevears,Launceston City,"2-6 Hobart Rd, SOUTH LAUNCESTON 7249",St Marks Hall,-41.459329,147.153912
South Launceston West,151,614,24.6,Bass,Rosevears,Launceston City,"50 Glen Dhu St, SOUTH LAUNCESTON 7249",Launceston Conference Centre,-41.455679,147.14132
St Leonards,85,949,9.0,Bass,Windermere,Launceston City,"330-342 St Leonards Rd, ST LEONARDS 7250",St Leonards Primary School,-41.4597,147.2
Summerhill (Bass),221,1916,11.5,Bass,Rosevears,Launceston City,"82-84 Stanley St, SUMMERHILL 7250",Summerdale Community Centre,-41.4683,147.12971
Trevallyn,186,1326,14.0,Bass,Rosevears,West Tamar,"34 Pitt Ave, TREVALLYN 7250",Trevallyn Life Church,-41.4301,147.106
Trevallyn Central,396,1270,31.2,Bass,Rosevears,West Tamar,"55 Gorge Rd, TREVALLYN 7250",Trevallyn Primary School,-41.4381,147.115
Waverley,81,844,9.6,Bass,Windermere,Launceston City,"6 Naroo St, WAVERLEY 7250",Waverley School Hall,-41.4321,147.19
West Launceston,345,1216,28.4,Bass,Rosevears,Launceston City,"24-38 Basin Rd, WEST LAUNCESTON 7250",West Launceston Primary School,-41.4492,147.129
Weymouth,20,170,11.8,Bass,Windermere,George Town,"18 Major St, WEYMOUTH 7252",Weymouth Hall,-41.0153,147.154
Whitemark,72,338,21.3,Bass,McIntyre,Flinders,"9 Patrick St, WHITEMARK 7255",Flinders Arts & Entertainment Centre (FAEC),-40.122089,148.016963
Winnaleah,22,165,13.3,Bass,McIntyre,Dorset,"20 Main St, WINNALEAH 7265",Winnaleah Memorial Hall,-41.0979,147.824
Youngtown,154,1511,10.2,Bass,Launceston,Launceston City,"Victoria St, YOUNGTOWN 7249",Youngtown Primary School,-41.4823,147.164
Acton,81,1065,7.6,Braddon,Montgomery,Burnie City,"36 Thorne St, ACTON 7320",Burnie Child and Family Centre,-41.07264,145.89229
