PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Abbotsham,12,189,6.3,Braddon,Montgomery,Central Coast,"590 Castra Rd, ABBOTSHAM 7315",Abbotsham Hall,-41.213500,146.174000
Acton,47,1448,3.2,Braddon,Montgomery,Burnie City,"36 Thorne St, ACTON 7320",Burnie Child and Family Centre,-41.072640,145.892290
Heybridge,15,250,6.0,Braddon,Montgomery,Central Coast,"Sice Ave, HEYBRIDGE 7316",Blythe Heads Hall,-41.075100,145.986000
Boat Harbour,61,530,11.5,Braddon,Murchison,Waratah-Wynyard,"17386 Bass Hwy, BOAT HARBOUR 7321",Boat Harbour Primary School,-40.945200,145.636000
Burnie,90,1451,6.2,Braddon,Murchison,Burnie City,"80 Wilson St, BURNIE 7320",Burnie City Council Offices,-41.053200,145.906000
Calder,18,179,10.1,Braddon,Murchison,Waratah-Wynyard,"1320 Calder Rd, CALDER 7325",Calder Hall,-41.068500,145.631000
Cooee,53,982,5.4,Braddon,Murchison,Burnie City,"30 Fidler St, COOEE 7320",Cooee Primary School,-41.040760,145.868010
Currie,40,720,5.6,Braddon,Murchison,King Island,"10 George St, CURRIE 7256",Currie Town Hall,-39.929800,143.855000
Devonport Central,128,1965,6.5,Braddon,Mersey,Devonport City,"Fenton St, DEVONPORT 7310",St Johns Parish Hall,-41.178994,146.358274
East Devonport,70,2269,3.1,Braddon,Mersey,Devonport City,"19-21 Thomas St, EAST DEVONPORT 7310",East Devonport Primary School,-41.177900,146.372000
Don,58,1232,4.7,Braddon,Mersey,Devonport City,"17 Forth Rd, DON 7310",Don Memorial Hall,-41.182700,146.318000
Edith Creek,6,163,3.7,Braddon,Murchison,Circular Head,"1282 Trowutta Rd, EDITH CREEK 7330",Edith Creek Primary School,-40.970500,145.092000
Elliott,28,335,8.4,Braddon,Murchison,Waratah-Wynyard,"829 Murchison Hwy, ELLIOTT 7325",Elliott Community Centre,-41.092200,145.782000
Forest,8,447,1.8,Braddon,Murchison,Circular Head,"422 Mengha Rd, FOREST 7330",Forest Primary School,-40.848600,145.248000
Forth,62,712,8.7,Braddon,Montgomery,Central Coast,"45 Wilmot Rd, FORTH 7310",Forth Primary School,-41.192921,146.248975
Gawler,21,479,4.4,Braddon,Montgomery,Central Coast,"15 Top Gawler Rd, GAWLER 7315",Gawler Hall,-41.185200,146.160000
Grassy,3,107,2.8,Braddon,Murchison,King Island,"10 Grassy Rd, GRASSY 7256",Grassy Club,-40.048400,144.058000
Havenview,14,544,2.6,Braddon,Montgomery,Burnie City,"15 Marriott St, HAVENVIEW 7320",Havenview Primary School,-41.083600,145.911000
Highclere,4,178,2.2,Braddon,Montgomery,Burnie City,"1558 Ridgley Hwy, HIGHCLERE 7321",Highclere Community Centre,-41.190400,145.806000
Irishtown,3,450,0.7,Braddon,Murchison,Circular Head,"604 Irishtown Rd, IRISHTOWN 7330",Irishtown Lodge Arthur Temple,-40.913300,145.145000
Shorewell Park,55,1037,5.3,Braddon,Murchison,Burnie City,"41-43 Mooreville Rd, SHOREWELL PARK 7320",Hellyer College,-41.061280,145.881530
Marrawah,8,201,4.0,Braddon,Murchison,Circular Head,"844 Comeback Rd, MARRAWAH 7330",Marrawah Memorial Hall,-40.922900,144.697000
Melrose,26,235,11.1,Braddon,Mersey,Devonport City,"673 Melrose Rd, MELROSE 7310",Melrose Memorial Hall,-41.241700,146.289000
Montello,67,1282,5.2,Braddon,Murchison,Burnie City,"83 Bird St, MONTELLO 7320",Montello Primary School,-41.060500,145.898000
Moorleah,12,165,7.3,Braddon,Murchison,Waratah-Wynyard,"720 Preolenna Rd, MOORLEAH 7321",Moorleah Community Centre,-40.981000,145.616000
Natone,11,156,7.1,Braddon,Montgomery,Burnie City,"100 Upper Natone Rd, NATONE 7321",Natone Primary School,-41.170100,145.922000
Devonport North West,141,2802,5.0,Braddon,Mersey,Devonport City,"60 Nixon St, DEVONPORT 7310",Nixon Street Primary School,-41.172800,146.337000
North Motton,31,332,9.3,Braddon,Montgomery,Central Coast,"578 Preston Rd, NORTH MOTTON 7315",North Motton Hall,-41.206370,146.109370
Penguin,142,2058,6.9,Braddon,Montgomery,Central Coast,"50 Main Rd, PENGUIN 7316",Penguin Uniting Church Hall,-41.112000,146.071000
Preston,9,133,6.8,Braddon,Montgomery,Central Coast,"1833 Preston Rd, PRESTON 7315",Preston Community Centre,-41.297200,146.062000
Riana,8,206,3.9,Braddon,Montgomery,Central Coast,"1221 Pine Rd, RIANA 7316",Riana Community Centre,-41.201500,145.999000
Ridgley,21,631,3.3,Braddon,Montgomery,Burnie City,"904 Ridgley Hwy, RIDGLEY 7321",Ridgley Primary School,-41.139800,145.837000
Rocky Cape,17,420,4.0,Braddon,Murchison,Circular Head,"19074 Bass Hwy, ROCKY CAPE 7321",Rocky Cape Public Hall,-40.905000,145.487000
Sisters Beach,26,187,13.9,Braddon,Murchison,Waratah-Wynyard,"34 Honeysuckle Ave, SISTERS BEACH 7321",Sisters Beach Fire Station,-40.918100,145.565000
Sisters Creek,18,190,9.5,Braddon,Murchison,Waratah-Wynyard,"17894 Bass Hwy, SISTERS CREEK 7325",Sisters Creek Community Hall,-40.960576,145.585605
Smithton,44,2123,2.1,Braddon,Murchison,Circular Head,"45 Goldie St, SMITHTON 7330",Smithton Uniting Church Hall,-40.842686,145.126781
Somerset,84,1824,4.6,Braddon,Murchison,Waratah-Wynyard,"30A Beaufort St, SOMERSET 7322",Somerset Primary School,-41.038182,145.819344
South Riana,15,193,7.8,Braddon,Montgomery,Central Coast,"776 South Riana Rd, SOUTH RIANA 7316",South Riana Hall,-41.234500,145.977000
Sprent,16,210,7.6,Braddon,Montgomery,Central Coast,"1245 Castra Rd, SPRENT 7315",Sprent Primary School,-41.262700,146.160000
Spreyton,49,1470,3.3,Braddon,Mersey,Devonport City,"1 Mersey Main Rd, SPREYTON 7310",Spreyton Primary School,-41.212070,146.344340
Stanley,21,379,5.5,Braddon,Murchison,Circular Head,"28 Pearse St, STANLEY 7331",Stanley Primary School,-40.760300,145.291000
Stowport,12,289,4.2,Braddon,Montgomery,Burnie City,"580 Stowport Rd, STOWPORT 7321",Stowport Public Hall,-41.112400,145.929000
Sulphur Creek,29,574,5.1,Braddon,Montgomery,Central Coast,"310 Preservation Dr, SULPHUR CREEK 7316",Sulphur Creek Hall,-41.093500,146.026000
Turners Beach,63,961,6.6,Braddon,Montgomery,Central Coast,"Henry St, TURNERS BEACH 7315",Turners Beach Hall,-41.158900,146.244000
Ulverstone Central,68,1170,5.8,Braddon,Montgomery,Central Coast,"16 King Edward St, ULVERSTONE 7315",Ulverstone Senior Citizens Club,-41.155070,146.171931
Ulverstone East,34,851,4.0,Braddon,Montgomery,Central Coast,"18 Crawford St, ULVERSTONE 7315",East Ulverstone Primary School,-41.154600,146.192000
