PollingPlaceNm,DivisionNm,GreensVotes_2025,TotalVotes_2025,GreensPercentage_2025,SwingPercentage,PremisesNm_2025,PremisesAddress_2025,Latitude,Longitude,LegCo,LocalCouncil
Beaconsfield,Bass,95,923,10.3,1.9,Beaconsfield Community Centre,"92 Weld St, BEACONSFIELD 7270",-41.202993,146.818608,Rosevears,West Tamar
Beauty Point,Bass,49,551,8.9,-1.2,Beauty Point Uniting Church Hall,"Beatty St, BEAUTY POINT 7270",-41.148983,146.817506,Rosevears,West Tamar
Branxholm,Bass,19,198,9.6,0.4,Branxholm Community Hall,"Stoke St, BRANXHOLM 7261",-41.165606,147.73648,McIntyre,Dorset
Bridport,Bass,67,970,6.9,0.1,Bridport Hall,"Main St, BRIDPORT 7262",-41.0026,147.395,McIntyre,Dorset
Derby,Bass,30,105,28.6,6.8,Derby Town Hall,"1 Krushka St, DERBY 7264",-41.14933,147.80236,McIntyre,Dorset
Dilston,Bass,98,603,16.3,2.2,Dilston War Memorial Hall,"308 John Lees Dr, DILSTON 7252",-41.3368,147.082,Windermere,Launceston City
East Launceston,Bass,372,1489,25.0,-2.5,East Launceston Primary School,"18 Mary St, EAST LAUNCESTON 7250",-41.44144,147.151372,Launceston,Launceston City
Exeter,Bass,152,1125,13.5,1.1,Exeter High School Gymnasium,"28 Glen Ard Mohr Rd, EXETER 7275",-41.2996,146.957,Rosevears,West Tamar
George Town,Bass,115,1427,8.1,1.5,George Town Memorial Hall,"29-67 Macquarie St, GEORGE TOWN 7253",-41.106907,146.821868,Windermere,George Town
George Town South,Bass,80,1047,7.6,2.7,South George Town Primary School,"Franklin St, GEORGE TOWN 7253",-41.1124,146.833,Windermere,George Town
Gladstone,Bass,10,150,6.7,1.4,Gladstone Hall,"1 Carr St, GLADSTONE 7264",-40.9601,148.008,McIntyre,Dorset
Glengarry,Bass,41,296,13.9,0.3,Glengarry Catholic Church,"33 Glengarry Rd, GLENGARRY 7275",-41.335033,146.870343,Rosevears,West Tamar
Gravelly Beach,Bass,127,605,21.0,3.9,Edinburgh Park Equestrian Centre,"401 Gravelly Beach Rd, GRAVELLY BEACH 7276",-41.2939,146.973,Rosevears,West Tamar
Hillwood,Bass,54,396,13.6,-0.1,Hillwood Memorial Hall,"280 Hillwood Jetty Rd, HILLWOOD 7252",-41.236252,146.974945,Windermere,George Town
Invermay Central,Bass,174,942,18.5,,Invermay Primary School,"35-43 Mayne St, INVERMAY 7248",-41.421676,147.131233,Windermere,Launceston City
Invermay South,Bass,216,977,22.1,,Tramsheds,"2-4 Invermay Rd, INVERMAY 7248",-41.428417,147.138618,Windermere,Launceston City
Karoola,Bass,25,276,9.1,2.2,Karoola Hall,"1126 Pipers River Rd, KAROOLA 7267",-41.2539,147.148,Windermere,Launceston City
Kelso,Bass,53,337,15.7,1.6,Kelso Community Centre,"Foreshore Rd, KELSO 7270",-41.1037,146.794,Rosevears,West Tamar
Kings Meadows,Bass,135,927,14.6,2.4,YMCA Centre,"8A Blaydon St, KINGS MEADOWS 7249",-41.4677,147.16,Launceston,Launceston City
Kings Meadows South,Bass,53,431,12.3,-1.6,Kings Meadows High School,"93 Guy St, KINGS MEADOWS 7249",-41.473804,147.159527,Launceston,Launceston City
Lady Barron,Bass,11,121,9.1,2.0,Lady Barron Memorial Hall,"Main St, LADY BARRON 7255",-40.211081,148.240354,McIntyre,Flinders
Launceston,Bass,87,318,27.4,-3.2,Sacred Heart Catholic Primary School,"227 York St, LAUNCESTON 7250",-41.442676,147.132606,Launceston,Launceston City
Launceston Central,Bass,325,1002,32.4,10.6,Pilgrim Hall,"36 Paterson St, LAUNCESTON 7250",-41.4366,147.137,Launceston,Launceston City
Lebrina,Bass,24,217,11.1,2.2,Lebrina Memorial Hall,"905 Golconda Rd, LEBRINA 7254",-41.1773,147.228,Windermere,Launceston City
Legana,Bass,246,2054,12.0,-1.4,Legana Memorial Hall,"43 Fulton St, LEGANA 7277",-41.3632,147.047,Rosevears,West Tamar
Legana Central,Bass,32,327,9.8,0.1,Legana Christian Church,"1 Gerrard Cl, LEGANA 7277",-41.370142,147.040425,Rosevears,West Tamar
Lilydale,Bass,111,673,16.5,0.5,Lilydale Memorial Hall,"1949 Main Rd, LILYDALE 7268",-41.2523,147.216,Windermere,Launceston City
Mowbray,Bass,81,614,13.2,-0.7,Mowbray Heights Primary School,"20-30 Cadorna St, MOWBRAY 7248",-41.402293,147.132862,Windermere,Launceston City
Newnham,Bass,177,1724,10.3,3.3,Launceston North Uniting Church,"128-132 George Town Rd, NEWNHAM 7248",-41.3873,147.128,Windermere,Launceston City
Newnham South,Bass,83,807,10.3,,North Launceston Bowls and Community Club,"1B George Town Rd, NEWNHAM 7248",-41.400285,147.128665,Windermere,Launceston City
Newstead,Bass,139,682,20.4,3.2,Newstead Christian School,"31-37 Tudor Ave, NEWSTEAD 7250",-41.438159,147.165009,Launceston,Launceston City
Norwood,Bass,238,1804,13.2,0.5,Norwood Primary School,"103 Norwood Ave, NORWOOD 7250",-41.4621,147.174,Launceston,Launceston City
Norwood North,Bass,86,561,15.3,-0.3,Queechy High School,"161 Penquite Rd, NORWOOD 7250",-41.451953,147.176075,Launceston,Launceston City
Nunamara,Bass,37,299,12.4,1.8,Nunamara Memorial Hall,"39461 Tasman Hwy, NUNAMARA 7259",-41.394,147.296,Windermere,Launceston City
Pipers River,Bass,18,232,7.8,-1.0,Pipers River Fire Station,"76 School Rd, PIPERS RIVER 7252",-41.1006,147.091,Windermere,George Town
Prospect (Bass),Bass,46,327,14.1,0.5,St Patrick's College,"282 Westbury Rd, PROSPECT 7250",-41.472,147.126,Rosevears,Launceston City
Prospect East (Bass),Bass,17,139,12.2,,Silverdome,"55 Oakden Rd, PROSPECT 7250",-41.475306,147.140172,Rosevears,Launceston City
Ravenswood,Bass,103,1323,7.8,2.3,Ravenswood Primary School,"27 Prossers Forest Rd, RAVENSWOOD 7250",-41.415955,147.179654,Windermere,Launceston City
Ringarooma,Bass,12,260,4.6,0.5,Ringarooma Hall,"4 Charles St, RINGAROOMA 7263",-41.24241,147.73568,McIntyre,Dorset
Riverside,Bass,208,1409,14.8,2.9,Riverside High School,"354 West Tamar Hwy, RIVERSIDE 7250",-41.40936,147.09861,Rosevears,West Tamar
Riverside North,Bass,59,481,12.3,2.2,Windsor Community Centre,"1 Windsor Dr, RIVERSIDE 7250",-41.403988,147.09333,Rosevears,West Tamar
Rocherlea,Bass,28,269,10.4,1.0,Life Without Barriers,"3 Archer St, ROCHERLEA 7248",-41.37452,147.129185,Windermere,Launceston City
Scottsdale,Bass,85,1346,6.3,1.0,Scottsdale High School,"20 Coplestone Rd, SCOTTSDALE 7260",-41.157117,147.508674,McIntyre,Dorset
Sidmouth,Bass,57,414,13.8,4.0,Sidmouth Community Centre,"255 Batman Hwy, SIDMOUTH 7270",-41.2221,146.887,Rosevears,West Tamar
South Launceston East,Bass,158,886,17.8,,St Marks Hall,"2-6 Hobart Rd, SOUTH LAUNCESTON 7249",-41.459329,147.153912,Rosevears,Launceston City
South Launceston West,Bass,151,614,24.6,,Launceston Conference Centre,"50 Glen Dhu St, SOUTH LAUNCESTON 7249",-41.455679,147.14132,Rosevears,Launceston City
St Leonards,Bass,85,949,9.0,0.8,St Leonards Primary School,"330-342 St Leonards Rd, ST LEONARDS 7250",-41.4597,147.2,Windermere,Launceston City
Summerhill (Bass),Bass,221,1916,11.5,1.0,Summerdale Community Centre,"82-84 Stanley St, SUMMERHILL 7250",-41.4683,147.12971,Rosevears,Launceston City
Trevallyn,Bass,186,1326,14.0,-2.0,Trevallyn Life Church,"34 Pitt Ave, TREVALLYN 7250",-41.4301,147.106,Rosevears,West Tamar
Trevallyn Central,Bass,396,1270,31.2,-0.3,Trevallyn Primary School,"55 Gorge Rd, TREVALLYN 7250",-41.4381,147.115,Rosevears,West Tamar
Waverley,Bass,81,844,9.6,2.2,Waverley School Hall,"6 Naroo St, WAVERLEY 7250",-41.4321,147.19,Windermere,Launceston City
West Launceston,Bass,345,1216,28.4,-0.8,West Launceston Primary School,"24-38 Basin Rd, WEST LAUNCESTON 7250",-41.4492,147.129,Rosevears,Launceston City
Weymouth,Bass,20,170,11.8,-3.1,Weymouth Hall,"18 Major St, WEYMOUTH 7252",-41.0153,147.154,Windermere,George Town
Whitemark,Bass,72,338,21.3,8.3,Flinders Arts & Entertainment Centre (FAEC),"9 Patrick St, WHITEMARK 7255",-40.122089,148.016963,McIntyre,Flinders
Winnaleah,Bass,22,165,13.3,5.9,Winnaleah Memorial Hall,"20 Main St, WINNALEAH 7265",-41.0979,147.824,McIntyre,Dorset
Youngtown,Bass,154,1511,10.2,2.4,Youngtown Primary School,"Victoria St, YOUNGTOWN 7249",-41.4823,147.164,Launceston,Launceston City
Acton,Braddon,81,1065,7.6,1.9,Burnie Child and Family Centre,"36 Thorne St, ACTON 7320",-41.07264,145.89229,Montgomery,Burnie City
Boat Harbour,Braddon,48,354,13.6,-3.3,Boat Harbour Primary School,"17386 Bass Hwy, BOAT HARBOUR 7321",-40.9452,145.636,Murchison,Waratah-Wynyard
Burnie,Braddon,96,636,15.1,4.5,Burnie Senior Citizens Club Association,"6 Jones St, BURNIE 7320",-41.052325,145.902449,Murchison,Burnie City
Calder,Braddon,19,197,9.6,0.8,Calder Hall,"1320 Calder Rd, CALDER 7325",-41.0685,145.631,Murchison,Waratah-Wynyard
Cooee,Braddon,72,692,10.4,3.5,Cooee Primary School,"30 Fidler St, COOEE 7320",-41.04076,145.86801,Murchison,Burnie City
Currie,Braddon,41,630,6.5,-2.6,Currie Town Hall,"10 George St, CURRIE 7256",-39.9298,143.855,Murchison,King Island
Devonport,Braddon,62,681,9.1,1.9,Addison Street Scout Hall,"11 Addison St, DEVONPORT 7310",-41.1737,146.344,Mersey,Devonport City
Devonport Central,Braddon,122,944,12.9,0.6,Devonport Primary School,"57A Stewart St, DEVONPORT 7310",-41.18004,146.358108,Mersey,Devonport City
