,PollingPlaceNm,DivisionNm,GreensVotes,TotalVotes,GreensPercentage,PremisesNm,PremisesAddress,Latitude,Longitude,LegCo,LocalCouncil
41,Smithton,Braddon,19,1542,1.2,Smithton Primary School,"27-43 Grant St, SMITHTON 7330",-40.849445,145.116059,Murchison,Circular Head
42,Somerset,Braddon,35,1591,2.2,Somerset Primary School,"30A Beaufort St, SOMERSET 7322",-41.038182,145.819344,Murchison,Waratah-Wynyard
43,South Riana,Braddon,8,186,4.3,South Riana Hall,"776 South Riana Rd, SOUTH RIANA 7316",-41.234500,145.977000,Montgomery,Central Coast
44,Sprent,Braddon,10,192,5.2,Sprent Primary School,"1245 Castra Rd, SPRENT 7315",-41.262700,146.160000,Montgomery,Central Coast
45,Spreyton,Braddon,44,1540,2.9,Spreyton Primary School,"1 Mersey Main Rd, SPREYTON 7310",-41.212070,146.344340,Mersey,Devonport City
46,Stanley,Braddon,22,395,5.6,Stanley Primary School,"28 Pearse St, STANLEY 7331",-40.760300,145.291000,Murchison,Circular Head
47,Stowport,Braddon,6,268,2.2,Stowport Public Hall,"580 Stowport Rd, STOWPORT 7321",-41.112400,145.929000,Montgomery,Burnie City
48,Strahan,Braddon,12,397,3.0,Strahan Primary School,"2 Bay St, STRAHAN 7468",-42.154043,145.320404,Murchison,West Coast
49,Sulphur Creek,Braddon,23,705,3.3,Sulphur Creek Hall,"310 Preservation Dr, SULPHUR CREEK 7316",-41.093500,146.026000,Montgomery,Central Coast
50,Tullah,Braddon,5,117,4.3,Tullah Community Hall,"24 Farrell St, TULLAH 7321",-41.737568,145.616076,Murchison,West Coast
51,Turners Beach,Braddon,31,896,3.5,Turners Beach Hall,"Henry St, TURNERS BEACH 7315",-41.158900,146.244000,Montgomery,Central Coast
52,Ulverstone Central,Braddon,44,1095,4.0,Ulverstone Senior Citizens Club,"16 King Edward St, ULVERSTONE 7315",-41.155070,146.171931,Montgomery,Central Coast
53,Ulverstone East,Braddon,23,948,2.4,East Ulverstone Primary School,"18 Crawford St, ULVERSTONE 7315",-41.154600,146.192000,Montgomery,Central Coast
54,Ulverstone South,Braddon,84,2328,3.6,Ulverstone High School,"38 Leven St, ULVERSTONE 7315",-41.162010,146.170910,Montgomery,Central Coast
55,Waratah,Braddon,3,142,2.1,Waratah Municipal Chambers,"12-14 Smith St, WARATAH 7321",-41.444220,145.531300,Murchison,Waratah-Wynyard
56,West Ulverstone,Braddon,49,1616,3.0,West Ulverstone Primary School,"34 Maud St, WEST ULVERSTONE 7315",-41.148200,146.160000,Montgomery,Central Coast
57,Wivenhoe,Braddon,14,525,2.7,Leighland Christian School (Wivenhoe Campus),"Stowport Rd, WIVENHOE 7320",-41.069040,145.936090,Montgomery,Burnie City
58,Wynyard Central,Braddon,70,2151,3.3,Wynyard Senior Citizens Club Rooms,"28 Jackson St, WYNYARD 7325",-40.990900,145.729000,Murchison,Waratah-Wynyard
59,Wynyard West,Braddon,43,1314,3.3,Wynyard High School,"30 Church St, WYNYARD 7325",-40.986700,145.717000,Murchison,Waratah-Wynyard
60,Yolla,Braddon,8,358,2.2,Yolla District High School,"School Lane, YOLLA 7325",-41.123700,145.719000,Murchison,Waratah-Wynyard
61,Zeehan,Braddon,11,352,3.1,Zeehan Primary School,"7 Belstead St, ZEEHAN 7469",-41.888000,145.340000,Murchison,West Coast
