PollingPlaceNm,GreensVotes,TotalVotes,GreensPercentage,DivisionNm,LegCo,LocalCouncil,PremisesAddress,PremisesNm,Latitude,Longitude
Avoca,7,164,4.3,Lyons,McIntyre,Northern Midlands,"26-30 St Pauls St, AVOCA 7213",Avoca Primary School,-41.782233,147.726685
Bagdad,39,787,5.0,Lyons,Prosser,Southern Midlands,"46 School Rd, BAGDAD 7030",Bagdad Primary School,-42.624900,147.223000
Beaconsfield,77,1117,6.9,Bass,Rosevears,West Tamar,"121 Weld St, BEACONSFIELD 7270",Beaconsfield Senior Citizens' Hall,-41.202400,146.819000
Beauty Point,37,622,5.9,Bass,Rosevears,West Tamar,"1 Wharf Rd, BEAUTY POINT 7270",Tamar Yacht Club,-41.157461,146.822319
Bicheno,74,619,12.0,Lyons,Prosser,Glamorgan-Spring Bay,"Sinclair St, BICHENO 7215",Bicheno Beachfront,-41.874363,148.299881
Bothwell,8,355,2.3,Lyons,Derwent,Central Highlands,"19 Alexander St, BOTHWELL 7030",Bothwell Council Chambers,-42.381900,147.006000
Bracknell,27,445,6.1,Lyons,McIntyre,Meander Valley,"Louisa St, BRACKNELL 7302",Bracknell War Memorial Hall,-41.651200,146.943000
Bridgewater,69,2000,3.4,Lyons,Derwent,Brighton,"25 Green Point Rd, BRIDGEWATER 7030",Brighton Civic Centre,-42.739164,147.243512
Brighton,66,2152,3.1,Lyons,Derwent,Brighton,"27 Downie St, BRIGHTON 7030",Brighton Primary School,-42.699100,147.258000
Broadmarsh,12,220,5.5,Lyons,Prosser,Southern Midlands,"1218 Elderslie Rd, BROADMARSH 7030",Broadmarsh Hall,-42.656700,147.126000
Campania,34,541,6.3,Lyons,Prosser,Southern Midlands,"45 Reeve St, CAMPANIA 7026",Campania Hall,-42.667109,147.421053
Campbell Town,15,704,2.1,Lyons,Prosser,Northern Midlands,"75 High St, CAMPBELL TOWN 7210",Campbell Town Town Hall,-41.926995,147.494438
Carrick,35,626,5.6,Lyons,McIntyre,Meander Valley,"29 Meander Valley Rd, CARRICK 7291",Carrick Public Hall,-41.530917,147.011259
Chudleigh,42,273,15.4,Lyons,McIntyre,Meander Valley,"54 Sorell St, CHUDLEIGH 7304",Chudleigh Memorial Hall,-41.557239,146.481292
Claude Road,39,346,11.3,Lyons,Montgomery,Kentish,"785 Claude Rd, CLAUDE ROAD 7306",Claude Road Fire Station,-41.434300,146.275000
Colebrook,7,213,3.3,Lyons,Prosser,Southern Midlands,"Colebrook Rd, COLEBROOK 7027",Colebrook Fire Station,-42.531409,147.361399
Coles Bay,34,141,24.1,Lyons,Prosser,Glamorgan-Spring Bay,"60 Harold St, COLES BAY 7215",Coles Bay Community Hall,-42.124900,148.286000
Copping,64,241,26.6,Lyons,Prosser,Sorell,"69 Allanby St, COPPING 7174",Copping Hall,-42.819982,147.802747
Cressy,20,667,3.0,Lyons,McIntyre,Northern Midlands,"67 Main St, CRESSY 7302",Cressy Community Hall,-41.685476,147.080745
Deloraine,201,1922,10.5,Lyons,McIntyre,Meander Valley,"East Barrack St, DELORAINE 7304",Deloraine High School Hall,-41.529170,146.661110
Dodges Ferry,324,2069,15.7,Lyons,Prosser,Sorell,"532 Old Forcett Rd, DODGES FERRY 7173",Dodges Ferry Community Recreation Centre,-42.848500,147.624000
Dromedary,36,365,9.9,Lyons,Derwent,Brighton,"14 Millvale Rd, DROMEDARY 7030",Dromedary (Millvale) Community Hall,-42.728200,147.179000
Dunalley,63,479,13.2,Lyons,Prosser,Sorell,"5 Franklin St, DUNALLEY 7177",Dunalley Community Hall,-42.887008,147.812638
Elizabeth Town,38,395,9.6,Lyons,McIntyre,Meander Valley,"5816 Bass Hwy, ELIZABETH TOWN 7304",Elizabeth Town Fire Station,-41.461865,146.563813
Epping,8,171,4.7,Lyons,McIntyre,Northern Midlands,"13515 Midland Hwy, EPPING FOREST 7211",Epping Forest Public Hall,-41.758076,147.349062
Evandale,97,1012,9.6,Lyons,McIntyre,Northern Midlands,"5-11 Barclay St, EVANDALE 7212",Evandale Primary School,-41.567200,147.247000
Exeter,127,1182,10.7,Bass,Rosevears,West Tamar,"28 Glen Ard Mohr Rd, EXETER 7275",Exeter High School Gymnasium,-41.299600,146.957000
Fingal,12,280,4.3,Lyons,McIntyre,Break O'Day,"29 Talbot St, FINGAL 7214",Fingal Activity Centre (former Council Chambers),-41.638074,147.970144
Forcett,40,590,6.8,Lyons,Prosser,Sorell,"699 Arthur Hwy, FORCETT 7173",Forcett Public Hall,-42.806209,147.631863
Gagebrook,38,971,3.9,Lyons,Derwent,Brighton,"4 Tottenham Rd, GAGEBROOK 7030",Gagebrook Primary School,-42.748800,147.276000
Glengarry,34,409,8.3,Bass,Rosevears,West Tamar,"Frankford Rd, GLENGARRY 7275",Glengarry Fire Station,-41.337856,146.872457
Glenora,11,322,3.4,Lyons,Derwent,Derwent Valley,"620 Gordon River Rd, GLENORA 7140",Glenora District High School,-42.696900,146.889000
Granton,33,657,5.0,Lyons,Derwent,Derwent Valley,"1 Lyell Hwy, GRANTON 7030",Granton Memorial Hall,-42.749800,147.224000
Gravelly Beach,95,500,19.0,Bass,Rosevears,West Tamar,"4 Tomah Pl, GRAVELLY BEACH 7276",Gravelly Beach Fire Station,-41.292486,146.969557
Hagley,17,280,6.1,Lyons,McIntyre,Meander Valley,"2508 Meander Valley Rd, HAGLEY 7292",Hagley Farm Primary School,-41.526508,146.903129
Kelso,21,223,9.4,Bass,Rosevears,West Tamar,"Foreshore Rd, KELSO 7270",Kelso Community Centre,-41.103700,146.794000
Kempton,15,343,4.4,Lyons,Prosser,Southern Midlands,"85 Main St, KEMPTON 7030",Kempton Council Chambers,-42.531821,147.200647
Lachlan,54,450,12.0,Lyons,Derwent,Derwent Valley,"511 Lachlan Rd, LACHLAN 7140",Lachlan Community Hall,-42.830400,147.043000
Legana (Lyons),87,895,9.7,Lyons,Rosevears,West Tamar,"43 Fulton St, LEGANA 7277",Legana Memorial Hall,-41.363200,147.047000
Longford,108,2162,5.0,Lyons,McIntyre,Northern Midlands,"53 Wellington St, LONGFORD 7301",Longford War Memorial Hall,-41.593140,147.121997
Lower Barrington,54,597,9.0,Lyons,Montgomery,Kentish,"1027 Sheffield Rd, LOWER BARRINGTON 7306",Lower Barrington Public Hall,-41.291000,146.291000
Magra,18,563,3.2,Lyons,Derwent,Derwent Valley,"377 Back River Rd, MAGRA 7140",Magra CWA Building,-42.755900,147.054000
Meander,40,252,15.9,Lyons,McIntyre,Meander Valley,"124 Main Rd, MEANDER 7304",Meander Hall,-41.651980,146.609993
Midway Point,99,1485,6.7,Lyons,Rumney,Sorell,"34 Raynors Rd, MIDWAY POINT 7171",Midway Point Community Hall,-42.799700,147.533000
Miena,5,134,3.7,Lyons,Derwent,Central Highlands,"55-57 Cider Gum Rd, MIENA 7030",Miena Community Centre,-41.993700,146.708000
