PollingPlaceNm,DivisionNm,GreensVotes_2022,TotalVotes_2022,GreensPercentage_2022,SwingPercentage,PremisesNm_2022,PremisesAddress_2022,Latitude,Longitude,LegCo,LocalCouncil
Beaconsfield,Bass,69,821,8.4,1.6,Beaconsfield Senior Citizens' Hall,"121 Weld St, BEACONSFIELD 7270",-41.2024,146.819,Rosevears,West Tamar
Beauty Point,Bass,55,542,10.1,3.9,Beauty Point Uniting Church Hall,"Beatty St, BEAUTY POINT 7270",-41.148983,146.817506,Rosevears,West Tamar
Branxholm,Bass,19,207,9.2,2.1,Branxholm Community Hall,"Stoke St, BRANXHOLM 7261",-41.165606,147.73648,McIntyre,Dorset
Bridport,Bass,60,884,6.8,1.8,Bridport Hall,"Main St, BRIDPORT 7262",-41.0026,147.395,McIntyre,Dorset
Derby,Bass,17,78,21.8,3.6,Derby Town Hall,"1 Krushka St, DERBY 7264",-41.14933,147.80236,McIntyre,Dorset
Dilston,Bass,86,609,14.1,1.1,Dilston War Memorial Hall,"308 John Lees Dr, DILSTON 7252",-41.3368,147.082,Windermere,Launceston City
East Launceston,Bass,272,989,27.5,5.9,Easst Launceston Pavillion,"16-28 Oxford St, EAST LAUNCESTON 7250",-41.441512,147.150987,Launceston,Launceston City
Exeter,Bass,129,1039,12.4,1.3,Exeter High School Gymnasium,"28 Glen Ard Mohr Rd, EXETER 7275",-41.2996,146.957,Rosevears,West Tamar
Five Ways,Bass,114,692,16.5,-0.9,St Mark's Church Hall,"6 Hobart Rd, SOUTH LAUNCESTON 7249",-41.45908,147.15402,Launceston,Launceston City
George Town,Bass,92,1394,6.6,2.2,George Town Memorial Hall,"29-67 Macquarie St, GEORGE TOWN 7253",-41.106907,146.821868,Windermere,George Town
George Town South,Bass,49,1009,4.9,1.3,South George Town Primary School,"Franklin St, GEORGE TOWN 7253",-41.1124,146.833,Windermere,George Town
Gladstone,Bass,9,169,5.3,-2.2,Gladstone Hall,"1 Carr St, GLADSTONE 7264",-40.9601,148.008,McIntyre,Dorset
Glengarry,Bass,37,273,13.6,6.2,Glengarry Catholic Church,"33 Glengarry Rd, GLENGARRY 7275",-41.335033,146.870343,Rosevears,West Tamar
Gravelly Beach,Bass,94,549,17.1,0.8,Edinburgh Park Equestrian Centre,"401 Gravelly Beach Rd, GRAVELLY BEACH 7276",-41.2939,146.973,Rosevears,West Tamar
Hillwood,Bass,55,402,13.7,2.3,Hillwood Memorial Hall,"280 Hillwood Jetty Rd, HILLWOOD 7252",-41.236252,146.974945,Windermere,George Town
Inveresk,Bass,159,815,19.5,6.0,Invermay Primary School,"35-43 Mayne St, INVERMAY 7248",-41.421676,147.131233,Windermere,Launceston City
Invermay,Bass,101,728,13.9,0.5,St Finn Barr's School,"247 Invermay Rd, INVERMAY 7248",-41.4157,147.132,Windermere,Launceston City
Karoola,Bass,21,303,6.9,-1.9,Karoola Hall,"1126 Pipers River Rd, KAROOLA 7267",-41.2539,147.148,Windermere,Launceston City
Kelso,Bass,44,312,14.1,3.8,Kelso Community Centre,"Foreshore Rd, KELSO 7270",-41.1037,146.794,Rosevears,West Tamar
Kings Meadows,Bass,161,1320,12.2,4.9,YMCA Centre,"8A Blaydon St, KINGS MEADOWS 7249",-41.4677,147.16,Launceston,Launceston City
Kings Meadows South,Bass,31,223,13.9,,Kings Meadows High School,"93 Guy St, KINGS MEADOWS 7249",-41.473804,147.159527,Launceston,Launceston City
Lady Barron,Bass,10,141,7.1,1.2,Lady Barron Memorial Hall,"Main St, LADY BARRON 7255",-40.211081,148.240354,McIntyre,Flinders
Launceston,Bass,216,705,30.6,7.1,Pilgrim Hall,"36 Paterson St, LAUNCESTON 7250",-41.4366,147.137,Launceston,Launceston City
Launceston Central,Bass,324,1486,21.8,2.2,,"59 Bathurst St, LAUNCESTON 7250",-41.442151,147.136819,Launceston,Launceston City
Lebrina,Bass,21,236,8.9,-6.8,Lebrina Memorial Hall,"905 Golconda Rd, LEBRINA 7254",-41.1773,147.228,Windermere,Launceston City
Legana,Bass,252,1876,13.4,3.8,Legana Memorial Hall,"43 Fulton St, LEGANA 7277",-41.3632,147.047,Rosevears,West Tamar
Legana Central,Bass,27,279,9.7,-2.6,Legana Christian Church,"1 Gerrard Cl, LEGANA 7277",-41.370142,147.040425,Rosevears,West Tamar
Lilydale,Bass,105,658,16.0,2.0,Lilydale Memorial Hall,"1949 Main Rd, LILYDALE 7268",-41.2523,147.216,Windermere,Launceston City
Mowbray,Bass,83,595,13.9,2.4,Launceston Church Grammar School,"36 Button St, MOWBRAY 7248",-41.40814,147.131059,Windermere,Launceston City
Newnham,Bass,112,1602,7.0,0.9,Launceston North Uniting Church,"128-132 George Town Rd, NEWNHAM 7248",-41.3873,147.128,Windermere,Launceston City
Newnham Alanvale,Bass,84,955,8.8,2.5,North Launceston Bowls and Community Club,"1B George Town Rd, NEWNHAM 7248",-41.400285,147.128665,Windermere,Launceston City
Newstead,Bass,258,1501,17.2,4.7,Police Citizens & Youth Club,"148 Abbott St, NEWSTEAD 7250",-41.4472,147.157,Launceston,Launceston City
Norwood,Bass,199,1569,12.7,3.6,Norwood Primary School,"103 Norwood Ave, NORWOOD 7250",-41.4621,147.174,Launceston,Launceston City
Norwood North,Bass,63,405,15.6,3.4,Queechy High School,"161 Penquite Rd, NORWOOD 7250",-41.451953,147.176075,Launceston,Launceston City
Nunamara,Bass,29,274,10.6,0.3,Nunamara Memorial Hall,"39461 Tasman Hwy, NUNAMARA 7259",-41.394,147.296,Windermere,Launceston City
Pipers River,Bass,20,228,8.8,5.3,Pipers River Fire Station,"76 School Rd, PIPERS RIVER 7252",-41.1006,147.091,Windermere,George Town
Prospect (Bass),Bass,53,390,13.6,4.3,St Patrick's College,"282 Westbury Rd, PROSPECT 7250",-41.472,147.126,Rosevears,Launceston City
Ravenswood,Bass,67,1225,5.5,1.3,Ravenswood Primary School,"27 Prossers Forest Rd, RAVENSWOOD 7250",-41.415955,147.179654,Windermere,Launceston City
Ringarooma,Bass,10,244,4.1,1.3,Ringarooma Hall,"4 Charles St, RINGAROOMA 7263",-41.24241,147.73568,McIntyre,Dorset
Riverside,Bass,149,1255,11.9,2.7,Riverside High School,"354 West Tamar Hwy, RIVERSIDE 7250",-41.40936,147.09861,Rosevears,West Tamar
Riverside North,Bass,30,296,10.1,-0.5,Launceston Christian School,"452a West Tamar Rd, RIVERSIDE 7250",-41.400582,147.091327,Rosevears,West Tamar
Rocherlea,Bass,29,307,9.4,5.3,Rocherlea Memorial Hall,"23-41 Archer St, ROCHERLEA 7248",-41.372975,147.13024,Windermere,Launceston City
Scottsdale,Bass,75,1415,5.3,1.1,Scottsdale High School,"20 Coplestone Rd, SCOTTSDALE 7260",-41.157117,147.508674,McIntyre,Dorset
Sidmouth,Bass,41,418,9.8,-1.1,Sidmouth Community Centre,"255 Batman Hwy, SIDMOUTH 7270",-41.2221,146.887,Rosevears,West Tamar
South Launceston,Bass,127,554,22.9,6.0,Door of Hope,"50 Glen Dhu Street, LAUNCESTON 7250",-41.455287,147.140429,Rosevears,Launceston City
St Leonards,Bass,78,955,8.2,3.2,St Leonards Primary School,"330-342 St Leonards Rd, ST LEONARDS 7250",-41.4597,147.2,Windermere,Launceston City
Summerhill (Bass),Bass,173,1652,10.5,4.5,Summerdale Community Centre,"82-84 Stanley St, SUMMERHILL 7250",-41.4683,147.12971,Rosevears,Launceston City
Trevallyn,Bass,193,1204,16.0,5.8,Trevallyn Life Church,"34 Pitt Ave, TREVALLYN 7250",-41.4301,147.106,Rosevears,West Tamar
Trevallyn Central,Bass,371,1178,31.5,7.0,Trevallyn Primary School,"55 Gorge Rd, TREVALLYN 7250",-41.4381,147.115,Rosevears,West Tamar
Waverley,Bass,59,795,7.4,1.2,Waverley School Hall,"6 Naroo St, WAVERLEY 7250",-41.4321,147.19,Windermere,Launceston City
West Launceston,Bass,284,972,29.2,6.0,West Launceston Primary School,"24-38 Basin Rd, WEST LAUNCESTON 7250",-41.4492,147.129,Rosevears,Launceston City
Weymouth,Bass,25,168,14.9,8.0,Weymouth Hall,"18 Major St, WEYMOUTH 7252",-41.0153,147.154,Windermere,George Town
Whitemark,Bass,41,315,13.0,-1.6,Lions Club,"1 James St, WHITEMARK 7255",-40.1214,148.019,McIntyre,Flinders
Winnaleah,Bass,11,149,7.4,3.7,Winnaleah Memorial Hall,"20 Main St, WINNALEAH 7265",-41.0979,147.824,McIntyre,Dorset
Youngtown,Bass,102,1311,7.8,0.9,Youngtown Primary School,"Victoria St, YOUNGTOWN 7249",-41.4823,147.164,Launceston,Launceston City
Acton,Braddon,68,1200,5.7,2.3,Burnie Child and Family Centre,"36 Thorne St, ACTON 7320",-41.07264,145.89229,Montgomery,Burnie City
Boat Harbour,Braddon,83,491,16.9,9.2,Boat Harbour Primary School,"17386 Bass Hwy, BOAT HARBOUR 7321",-40.9452,145.636,Murchison,Waratah-Wynyard
Burnie,Braddon,103,970,10.6,3.4,Burnie City Council Offices,"80 Wilson St, BURNIE 7320",-41.0532,145.906,Murchison,Burnie City
Calder,Braddon,16,182,8.8,6.1,Calder Hall,"1320 Calder Rd, CALDER 7325",-41.0685,145.631,Murchison,Waratah-Wynyard
