PollingPlaceNm,DivisionNm,GreensVotes_2019,TotalVotes_2019,GreensPercentage_2019,SwingPercentage,PremisesNm_2019,PremisesAddress_2019,Latitude,Longitude,LegCo,LocalCouncil
Rocherlea,Bass,31,798,3.9,0.4,Brooks High School,"215 George Town Rd, ROCHERLEA 7248",-41.378531,147.121503,Windermere,Launceston City
Scottsdale,Bass,64,1577,4.1,0.4,Scottsdale High School,"20 Coplestone Rd, SCOTTSDALE 7260",-41.157117,147.50867399999996,McIntyre,Dorset
Sidmouth,Bass,49,465,10.5,-4.0,Sidmouth Community Centre,"255 Batman Hwy, SIDMOUTH 7270",-41.2221,146.887,Rosevears,West Tamar
South Launceston,Bass,110,675,16.3,-0.8,Door of Hope,"50 Glen Dhu Street, LAUNCESTON 7250",-41.455287,147.140429,Rosevears,Launceston City
St Leonards,Bass,59,1218,4.8,-1.1,St Leonards Primary School,"330-342 St Leonards Rd, ST LEONARDS 7250",-41.4597,147.2,Windermere,Launceston City
Summerhill (Bass),Bass,124,2180,5.7,,Summerhill Baptist Church,"87 Stanley St, SUMMERHILL 7250",-41.465798,147.12723799999995,Rosevears,Launceston City
Trevallyn,Bass,349,1450,24.1,0.4,Trevallyn Life Church,"34 Pitt Ave, TREVALLYN 7250",-41.4301,147.106,Rosevears,West Tamar
Trevallyn Central,Bass,133,1342,9.9,,Trevallyn Primary School,"55 Gorge Rd, TREVALLYN 7250",-41.4381,147.115,Rosevears,West Tamar
Waverley,Bass,51,907,5.6,-0.3,Waverley School Hall,"6 Naroo St, WAVERLEY 7250",-41.4321,147.19,Windermere,Launceston City
West Launceston,Bass,275,1205,22.8,2.0,West Launceston Primary School,"24-38 Basin Rd, WEST LAUNCESTON 7250",-41.4492,147.129,Rosevears,Launceston City
Weymouth,Bass,11,162,6.8,0.0,Weymouth Hall,"18 Major St, WEYMOUTH 7252",-41.0153,147.154,Windermere,George Town
Whitemark,Bass,54,376,14.4,2.5,Lions Club,"1 James St, WHITEMARK 7255",-40.1214,148.019,McIntyre,Flinders
Winnaleah,Bass,7,195,3.6,1.0,Winnaleah Memorial Hall,"20 Main St, WINNALEAH 7265",-41.0979,147.82399999999998,McIntyre,Dorset
Youngtown,Bass,97,1489,6.5,1.4,Youngtown Primary School,"Victoria St, YOUNGTOWN 7249",-41.4823,147.164,Launceston,Launceston City
Abbotsham,Braddon,11,152,7.2,0.9,Abbotsham Hall,"590 Castra Rd, ABBOTSHAM 7315",-41.2135,146.174,Montgomery,Central Coast
Acton,Braddon,46,1414,3.3,0.1,Burnie Child and Family Centre,"36 Thorne St, ACTON 7320",-41.07264,145.89229,Montgomery,Burnie City
Boat Harbour,Braddon,30,405,7.4,-4.1,Boat Harbour Primary School,"17386 Bass Hwy, BOAT HARBOUR 7321",-40.9452,145.636,Murchison,Waratah-Wynyard
Burnie,Braddon,78,1139,6.8,0.6,Burnie City Council Offices,"80 Wilson St, BURNIE 7320",-41.0532,145.906,Murchison,Burnie City
Calder,Braddon,4,155,2.6,-7.5,Calder Hall,"1320 Calder Rd, CALDER 7325",-41.0685,145.631,Murchison,Waratah-Wynyard
Cooee,Braddon,52,838,6.2,0.8,Cooee Primary School,"30 Fidler St, COOEE 7320",-41.04076,145.86801,Murchison,Burnie City
Currie,Braddon,29,657,4.4,-1.2,Currie Town Hall,"10 George St, CURRIE 7256",-39.9298,143.855,Murchison,King Island
Devonport,Braddon,23,689,3.3,,Addison Street Scout Hall,"11 Addison St, DEVONPORT 7310",-41.1737,146.344,Mersey,Devonport City
Devonport Central,Braddon,90,1228,7.3,0.8,Old Devonport Regional Gallery,"45 Stewart St, DEVONPORT 7310",-41.179983,146.359846,Mersey,Devonport City
Devonport North West,Braddon,132,2143,6.2,1.2,Nixon Street Primary School,"60 Nixon St, DEVONPORT 7310",-41.1728,146.33700000000002,Mersey,Devonport City
Devonport South,Braddon,67,1261,5.3,2.1,Reece High School,"41-43 Middle Rd, DEVONPORT 7310",-41.1893,146.349,Mersey,Devonport City
Devonport West,Braddon,38,1193,3.2,0.2,TasTafe,"20-36 Valley Rd, DEVONPORT 7310",-41.1864,146.345,Mersey,Devonport City
Don,Braddon,68,1124,6.0,1.3,Don Memorial Hall,"17 Forth Rd, DON 7310",-41.1827,146.31799999999998,Mersey,Devonport City
East Devonport,Braddon,60,1975,3.0,-0.1,East Devonport Primary School,"19-21 Thomas St, EAST DEVONPORT 7310",-41.1779,146.372,Mersey,Devonport City
Edith Creek,Braddon,9,208,4.3,0.6,Edith Creek Primary School,"1282 Trowutta Rd, EDITH CREEK 7330",-40.9705,145.092,Murchison,Circular Head
Elliott,Braddon,24,357,6.7,-1.7,Elliott Community Centre,"829 Murchison Hwy, ELLIOTT 7325",-41.0922,145.782,Murchison,Waratah-Wynyard
Forest,Braddon,6,395,1.5,-0.3,Forest Primary School,"422 Mengha Rd, FOREST 7330",-40.8486,145.248,Murchison,Circular Head
Forth,Braddon,51,577,8.8,0.1,Forth Primary School,"45 Wilmot Rd, FORTH 7310",-41.19292100000001,146.248975,Montgomery,Central Coast
Gawler,Braddon,14,438,3.2,-1.2,Gawler Hall,"15 Top Gawler Rd, GAWLER 7315",-41.1852,146.16,Montgomery,Central Coast
Grassy,Braddon,6,178,3.4,0.6,Grassy Club,"10 Grassy Rd, GRASSY 7256",-40.0484,144.058,Murchison,King Island
Havenview,Braddon,16,484,3.3,0.7,Havenview Primary School,"15 Marriott St, HAVENVIEW 7320",-41.0836,145.911,Montgomery,Burnie City
Heybridge,Braddon,11,279,3.9,-2.1,Blythe Heads Hall,"Sice Ave, HEYBRIDGE 7316",-41.0751,145.986,Montgomery,Central Coast
Highclere,Braddon,3,166,1.8,-0.4,Highclere Community Centre,"1558 Ridgley Hwy, HIGHCLERE 7321",-41.1904,145.806,Montgomery,Burnie City
Irishtown,Braddon,2,376,0.5,-0.2,Irishtown Lodge Arthur Temple,"604 Irishtown Rd, IRISHTOWN 7330",-40.9133,145.145,Murchison,Circular Head
Latrobe,Braddon,54,1530,3.5,-0.3,Latrobe Memorial Hall,"170 Gilbert St, LATROBE 7307",-41.2365,146.415,Mersey,Latrobe
Latrobe South,Braddon,34,1014,3.4,,Latrobe Primary School,"23 Lewis St, LATROBE 7307",-41.239619,146.416013,Mersey,Latrobe
Marrawah,Braddon,9,274,3.3,-0.7,Marrawah Memorial Hall,"844 Comeback Rd, MARRAWAH 7330",-40.9229,144.697,Murchison,Circular Head
Melrose,Braddon,14,233,6.0,-5.1,Melrose Memorial Hall,"673 Melrose Rd, MELROSE 7310",-41.2417,146.289,Mersey,Devonport City
Montello,Braddon,37,937,3.9,-1.3,Montello Primary School,"83 Bird St, MONTELLO 7320",-41.0605,145.898,Murchison,Burnie City
Moorleah,Braddon,13,191,6.8,-0.5,Moorleah Community Centre,"720 Preolenna Rd, MOORLEAH 7321",-40.981,145.616,Murchison,Waratah-Wynyard
Moriarty,Braddon,16,232,6.9,0.4,Moriarty Hall,"1 Bonneys Lane, MORIARTY 7307",-41.217206,146.481308,Mersey,Latrobe
Natone,Braddon,13,151,8.6,1.5,Natone Primary School,"100 Upper Natone Rd, NATONE 7321",-41.1701,145.922,Montgomery,Burnie City
North Motton,Braddon,9,286,3.1,-6.2,North Motton Hall,"578 Preston Rd, NORTH MOTTON 7315",-41.20637,146.10936999999996,Montgomery,Central Coast
Penguin,Braddon,118,1923,6.1,-0.8,Penguin Uniting Church Hall,"50 Main Rd, PENGUIN 7316",-41.111999999999995,146.071,Montgomery,Central Coast
Port Sorell,Braddon,125,2245,5.6,-0.3,Port Sorell Memorial Hall,"cnr Meredith St & Darling St, PORT SORELL 7307",-41.165409,146.55571799999996,Mersey,Latrobe
Preston,Braddon,6,127,4.7,-2.1,Preston Community Centre,"1833 Preston Rd, PRESTON 7315",-41.2972,146.062,Montgomery,Central Coast
Queenstown,Braddon,21,588,3.6,0.6,Queenstown Memorial Hall,"53 Orr St, QUEENSTOWN 7467",-42.0802,145.558,Murchison,West Coast
Riana,Braddon,10,186,5.4,1.5,Riana Community Centre,"1221 Pine Rd, RIANA 7316",-41.2015,145.999,Montgomery,Central Coast
Ridgley,Braddon,14,561,2.5,-0.8,Ridgley Primary School,"904 Ridgley Hwy, RIDGLEY 7321",-41.1398,145.83700000000002,Montgomery,Burnie City
Rocky Cape,Braddon,5,385,1.3,-2.7,Rocky Cape Public Hall,"19074 Bass Hwy, ROCKY CAPE 7321",-40.905,145.487,Murchison,Circular Head
Romaine,Braddon,45,1317,3.4,0.3,Romaine Park Primary School,"cnr Roslyn Ave & Mount St, ROMAINE 7320",-41.07663400000001,145.899584,Montgomery,Burnie City
Rosebery,Braddon,12,349,3.4,1.1,Rosebery Neighbourhood Centre,"8 Agnes St, ROSEBERY 7470",-41.779832,145.539126,Murchison,West Coast
Sassafras,Braddon,3,250,1.2,-2.7,Sassafras Primary School,"50 School Rd, SASSAFRAS 7307",-41.2871,146.503,Mersey,Latrobe
Savage River,Braddon,0,72,0.0,0.0,Grange Resources Lodge,"45 Corinna Rd, SAVAGE RIVER 7321",-41.5119,145.219,Murchison,Waratah-Wynyard
Shorewell Park,Braddon,30,822,3.6,-1.7,Hellyer College,"41-43 Mooreville Rd, SHOREWELL PARK 7320",-41.06128,145.88153,Murchison,Burnie City
Sisters Beach,Braddon,23,203,11.3,-2.6,Sisters Beach Fire Station,"34 Honeysuckle Ave, SISTERS BEACH 7321",-40.9181,145.565,Murchison,Waratah-Wynyard
Sisters Creek,Braddon,12,119,10.1,0.6,Myalla Community Centre,"29 Myalla Rd, SISTERS CREEK 7325",-40.964904,145.57288400000004,Murchison,Waratah-Wynyard
Smithton,Braddon,31,1854,1.7,-0.4,Smithton Primary School,"27-43 Grant St, SMITHTON 7330",-40.849445,145.116059,Murchison,Circular Head
Somerset,Braddon,52,1512,3.4,-1.2,Somerset Primary School,"30A Beaufort St, SOMERSET 7322",-41.038182,145.819344,Murchison,Waratah-Wynyard
South Riana,Braddon,11,178,6.2,-1.6,South Riana Hall,"776 South Riana Rd, SOUTH RIANA 7316",-41.2345,145.977,Montgomery,Central Coast
Sprent,Braddon,16,202,7.9,0.3,Sprent Primary School,"1245 Castra Rd, SPRENT 7315",-41.2627,146.16,Montgomery,Central Coast
Spreyton,Braddon,40,1389,2.9,-0.4,Spreyton Primary School,"1 Mersey Main Rd, SPREYTON 7310",-41.21207,146.34434,Mersey,Devonport City
Stanley,Braddon,27,419,6.4,0.9,Stanley Primary School,"28 Pearse St, STANLEY 7331",-40.7603,145.291,Murchison,Circular Head
Stowport,Braddon,14,231,6.1,1.9,Stowport Public Hall,"580 Stowport Rd, STOWPORT 7321",-41.1124,145.929,Montgomery,Burnie City
Strahan,Braddon,17,361,4.7,2.2,Strahan Primary School,"2 Bay St, STRAHAN 7468",-42.154043,145.320404,Murchison,West Coast
Sulphur Creek,Braddon,36,629,5.7,0.6,Sulphur Creek Hall,"310 Preservation Dr, SULPHUR CREEK 7316",-41.0935,146.026,Montgomery,Central Coast
Tullah,Braddon,2,109,1.8,0.0,Tullah Community Hall,"24 Farrell St, TULLAH 7321",-41.737568,145.616076,Murchison,West Coast
Turners Beach,Braddon,59,910,6.5,-0.1,Turners Beach Hall,"Henry St, TURNERS BEACH 7315",-41.1589,146.244,Montgomery,Central Coast
Ulverstone Central,Braddon,54,1012,5.3,-0.5,Ulverstone Senior Citizens Club,"16 King Edward St, ULVERSTONE 7315",-41.15507,146.171931,Montgomery,Central Coast
Ulverstone East,Braddon,25,794,3.1,-0.9,East Ulverstone Primary School,"18 Crawford St, ULVERSTONE 7315",-41.1546,146.192,Montgomery,Central Coast
Ulverstone South,Braddon,83,1786,4.6,-0.4,Ulverstone High School,"38 Leven St, ULVERSTONE 7315",-41.16201,146.17091000000005,Montgomery,Central Coast
Waratah,Braddon,6,127,4.7,1.6,Waratah Municipal Chambers,"12-14 Smith St, WARATAH 7321",-41.44422,145.5313,Murchison,Waratah-Wynyard
Wesley Vale,Braddon,27,328,8.2,-0.4,Andrews Creek Primary School,"20 Westwind Dr, WESLEY VALE 7307",-41.188828,146.456401,Mersey,Latrobe
West Ulverstone,Braddon,68,1314,5.2,1.4,West Ulverstone Primary School,"34 Maud St, WEST ULVERSTONE 7315",-41.1482,146.16,Montgomery,Central Coast
Wivenhoe,Braddon,20,510,3.9,-0.1,Leighland Christian School (Wivenhoe Campus),"Stowport Rd, WIVENHOE 7320",-41.06904,145.93608999999995,Montgomery,Burnie City
Wynyard Central,Braddon,81,2028,4.0,-0.9,Wynyard Senior Citizens Club Rooms,"28 Jackson St, WYNYARD 7325",-40.9909,145.72899999999998,Murchison,Waratah-Wynyard
Wynyard West,Braddon,42,1216,3.5,-3.2,Wynyard High School,"30 Church St, WYNYARD 7325",-40.9867,145.717,Murchison,Waratah-Wynyard
Yolla,Braddon,19,355,5.4,-0.2,Yolla District High School,"School Lane, YOLLA 7325",-41.1237,145.719,Murchison,Waratah-Wynyard
Zeehan,Braddon,17,363,4.7,3.3,Zeehan Primary School,"7 Belstead St, ZEEHAN 7469",-41.888000000000005,145.34,Murchison,West Coast
Austins Ferry,Clark,122,1755,7.0,2.1,St Virgil's College,"195 Main Rd, AUSTINS FERRY 7011",-42.774487,147.251105,Derwent,Glenorchy City
Battery Point,Clark,348,1053,33.0,5.4,Albuera Street Primary School,"10A Albuera St, BATTERY POINT 7004",-42.8912,147.326,Hobart,Hobart City
Cascades,Clark,587,1145,51.3,9.1,South Hobart Primary School,"59 Anglesea St, SOUTH HOBART 7004",-42.892494,147.310633,Hobart,Hobart City
Chigwell,Clark,98,1336,7.3,1.8,Chigwell Barn,"10 Bucaan St, CHIGWELL 7011",-42.811194,147.241655,Derwent,Glenorchy City
Claremont,Clark,116,1456,8.0,2.8,Holy Rosary Catholic School,"29 Wyndham Rd, CLAREMONT 7011",-42.789471,147.248469,Derwent,Glenorchy City
Collinsvale,Clark,60,365,16.4,0.3,Collinsvale Primary School,"508 Collinsvale Rd, COLLINSVALE 7012",-42.8367,147.19799999999998,Elwick,Glenorchy City
Dynnyrne,Clark,394,1208,32.6,5.2,Princes Street Primary School,"Randall St, SANDY BAY 7005",-42.8984,147.319,Nelson,Hobart City
Fern Tree,Clark,268,522,51.3,10.2,Fern Tree Community Centre,"8 Stephenson Pl, FERN TREE 7054",-42.9223,147.262,Hobart,Hobart City
Glenorchy,Clark,286,2794,10.2,2.9,Glenorchy Primary School,"Kensington St, GLENORCHY 7010",-42.832391,147.266343,Elwick,Glenorchy City
Glenorchy Central,Clark,108,736,14.7,7.2,YMCA of Hobart,"8A Constance Ave, GLENORCHY 7010",-42.832197,147.278997,Elwick,Glenorchy City
Goodwood,Clark,57,483,11.8,2.8,Karadi Aboriginal Corporation,"4 Rothesay Cir, GOODWOOD 7010",-42.826763,147.292683,Elwick,Glenorchy City
Hobart City (Clark),Clark,351,926,37.9,,Hobart Voting Centre,"144 Macquarie St, HOBART 7000",-42.885223,147.327458,Hobart,Hobart City
Kingston (Clark),Clark,167,634,26.3,,Kingborough Community Hub,"7 Goshawk Way, KINGSTON 7050",-42.976944,147.308333,Nelson,Kingborough
Kingston Beach (Clark),Clark,133,399,33.3,,Kingston Beach Hall,"20 Beach Rd, KINGSTON BEACH 7050",-42.981534,147.323507,Nelson,Kingborough
Lenah Valley,Clark,596,2423,24.6,5.4,Lenah Valley Primary School,"11 Creek Rd, LENAH VALLEY 7008",-42.8612,147.29,Elwick,Hobart City
Lower Sandy Bay,Clark,266,1567,17.0,3.5,St Stephen's Church Hall,"520 Sandy Bay Rd, SANDY BAY 7005",-42.9087,147.346,Nelson,Hobart City
Lutana,Clark,166,916,18.1,6.1,Southern ITF Taekwon-Do,"12 Ashbolt Cres, LUTANA 7009",-42.843166,147.309154,Elwick,Glenorchy City
Merton,Clark,197,1733,11.4,3.1,Tolosa Hall,"148 Tolosa St, GLENORCHY 7010",-42.8455,147.265,Elwick,Glenorchy City
Moonah,Clark,273,1622,16.8,3.8,Salvation Army Community Centre,"73 Hopkins St, MOONAH 7009",-42.845951,147.296066,Elwick,Glenorchy City
Moonah East,Clark,214,1181,18.1,3.7,Bowen Road Primary School,"35 Bowen Rd, MOONAH 7009",-42.8474,147.308,Elwick,Glenorchy City
Moonah North,Clark,274,1539,17.8,5.0,Moonah Primary School,"40 Derwent Park Rd, MOONAH 7009",-42.838,147.296,Elwick,Glenorchy City
